1375264	2025-04-30 07:06:22	88.999920000000003	88.480770000000007	5.8500940000000003	5.8509169999999999	26.0001	26.273150000000001	450.0104	994.44449999999995	0.038773149999999999	572.91669999999999	1.3999999999999999	4.551215	1289.761	0.491205	631.515084	21.18056	27.973089999999999	0	1482.8099999999999	140.42769999999999	174.4213	146.875	334.14350000000002	null	207.16800000000001	834.44560000000001	0	0	null	1.3020830000000001	106.71299999999999	10.517939999999999	0	68.402780000000007	-1.4988429999999999	1650	821.63369999999998	17.725639999999999	174.4699	0	348.4375	339.58330000000001	324.13200000000001	531.25	804.16669999999999	819.09730000000002	-5.4730910000000002	0	3.7673610000000002	2.701953	52.143169999999998	56.018520000000002	60.011569999999999	2.8645830000000001	100	9.92882	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	26.47569	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	809.46929999999998	58.596530000000001	663.44169999999997	0	null	null	null	1.51	null	0	1	1	0	1	445.408591	1	1.184574	0.087944999999999995	1.272519	-2.0000000000000002e-05	2.2722150000000001	2.2722359999999999	1.272499	1.3999999999999999	88.999920000000003	88.999920000000003	5.8500940000000003	5.8502130000000001	26.0001	26.000077000000001	-14.785391000000001	991.71770600000002	0.036413000000000001	567.389905	1.272499	4.53484	531.49233500000003	1303.8035179999999	649.86069999999995	560.37354800000003	0.55172100000000002	0.44444400000000001	0	0	150	9.9320629999999994	0	0	40	9.9149989999999999	49.530320000000003	100	10	50	0	100	0.086121000000000003	4.53484	88.999920000000003	803.87842699999999	-600660.459668	-15.825176000000001	991.71767399999999	0.036412	567.38991299999998	1.272519	4.5348410000000001	531.49229100000002	1302.763733	560.35721999999998	0.55201	0.44444400000000001	0	0	150	9.9320620000000002	0	0	40	9.9150130000000001	49.530318999999999	100	10	50	0	100	0.086137000000000005	4.5348410000000001	88.999920000000003	803.86213899999996	-600660.44335700001	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
1375265	2025-04-30 07:06:52	88.999920000000003	89.262370000000004	5.8502130000000001	5.8506320000000001	26.000080000000001	26.273150000000001	436.39339999999999	993.75009999999997	0.038194440000000003	576.38890000000004	1.3999999999999999	4.5329860000000002	1292.181	0.49586599999999997	630.50701900000001	20.562069999999999	27.756080000000001	0	1487.9380000000001	140.43610000000001	174.53700000000001	147.10650000000001	333.91199999999998	null	207.5	834.44560000000001	0	0	null	1.012731	106.9444	10.54688	0	68.489590000000007	-1.3425929999999999	1650	819.64160000000004	16.720079999999999	175.4768	0	348.78469999999999	339.75700000000001	324.47919999999999	531.25	804.16669999999999	818.40279999999996	-5.2951389999999998	0.0034722220000000001	3.7471070000000002	2.7001949999999999	52.103009999999998	55.439819999999997	59.751159999999999	3.5300919999999998	100	9.9470489999999998	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	28.790510000000001	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	801.51020000000005	59.114150000000002	654.54499999999996	0	null	null	null	1.51	null	0	1	1	0	1	445.27403600000002	1	1.18265	0.087944999999999995	1.2705949999999999	-0.000146	2.3764889999999999	2.376636	1.2704489999999999	1.3999999999999999	88.999920000000003	88.999920000000003	5.8502130000000001	5.8508139999999997	26.000080000000001	26.000080000000001	-14.846330999999999	990.94435799999997	0.036336	570.58826799999997	1.2704489999999999	4.5149910000000002	531.564572	1303.5481540000001	640.99021900000002	560.41156799999999	0.55179199999999995	0.44444400000000001	0	0	150	9.9316820000000003	0	0	40	9.9136319999999998	49.570017	100	10	50	0	100	0.086038000000000003	4.5149910000000002	88.999920000000003	803.96101599999997	-600660.49760600005	-20.114820999999999	990.94419500000004	0.036336	570.58826799999997	1.2705949999999999	4.5149910000000002	531.564347	1298.2796639999999	560.31005900000002	0.55325599999999997	0.44444400000000001	0	0	150	9.9316820000000003	0	0	40	9.9137299999999993	49.570017	100	10	50	0	100	0.086121000000000003	4.5149910000000002	88.999920000000003	803.87849100000005	-600660.39618000004	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375266	2025-04-30 07:07:22	88.999920000000003	89.120850000000004	5.8508129999999996	5.8499309999999998	26.000080000000001	26.273150000000001	434.2029	993.40279999999996	0.034722219999999998	572.33799999999997	1.3999999999999999	4.5998260000000002	1286.367	0.49490099999999998	629.51762299999996	20.789929999999998	27.539059999999999	0	1480.9449999999999	139.78110000000001	174.53700000000001	146.9907	334.02780000000001	null	206.91900000000001	834.44560000000001	0	0	null	1.012731	106.8287	10.54688	0	68.518519999999995	-1.377316	1650	821.50559999999996	16.985410000000002	174.53700000000001	0	348.78469999999999	339.75700000000001	324.47919999999999	531.25	804.51390000000004	818.40279999999996	-5.4340279999999996	0.0034722220000000001	3.7181709999999999	2.7011720000000001	52.143169999999998	54.16666	59.577550000000002	1.331018	100	9.9348960000000002	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	27.488430000000001	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	801.17139999999995	59.020429999999998	651.32709999999997	0	null	null	null	1.51	null	0	1	1	0	1	443.37412699999999	1	1.183662	0.087944999999999995	1.271606	-6.9999999999999994e-05	2.398806	2.398876	1.2715369999999999	1.3999999999999999	88.999920000000003	88.975769	5.8508129999999996	5.85046	26.000080000000001	26.000080000000001	-14.904584	990.51388199999997	0.032684999999999999	565.66816800000004	1.2715369999999999	4.581385	531.62369100000001	1303.372537	637.18049499999995	560.26129800000001	0.55184100000000003	0.44444400000000001	0	0	150	9.9134250000000002	0	0	40	9.914358	49.43723	100	10	50	0	100	0.085626999999999995	4.581385	88.975769	804.13057800000001	-600660.33484999998	-23.022238000000002	990.512698	0.032754999999999999	565.65536599999996	1.271606	4.580768	531.61284899999998	1295.2548839999999	560.10352699999999	0.55409600000000003	0.44444400000000001	0	0	150	9.9137760000000004	0	0	40	9.9144039999999993	49.438464000000003	100	10	50	0	100	0.086038000000000003	4.580768	88.999920000000003	803.96093699999994	-600660.18956500001	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
1375267	2025-04-30 07:07:52	88.975769999999997	88.880200000000002	5.85046	5.8498809999999999	26.000080000000001	26.273150000000001	451.31290000000001	993.05560000000003	0.038773149999999999	569.44449999999995	1.3999999999999999	4.5572920000000003	1298.3720000000001	0.49349300000000001	628.49089400000003	21.169709999999998	27.77778	0	1482.8099999999999	139.881	174.53700000000001	147.10650000000001	333.91199999999998	null	207.91499999999999	834.44560000000001	0	0	null	1.012731	106.8287	10.50347	0	68.518519999999995	-1.527779	1650	821.70550000000003	17.79289	177.89349999999999	0	348.78469999999999	340.27780000000001	324.47919999999999	531.5104	805.20839999999998	818.40279999999996	-5.4340279999999996	0.0011574070000000001	3.6950229999999999	2.701562	52.143169999999998	55.671300000000002	59.490740000000002	4.8321759999999996	100	9.9348960000000002	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	26.765049999999999	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	805.04300000000001	58.861060000000002	649.63379999999995	0	null	null	null	1.51	null	0	1	1	0	1	444.43441799999999	1	1.1818500000000001	0.087944999999999995	1.269795	-5.1e-05	2.2646069999999998	2.2646579999999998	1.2697430000000001	1.3999999999999999	88.975769999999997	88.948812000000004	5.85046	5.8502159999999996	26.000080000000001	26.000080000000001	-14.898952	990.07875300000001	0.038073000000000003	563.45304299999998	1.2697430000000001	4.5378769999999999	531.92449899999997	1303.17723	634.202899	560.37411099999997	0.55189500000000002	0.44444400000000001	0	0	150	9.9403629999999996	0	0	40	9.9131619999999998	49.524245999999998	100	10	50	0	100	0.085147	4.5378769999999999	88.948812000000004	804.34083099999998	-600660.44577999995	-25.279653	990.07739100000003	0.038150999999999997	563.438761	1.269795	4.5371880000000004	531.91233999999997	1292.796529	560.171651	0.55477900000000002	0.44444400000000001	0	0	150	9.9407540000000001	0	0	40	9.9131959999999992	49.525624000000001	100	10	50	0	100	0.085626999999999995	4.5371880000000004	88.975769999999997	804.13063099999999	-600660.257278	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375268	2025-04-30 07:08:22	88.948809999999995	88.841980000000007	5.8502159999999996	5.8496699999999997	26.000080000000001	26.273150000000001	453.74020000000002	993.05560000000003	0.038194440000000003	566.55089999999996	1.3999999999999999	4.52691	1302.5519999999999	0.49396000000000001	626.90412600000002	20.464410000000001	27.452259999999999	0	1485.1410000000001	139.82079999999999	174.53700000000001	147.10650000000001	334.02780000000001	null	206.75299999999999	834.44560000000001	0	0	null	1.012731	107.06019999999999	10.50347	0	68.402780000000007	-1.469908	1650	824.30859999999996	16.912710000000001	175.6782	0	348.4375	340.27780000000001	324.65280000000001	531.5104	805.20839999999998	819.09730000000002	-5.3168410000000002	0.002314815	3.7008100000000002	2.6978520000000001	52.143169999999998	55.179400000000001	59.866900000000001	3.6168979999999999	100	9.92882	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	28.21181	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	807.69690000000003	58.835749999999997	648.5557	0	null	null	null	1.51	null	0	1	1	0	1	443.654	1	1.1810160000000001	0.087944999999999995	1.2689600000000001	-0.00012	2.2516060000000002	2.2517260000000001	1.2688410000000001	1.3999999999999999	88.948809999999995	88.930349000000007	5.8502159999999996	5.8506200000000002	26.000080000000001	26.000080000000001	-14.978774	989.99480400000004	0.038174	559.54564500000004	1.2688410000000001	4.5066449999999998	531.925524	1302.769256	633.61315200000001	560.43659400000001	0.55200899999999997	0.44444400000000001	0	0	150	9.9408700000000003	0	0	40	9.9125599999999991	49.586709999999997	100	10	50	0	100	0.084739999999999996	4.5066449999999998	88.930349000000007	804.56334100000004	-600660.51210299996	-27.089708999999999	989.99371599999995	0.038226999999999997	559.53585699999996	1.2689600000000001	4.5061730000000004	531.91698399999996	1290.6583209999999	560.19762700000001	0.55537300000000001	0.44444400000000001	0	0	150	9.9411369999999994	0	0	40	9.9126399999999997	49.587653000000003	100	10	50	0	100	0.085147	4.5061730000000004	88.948809999999995	804.34081200000003	-600660.28277399996	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
1375269	2025-04-30 07:08:52	88.930350000000004	90.337440000000001	5.8506200000000002	5.8474209999999998	26.000080000000001	26.273150000000001	432.13069999999999	992.70839999999998	0.04108796	561.34259999999995	1.3999999999999999	4.551215	1286.2139999999999	0.50194700000000003	625.00000299999999	20.638020000000001	27.756080000000001	0	1482.8099999999999	139.5968	174.53700000000001	146.9907	334.14350000000002	null	207.16800000000001	834.44560000000001	0	0	null	1.012731	107.06019999999999	10.489000000000001	0	68.258099999999999	-1.5104169999999999	1650	826.77329999999995	15.79547	175.54400000000001	0	348.4375	340.45139999999998	324.82639999999998	532.29160000000002	805.20839999999998	819.09730000000002	-5.4253470000000004	0.0034722220000000001	3.7065969999999999	2.6996090000000001	52.143169999999998	55.092590000000001	59.201390000000004	0.43402780000000002	100	9.9045140000000007	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	28.067129999999999	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	791.72180000000003	59.826120000000003	648.98710000000005	0	null	null	null	1.51	null	0	1	1	0	1	442.06625500000001	1	1.1817880000000001	0.087944999999999995	1.2697320000000001	-0.00043399999999999998	2.420928	2.4213629999999999	1.269298	1.3999999999999999	88.930350000000004	88.918212999999994	5.8506200000000002	5.8518889999999999	26.000080000000001	26.000080000000001	-14.994494	989.57183299999997	0.041406999999999999	553.31417499999998	1.269298	4.5303979999999999	532.70411200000001	1302.0621120000001	632.622614	560.405753	0.55220499999999995	0.44444400000000001	0	0	150	9.9570340000000002	0	0	40	9.912865	49.539203999999998	100	10	50	0	100	0.084334000000000006	4.5303979999999999	88.918212999999994	804.84763599999997	-600660.48401899997	-31.748017999999998	989.57084499999996	0.041442	553.30773399999998	1.2697320000000001	4.5300880000000001	532.69812200000001	1285.3085880000001	560.07269699999995	0.55555600000000005	0.44444400000000001	0	0	150	9.9572099999999999	0	0	40	9.9131549999999997	49.539824000000003	100	10	50	0	100	0.084739999999999996	4.5300880000000001	88.930350000000004	804.56333299999994	-600660.15743699996	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375270	2025-04-30 07:09:22	88.918210000000002	89.938550000000006	5.8518889999999999	5.8515420000000002	26.000080000000001	26.273150000000001	452.73379999999997	992.01390000000004	0.040509259999999998	553.24069999999995	1.3999999999999999	4.5086810000000002	1298.817	0.49983899999999998	622.08781599999998	20.48611	27.278649999999999	0	1482.8099999999999	139.54060000000001	174.65280000000001	146.9907	334.25920000000002	null	206.58699999999999	834.44560000000001	0	0	null	1.012731	106.71299999999999	10.50347	0	68.258099999999999	-1.5682879999999999	1650	823.82659999999998	17.77243	175.0069	0	348.78469999999999	340.97219999999999	324.82639999999998	532.8125	805.20839999999998	819.09730000000002	-5.4340279999999996	0.0034722220000000001	3.7181709999999999	2.6990229999999999	52.143169999999998	55.989579999999997	57.841430000000003	4.3692130000000002	100	9.8559029999999996	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	27.054400000000001	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	794.30600000000004	59.702370000000002	644.84360000000004	0	null	null	null	1.51	null	0	1	1	0	1	443.02429100000001	1	1.1797770000000001	0.087944999999999995	1.267722	-0.000222	2.2563330000000001	2.2565550000000001	1.2675000000000001	1.3999999999999999	88.918210000000002	88.908715000000001	5.8518889999999999	5.8530889999999998	26.000080000000001	26.000080000000001	-14.969913999999999	988.80617700000005	0.040804	545.38394900000003	1.2675000000000001	4.4872199999999998	533.21420799999999	1300.965359	627.04458399999999	560.48819900000001	0.55250999999999995	0.44444400000000001	0	0	150	9.9540179999999996	0	0	40	9.9116660000000003	49.62556	100	10	50	0	100	0.083987999999999993	4.4872199999999998	88.908715000000001	805.09878500000002	-600660.56744000001	-29.893972000000002	988.80534799999998	0.040830999999999999	545.37891100000002	1.267722	4.4869770000000004	533.20944399999996	1286.041301	560.19188499999996	0.55555600000000005	0.44444400000000001	0	0	150	9.9541559999999993	0	0	40	9.9118139999999997	49.626044999999998	100	10	50	0	100	0.084334000000000006	4.4869770000000004	88.918210000000002	804.847713	-600660.27621899999	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375271	2025-04-30 07:09:52	88.908709999999999	88.924449999999993	5.8530889999999998	5.8549790000000002	26.000080000000001	26.273150000000001	430.6506	991.31949999999995	0.047453710000000003	545.13890000000004	1.3999999999999999	4.4782989999999998	1286.0889999999999	0.49363200000000002	618.63426100000004	20.681429999999999	27.213539999999998	0	1480.9449999999999	139.81870000000001	174.53700000000001	146.9907	334.14350000000002	null	206.66999999999999	834.44560000000001	0	0	null	1.012731	106.25	10.50347	0	68.142359999999996	-1.452547	1650	819.6164	17.890599999999999	176.4838	0	348.78469999999999	341.14580000000001	325	533.0729	805.90279999999996	819.44449999999995	-5.3993060000000002	0.0034722220000000001	3.7094909999999999	2.7021480000000002	52.143169999999998	56.68403	56.712960000000002	5.1215279999999996	100	9.8376739999999998	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	25.896989999999999	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	803.39649999999995	58.890360000000001	629.45320000000004	0	null	null	null	1.51	null	0	1	1	0	1	442.77670899999998	1	1.1796409999999999	0.087944999999999995	1.2675860000000001	-0.00037500000000000001	2.4375960000000001	2.4379710000000001	1.2672110000000001	1.3999999999999999	88.908709999999999	88.900790000000001	5.8530889999999998	5.8541939999999997	26.000080000000001	26.000080000000001	-14.991887	988.046831	0.047516000000000003	536.83579399999996	1.2672110000000001	4.456385	533.48602400000004	1300.1292040000001	611.58304199999998	560.58346900000004	0.55274199999999996	0.44444400000000001	0	0	150	9.9875779999999992	0	0	40	9.9114740000000001	49.687230999999997	100	10	50	0	100	0.083684999999999996	4.456385	88.900790000000001	805.32253600000001	-600660.66319400002	-28.346330999999999	988.046111	0.047537999999999997	536.83159000000001	1.2675860000000001	4.4561820000000001	533.48201200000005	1286.7747589999999	560.31810800000005	0.55555600000000005	0.44444400000000001	0	0	150	9.9876919999999991	0	0	40	9.9117239999999995	49.687635	100	10	50	0	100	0.083987999999999993	4.4561820000000001	88.908709999999999	805.09877400000005	-600660.40209600003	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375272	2025-04-30 07:10:22	88.900790000000001	88.893119999999996	5.8541939999999997	5.8533470000000003	26.000080000000001	26.273150000000001	435.0317	990.97230000000002	0.043402780000000002	532.98609999999996	1.3999999999999999	4.44184	1267.9780000000001	0.493815	613.85528699999998	20.855039999999999	27.712679999999999	0	1482.8099999999999	140.59630000000001	174.4213	146.9907	334.14350000000002	null	207.251	834.44560000000001	0	0	null	1.012731	105.9028	10.50347	0	68.229159999999993	-1.5162040000000001	1650	828.48289999999997	16.694890000000001	175.0069	0	348.78469999999999	341.31950000000001	325.52080000000001	533.59379999999999	806.94449999999995	819.44449999999995	-5.4123270000000003	0.00057870369999999999	3.7065969999999999	2.7001949999999999	52.143169999999998	54.832180000000001	55.700229999999998	4.0219909999999999	100	9.8741319999999995	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	28.501159999999999	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	805.27829999999994	58.869619999999998	614.62609999999995	0	null	null	null	1.51	null	0	1	1	0	1	441.34504500000003	1	1.179562	0.087944999999999995	1.2675069999999999	-0.00041800000000000002	2.388277	2.3886959999999999	1.267088	1.3999999999999999	88.900790000000001	88.887760999999998	5.8541939999999997	5.8555190000000001	26.000080000000001	26.000080000000001	-14.950258	987.63347499999998	0.043014999999999998	525.27798199999995	1.267088	4.4196970000000002	534.03397600000005	1299.2923479999999	596.01628800000003	560.63449000000003	0.55297399999999997	0.44444400000000001	0	0	150	9.9650730000000003	0	0	40	9.9113919999999993	49.760606000000003	100	10	50	0	100	0.083254999999999996	4.4196970000000002	88.887760999999998	805.62287400000002	-600660.71123000002	-32.600254	987.63242400000001	0.043052	525.27106900000001	1.2675069999999999	4.4193639999999998	534.02755999999999	1281.6423520000001	560.28353900000002	0.55555600000000005	0.44444400000000001	0	0	150	9.9652619999999992	0	0	40	9.9116710000000001	49.761271999999998	100	10	50	0	100	0.083684999999999996	4.4193639999999998	88.900790000000001	805.32250599999998	-600660.36722500005	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
1375273	2025-04-30 07:10:52	88.88776	88.735600000000005	5.8555190000000001	5.8568020000000001	26.000080000000001	26.273150000000001	447.2278	989.93060000000003	0.04108796	524.30550000000005	1.3999999999999999	4.44184	1283.164	0.49304700000000001	608.70295499999997	20.410160000000001	27.60417	0	1482.8099999999999	140.41290000000001	174.4213	147.10650000000001	334.14350000000002	null	206.33799999999999	834.44560000000001	0	0	null	1.012731	105.9028	10.50347	0	68.402780000000007	-1.464121	1650	822.31039999999996	17.38092	176.34950000000001	0	348.78469999999999	341.49310000000003	325.52080000000001	533.59379999999999	807.29169999999999	819.44449999999995	-5.2777779999999996	0.0034722220000000001	3.729746	2.6996090000000001	52.143169999999998	54.571759999999998	54.745370000000001	4.9768520000000001	100	9.8255210000000002	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	27.922450000000001	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	807.41449999999998	58.744819999999997	602.15309999999999	0	null	null	null	1.51	null	0	1	1	0	1	441.490364	1	1.178266	0.087944999999999995	1.2662100000000001	-0.000301	2.2876759999999998	2.2879770000000001	1.2659100000000001	1.3999999999999999	88.88776	88.873990000000006	5.8555190000000001	5.8568619999999996	26.000080000000001	26.000080000000001	-14.946256999999999	986.52404300000001	0.041313999999999997	516.89338699999996	1.2659100000000001	4.4190659999999999	534.08227899999997	1298.448956	583.65578100000005	560.62669800000003	0.55320899999999995	0.44444400000000001	0	0	150	9.9565699999999993	0	0	40	9.9106059999999996	49.761868	100	10	50	0	100	0.082807000000000006	4.4190659999999999	88.873990000000006	805.93246199999999	-600660.70262	-33.092722999999999	986.52294800000004	0.041354000000000002	516.88608099999999	1.2662100000000001	4.4187139999999996	534.07551899999999	1280.3024889999999	560.26555900000005	0.55555600000000005	0.44444400000000001	0	0	150	9.9567689999999995	0	0	40	9.9108070000000001	49.762571999999999	100	10	50	0	100	0.083254999999999996	4.4187139999999996	88.88776	805.62285599999996	-600660.34881400003	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	1	1
1375274	2025-04-30 07:11:22	88.873990000000006	88.667550000000006	5.8568619999999996	5.8553309999999996	26.000080000000001	26.273150000000001	429.46660000000003	989.58339999999998	0.042824069999999999	517.93979999999999	1.3999999999999999	4.4479170000000003	1274.6110000000001	0.49277599999999999	603.38261299999999	21.38672	27.387149999999998	0	1483.2760000000001	139.82669999999999	174.4213	147.22219999999999	334.14350000000002	null	206.58699999999999	833.44860000000006	0	0	null	1.012731	106.0185	10.517939999999999	0	68.402780000000007	-1.4120379999999999	1650	823.22670000000005	17.551600000000001	178.02780000000001	0	348.78469999999999	341.84030000000001	325.86810000000003	533.59379999999999	807.29169999999999	819.44449999999995	-5.3689239999999998	0.0034722220000000001	3.75	2.6990229999999999	52.143169999999998	55.90278	53.298609999999996	3.0381939999999998	100	9.8072920000000003	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	27.054400000000001	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	807.40139999999997	58.720230000000001	590.73249999999996	0	null	null	null	1.51	null	0	1	1	0	1	441.17281800000001	1	1.1792419999999999	0.087944999999999995	1.2671870000000001	-0.00051699999999999999	2.4507270000000001	2.4512450000000001	1.26667	1.3999999999999999	88.873990000000006	88.860892000000007	5.8568619999999996	5.8582669999999997	26.000080000000001	26.000080000000001	-14.9169	986.11073799999997	0.04446	509.87852199999998	1.26667	4.4248940000000001	534.15503999999999	1298.0592220000001	572.026791	560.63138800000002	0.55331699999999995	0.44444400000000001	0	0	150	9.9723020000000009	0	0	40	9.9111130000000003	49.750211999999998	100	10	50	0	100	0.082364000000000007	4.4248940000000001	88.860892000000007	806.24465899999996	-600660.70720399998	-33.291783000000002	986.10966199999996	0.044498000000000003	509.87156900000002	1.2671870000000001	4.4245590000000004	534.14856299999997	1279.684338	560.26622999999995	0.55555600000000005	0.44444400000000001	0	0	150	9.9724900000000005	0	0	40	9.9114579999999997	49.750881	100	10	50	0	100	0.082807000000000006	4.4245590000000004	88.873990000000006	805.93248100000005	-600660.34903699998	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
1375275	2025-04-30 07:11:52	88.860889999999998	88.691670000000002	5.8582669999999997	5.8557399999999999	26.000080000000001	26.273150000000001	430.76900000000001	988.54169999999999	0.038773149999999999	508.68049999999999	1.3999999999999999	4.4965279999999996	1262.3050000000001	0.49305300000000002	597.838258	20.909289999999999	26.714410000000001	0	1482.8099999999999	140.16630000000001	174.4213	146.9907	334.25920000000002	null	207.00200000000001	833.44860000000006	0	0	null	1.012731	106.3657	10.50347	0	68.402780000000007	-1.4930559999999999	1650	823.24249999999995	16.415199999999999	175.4768	0	348.78469999999999	342.01389999999998	326.21530000000001	533.59379999999999	807.63890000000004	819.79169999999999	-5.3645829999999997	0.0034722220000000001	3.729746	2.698242	52.103009999999998	55.873840000000001	52.488430000000001	3.761574	100	9.84375	null	1.5600000000000001	98.870000000000005	2.5899999999999999	0.14000000000000001	1.27	26.47569	5.0099999999999998	1.49	11.41	7.6100000000000003	67.170000000000002	10.210000000000001	66.700000000000003	3.3599999999999999	0.73999999999999999	1.96	8099	807.11689999999999	58.736199999999997	577.25049999999999	0	null	null	null	1.51	null	0	1	1	0	1	439.42360000000002	1	1.180048	0.087944999999999995	1.2679929999999999	-0.00050500000000000002	2.4342039999999998	2.4347089999999998	1.2674879999999999	1.3999999999999999	88.860889999999998	88.834264000000005	5.8582669999999997	5.8593400000000004	26.000080000000001	26.000080000000001	-14.903527	985.00073999999995	0.042069000000000002	501.13478700000002	1.2674879999999999	4.4731880000000004	534.25628800000004	1298.0748369999999	557.280573	560.52338299999997	0.55331300000000005	0.44444400000000001	0	0	150	9.9603429999999999	0	0	40	9.9116579999999992	49.653624000000001	100	10	50	0	100	0.081709000000000004	4.4731880000000004	88.834264000000005	806.63402599999995	-600660.59177900001	-36.640768999999999	984.99903800000004	0.042145000000000002	501.12065699999999	1.2679929999999999	4.4725080000000004	534.24378899999999	1276.3375940000001	560.09162000000003	0.55555600000000005	0.44444400000000001	0	0	150	9.9607259999999993	0	0	40	9.9119949999999992	49.654985000000003	100	10	50	0	100	0.082364000000000007	4.4725080000000004	88.860889999999998	806.24465599999996	-600660.17398399999	89	87	1	6.25	5.8499999999999996	1	38	26	1	1290	1210	1050	840	0.12	0.050000000000000003	480	360	1.8999999999999999	1.3999999999999999	4.2999999999999998	3.7000000000000002	550	530	880	770	1	1	1	0	1
