980114	2025-04-30 22:47:54	28.424399999999999	71.767359999999996	4.016095	176.59540000000001	1422.2280000000001	9.1600009999999994	37.238570000000003	5.5988059999999997	34.023200000000003	24.726610000000001	2932	17	18.622119999999999	65.53201	0	2.1563620000000001	7.5759809999999996	0	7.6459159999999997	26.891999999999999	0	0	114.884	110.0192	68.547439999999995	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1504.524752	52.930748000000001	30	30	71	71	4.016095	4.0660949999999998	176.59540000000001	176.49539999999999	1423.789338	9.4336540000000007	37.247900000000001	5.623818	34.061973999999999	24.660406999999999	3527.2716519999999	10.930567	596.86239499999999	795330.47499999998	20	20	100	10	5	4.8623950000000002	0	0	100	100	100	5	1	50	60	1	1506.30567	50.210189	-797927.63739499997	1423.778689	9.426539	37.234935	5.6195839999999997	34.058349	24.664086000000001	3529.650451	10.916268000000001	795080.47499999998	20	20	100	10	5	4.8617470000000003	0	0	100	100	100	5	1	50	60	1	1506.2747300000001	50.209158000000002	-797677.63674700004	30	25	0	73	65	0	8	5	1	180	175	1	596.86174700000004	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980115	2025-04-30 22:48:24	28.658919999999998	71.713049999999996	3.9871599999999998	176.99289999999999	1425.201	9.7583070000000003	38.019799999999996	5.4252000000000002	34.084119999999999	24.76313	2932	17	18.705279999999998	65.458259999999996	0	2.1485850000000002	7.5259400000000003	0	7.8050550000000003	27.015799999999999	0	0	114.7972	109.899	68.14873	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1509.148177	52.658934000000002	30	30	71	71	3.9871599999999998	4.0371600000000001	176.99289999999999	176.8929	1424.1320659999999	9.463063	38.029130000000002	5.449592	34.122349	24.684918	3529.0667319999998	10.913544	596.90145600000005	795185.80000000005	20	20	100	10	5	4.9014559999999996	0	0	100	100	100	5	1	50	60	1	1507.7179149999999	50.257263999999999	-797783.00145600003	1424.121416	9.4559470000000001	38.016165000000001	5.4453569999999996	34.118724	24.688597000000001	3524.9244939999999	10.938404	794935.80000000005	20	20	100	10	5	4.9008079999999996	0	0	100	100	100	5	1	50	60	1	1507.6869750000001	50.256233000000002	-797533.00080799998	30	25	0	73	65	0	8	5	1	180	175	1	596.90080799999998	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980116	2025-04-30 22:48:54	28.232109999999999	71.712680000000006	3.9871599999999998	177.03270000000001	1424.9269999999999	9.3942049999999995	37.614719999999998	5.4252000000000002	33.613909999999997	24.797619999999998	2932	17	18.59357	65.706509999999994	0	2.108365	7.4494689999999997	0	7.5301780000000003	26.84402	0	0	114.84059999999999	109.84569999999999	68.843180000000004	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.017961	53.414993000000003	30	30	71	71	3.9871599999999998	4.0371600000000001	177.03270000000001	176.93270000000001	1424.4442469999999	9.4494050000000005	37.624049999999997	5.4495279999999999	33.652093999999998	24.718841000000001	3524.3282760000002	10.935764000000001	596.88120200000003	795185.80000000005	20	20	100	10	5	4.881202	0	0	100	100	100	5	1	50	60	1	1507.523758	50.250791999999997	-797782.98120200005	1424.4335980000001	9.4422899999999998	37.611085000000003	5.4452930000000004	33.648470000000003	24.722518999999998	3523.1578399999999	10.942762999999999	794935.80000000005	20	20	100	10	5	4.8805540000000001	0	0	100	100	100	5	1	50	60	1	1507.4928179999999	50.249760999999999	-797532.98055400001	30	25	0	73	65	0	8	5	1	180	175	1	596.88055399999996	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980117	2025-04-30 22:49:24	28.35406	71.697779999999995	4.033455	177.0256	1425.7460000000001	9.5032759999999996	37.643650000000001	5.4686009999999996	33.822659999999999	24.62312	2932	17	18.737400000000001	65.893429999999995	0	2.194985	7.703125	0	7.4216740000000003	26.40344	0	0	115.0142	109.8061	68.632729999999995	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.809141	53.213160000000002	30	30	71	71	4.033455	4.0834549999999998	177.0256	176.9256	1424.710611	9.4749359999999996	37.652979999999999	5.4925839999999999	33.860536000000003	24.711433	3522.6197309999998	10.939887000000001	596.88264900000001	795417.27500000002	20	20	100	10	5	4.8826489999999998	0	0	100	100	100	5	1	50	60	1	1507.8458539999999	50.261527999999998	-798014.45764899999	1424.6999619999999	9.4678199999999997	37.640014999999998	5.4883499999999996	33.856910999999997	24.715111	3521.8385990000002	10.944551000000001	795167.27500000002	20	20	100	10	5	4.8820009999999998	0	0	100	100	100	5	1	50	60	1	1507.8149129999999	50.260497000000001	-797764.45700099994	30	25	0	73	65	0	8	5	1	180	175	1	596.88200099999995	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980118	2025-04-30 22:49:54	28.637689999999999	71.740489999999994	4.0045210000000004	176.89779999999999	1425.1600000000001	9.4502880000000005	37.527920000000002	5.3817979999999999	34.019489999999998	24.666419999999999	2932	17	18.638280000000002	65.238550000000004	0	2.136482	7.4850960000000004	0	7.8629230000000003	27.27636	0	0	115.05759999999999	109.81140000000001	68.244550000000004	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.0630040000001	52.660079000000003	30	30	71	71	4.0045210000000004	4.0545210000000003	176.89779999999999	176.7978	1424.805247	9.4701039999999992	37.53725	5.4039549999999998	34.055795000000003	24.717033000000001	3521.244162	10.941787	596.87686199999996	795272.60499999998	20	20	100	10	5	4.876862	0	0	100	100	100	5	1	50	60	1	1507.7908090000001	50.259694000000003	-797869.781862	1424.794598	9.4629879999999993	37.524284999999999	5.3997200000000003	34.052171000000001	24.720711000000001	3521.4753970000002	10.940403999999999	795022.60499999998	20	20	100	10	5	4.876214	0	0	100	100	100	5	1	50	60	1	1507.759869	50.258662000000001	-797619.78121399996	30	25	0	73	65	0	8	5	1	180	175	1	596.876214	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980119	2025-04-30 22:50:24	28.42136	71.709919999999997	4.056603	176.82560000000001	1423.8589999999999	9.1653579999999994	37.788330000000002	5.4686009999999996	33.889960000000002	24.626750000000001	2932	17	18.724240000000002	66.044430000000006	0	2.1307689999999999	7.528403	0	7.5663460000000002	26.42717	0	0	115.0142	109.8494	68.829710000000006	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1506.7759370000001	53.015616999999999	30	30	71	71	4.056603	4.1066029999999998	176.82560000000001	176.72559999999999	1424.746975	9.4515779999999996	37.79766	5.4884909999999998	33.924308000000003	24.732240999999998	3520.876186	10.937817000000001	596.88988300000005	795533.01500000001	20	20	100	10	5	4.8898830000000002	0	0	100	100	100	5	1	50	60	1	1508.067751	50.268925000000003	-798130.204883	1424.736326	9.4444619999999997	37.784694999999999	5.4842570000000004	33.920684000000001	24.735918999999999	3520.6393549999998	10.939228	795283.01500000001	20	20	100	10	5	4.8892350000000002	0	0	100	100	100	5	1	50	60	1	1508.0368109999999	50.267893999999998	-797880.20423499995	30	25	0	73	65	0	8	5	1	180	175	1	596.88923499999999	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980120	2025-04-30 22:50:54	28.589369999999999	71.709689999999995	4.0508160000000002	176.97069999999999	1423.598	9.6605889999999999	38.395949999999999	5.512003	34.101379999999999	24.732839999999999	2932	17	18.695239999999998	65.355450000000005	0	2.1903450000000002	7.6522680000000003	0	7.7037839999999997	26.992290000000001	0	0	114.9708	109.8494	68.174239999999998	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1507.906164	52.743594999999999	30	30	71	71	4.0508160000000002	4.100816	176.97069999999999	176.8707	1424.7088839999999	9.488982	38.405279999999998	5.5320689999999999	34.135855999999997	24.738202999999999	3520.0673660000002	10.936368999999999	596.92026399999997	795504.07999999996	20	20	100	10	5	4.9202640000000004	0	0	100	100	100	5	1	50	60	1	1508.862932	50.295431000000001	-798101.30026399996	1424.6982350000001	9.4818660000000001	38.392315000000004	5.5278349999999996	34.132232000000002	24.741880999999999	3517.991211	10.948734999999999	795254.07999999996	20	20	100	10	5	4.9196160000000004	0	0	100	100	100	5	1	50	60	1	1508.8319919999999	50.294400000000003	-797851.29961600003	30	25	0	73	65	0	8	5	1	180	175	1	596.91961600000002	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980121	2025-04-30 22:51:25	28.481110000000001	71.790270000000007	3.9987339999999998	177.0582	1425.7670000000001	9.2950350000000004	37.20964	5.5988059999999997	34.079920000000001	24.715959999999999	2932	17	18.696120000000001	65.677859999999995	0	2.1390760000000002	7.5321129999999998	0	7.6459159999999997	26.790030000000002	0	0	114.84059999999999	109.87090000000001	68.384159999999994	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.150527	52.952660000000002	30	30	71	71	3.9987339999999998	4.0487339999999996	177.0582	176.95820000000001	1424.7645199999999	9.447533	37.218969999999999	5.6188459999999996	34.114356000000001	24.745294000000001	3517.4113320000001	10.945942000000001	596.86094800000001	795243.67000000004	20	20	100	10	5	4.8609479999999996	0	0	100	100	100	5	1	50	60	1	1507.3420080000001	50.244734000000001	-797840.83094799996	1424.7538709999999	9.4404170000000001	37.206004999999998	5.6146120000000002	34.110731999999999	24.748971999999998	3515.816656	10.955417000000001	794993.67000000004	20	20	100	10	5	4.8602999999999996	0	0	100	100	100	5	1	50	60	1	1507.3110670000001	50.243701999999999	-797590.83030000003	30	25	0	73	65	0	8	5	1	180	175	1	596.86030000000005	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980122	2025-04-30 22:51:55	28.341799999999999	71.827439999999996	3.964013	177.10419999999999	1427.1610000000001	9.2796710000000004	37.354309999999998	5.4252000000000002	33.767000000000003	24.719380000000001	2932	17	18.629059999999999	65.657359999999997	0	2.1102280000000002	7.424385	0	7.6025140000000002	26.91826	0	0	114.6236	109.80970000000001	68.768950000000004	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1509.720654	53.268340999999999	30	30	71	71	3.964013	4.0140130000000003	177.10419999999999	177.0042	1425.006611	9.4485609999999998	37.363639999999997	5.4445670000000002	33.800874	24.734915000000001	3515.1474010000002	10.953054	596.86818200000005	795070.06499999994	20	20	100	10	5	4.868182	0	0	100	100	100	5	1	50	60	1	1507.762819	50.258761	-797667.233182	1424.995962	9.4414449999999999	37.350675000000003	5.4403329999999999	33.797249000000001	24.738593999999999	3513.9007790000001	10.960445999999999	794820.06499999994	20	20	100	10	5	4.867534	0	0	100	100	100	5	1	50	60	1	1507.7318789999999	50.257728999999998	-797417.23253399995	30	25	0	73	65	0	8	5	1	180	175	1	596.86753399999998	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980123	2025-04-30 22:52:25	28.51793	71.798450000000003	3.8887830000000001	176.9486	1427.6289999999999	9.7419379999999993	37.151769999999999	5.512003	34.029940000000003	24.643280000000001	2932	17	18.714950000000002	65.64425	0	2.1787649999999998	7.6405770000000004	0	7.6242150000000004	26.71518	0	0	114.5802	109.67919999999999	68.489559999999997	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1510.3115190000001	52.960068	30	30	71	71	3.8887830000000001	3.9387829999999999	176.9486	176.8486	1425.2046110000001	9.4616760000000006	37.161099999999998	5.5316850000000004	34.064079999999997	24.726288	3513.306552	10.957712000000001	596.85805500000004	794693.91500000004	20	20	100	10	5	4.8580550000000002	0	0	100	100	100	5	1	50	60	1	1507.7020050000001	50.256734000000002	-797291.07305500004	1425.1939620000001	9.454561	37.148135000000003	5.5274510000000001	34.060456000000002	24.729966999999998	3513.7793240000001	10.954909000000001	794443.91500000004	20	20	100	10	5	4.8574070000000003	0	0	100	100	100	5	1	50	60	1	1507.671065	50.255701999999999	-797041.072407	30	25	0	73	65	0	8	5	1	180	175	1	596.85740699999997	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980124	2025-04-30 22:52:55	28.58051	71.755330000000001	3.992947	176.93389999999999	1426.0170000000001	9.1707920000000005	37.498980000000003	5.3817979999999999	33.962310000000002	24.615030000000001	2932	17	18.73556	65.642480000000006	0	2.1411609999999999	7.5216010000000004	0	7.7037839999999997	26.835920000000002	0	0	114.667	109.6109	68.426389999999998	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.551496	52.782525	30	30	71	71	3.992947	4.0429469999999998	176.93389999999999	176.8339	1425.3325199999999	9.4304799999999993	37.508310000000002	5.4035729999999997	33.998226000000003	24.722080999999999	3513.1546429999999	10.952296	596.87541499999998	795214.73499999999	20	20	100	10	5	4.8754150000000003	0	0	100	100	100	5	1	50	60	1	1508.2458839999999	50.274863000000003	-797811.91041500005	1425.3218710000001	9.4233639999999994	37.495345	5.3993380000000002	33.994601000000003	24.725759	3512.4208669999998	10.95664	794964.73499999999	20	20	100	10	5	4.8747670000000003	0	0	100	100	100	5	1	50	60	1	1508.2149429999999	50.273831000000001	-797561.909767	30	25	0	73	65	0	8	5	1	180	175	1	596.87476700000002	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980125	2025-04-30 22:53:25	28.348990000000001	71.727930000000001	4.0218819999999997	177.1617	1424.038	9.5611300000000004	37.904060000000001	5.6422080000000001	33.991199999999999	24.790379999999999	2932	17	18.568739999999998	65.58999	0	2.1415709999999999	7.5648939999999998	0	7.6386820000000002	26.845120000000001	0	0	114.7538	109.5891	68.871020000000001	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1507.664788	53.182310000000001	30	30	71	71	4.0218819999999997	4.0718819999999996	177.1617	177.0617	1425.4970659999999	9.4671990000000008	37.91339	5.6663519999999998	34.029144000000002	24.727878	3511.78226	10.954081	596.895669	795359.41000000003	20	20	100	10	5	4.8956689999999998	0	0	100	100	100	5	1	50	60	1	1508.9795489999999	50.299318	-797956.60566899995	1425.486416	9.4600829999999991	37.900424999999998	5.6621180000000004	34.02552	24.731556999999999	3508.959284	10.970761	795109.41000000003	20	20	100	10	5	4.8950209999999998	0	0	100	100	100	5	1	50	60	1	1508.948609	50.298287000000002	-797706.60502100002	30	25	0	73	65	0	8	5	1	180	175	1	596.89502100000004	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980126	2025-04-30 22:53:55	28.399909999999998	71.724590000000006	3.9582259999999998	177.01339999999999	1423.912	9.3659809999999997	37.961930000000002	5.512003	33.998719999999999	24.7468	2932	17	18.569790000000001	65.507710000000003	0	2.1625079999999999	7.6639590000000002	0	7.6676159999999998	26.828330000000001	0	0	114.5802	109.5891	68.71557	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1507.3752899999999	53.076763	30	30	71	71	3.9582259999999998	4.0082259999999996	177.01339999999999	176.9134	1425.3798839999999	9.4315320000000007	37.971260000000001	5.5363150000000001	34.036799999999999	24.726393999999999	3508.337814	10.9681	596.89856299999997	795041.13	20	20	100	10	5	4.8985630000000002	0	0	100	100	100	5	1	50	60	1	1508.900447	50.296681999999997	-797638.32856299996	1425.3692349999999	9.4244160000000008	37.958295	5.5320809999999998	34.033175	24.730072	3508.7522960000001	10.965653	794791.13	20	20	100	10	5	4.8979150000000002	0	0	100	100	100	5	1	50	60	1	1508.8695070000001	50.295650000000002	-797388.32791500003	30	25	0	73	65	0	8	5	1	180	175	1	596.89791500000001	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980127	2025-04-30 22:54:25	28.39846	71.716080000000005	3.9350779999999999	177.2116	1425.0070000000001	9.4344319999999993	37.730460000000001	5.512003	33.91046	24.705870000000001	2932	17	18.57845	65.615939999999995	0	2.1379239999999999	7.5494849999999998	0	7.6820830000000004	26.834569999999999	0	0	114.6236	109.5891	68.924340000000001	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1508.1968999999999	53.108404	30	30	71	71	3.9350779999999999	3.9850780000000001	177.2116	177.11160000000001	1425.387156	9.4349589999999992	37.739789999999999	5.53505	33.947412999999997	24.718053000000001	3508.1095620000001	10.963085	596.88698899999997	794925.39000000001	20	20	100	10	5	4.8869889999999998	0	0	100	100	100	5	1	50	60	1	1508.601895	50.286729999999999	-797522.57698899996	1425.3765069999999	9.4278429999999993	37.726824999999998	5.5308159999999997	33.943789000000002	24.721730999999998	3505.5238450000002	10.978313	794675.39000000001	20	20	100	10	5	4.8863409999999998	0	0	100	100	100	5	1	50	60	1	1508.570954	50.285697999999996	-797272.57634100004	30	25	0	73	65	0	8	5	1	180	175	1	596.88634100000002	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980128	2025-04-30 22:54:55	28.497060000000001	71.728650000000002	3.9698000000000002	177.3356	1427.0229999999999	9.5908610000000003	37.498980000000003	5.6422080000000001	34.139270000000003	24.76202	2932	17	18.6434	65.224720000000005	0	2.1137069999999998	7.4032159999999996	0	7.7399519999999997	27.372060000000001	0	0	114.45	109.5908	68.253879999999995	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1510.1245550000001	52.992292999999997	30	30	71	71	3.9698000000000002	4.0198	177.3356	177.23560000000001	1425.5032470000001	9.4427780000000006	37.508310000000002	5.6645830000000004	34.175615999999998	24.73068	3510.5730629999998	10.965809999999999	596.87541499999998	795099	20	20	100	10	5	4.8754150000000003	0	0	100	100	100	5	1	50	60	1	1508.437508	50.28125	-797696.17541499995	1425.492598	9.4356620000000007	37.495345	5.6603490000000001	34.171990999999998	24.734358	3508.6331409999998	10.977226999999999	794849	20	20	100	10	5	4.8747670000000003	0	0	100	100	100	5	1	50	60	1	1508.4065680000001	50.280219000000002	-797446.17476700002	30	25	0	73	65	0	8	5	1	180	175	1	596.87476700000002	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980129	2025-04-30 22:55:25	28.654050000000002	71.770079999999993	3.9408650000000001	177.6191	1426.5070000000001	9.1964769999999998	37.759390000000003	5.5988059999999997	34.252850000000002	24.63438	2932	17	18.661750000000001	65.351389999999995	0	2.1727799999999999	7.6214690000000003	0	7.8195220000000001	27.027139999999999	0	0	114.4066	109.5891	68.392489999999995	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1509.425064	52.677546999999997	30	30	71	71	3.9408650000000001	3.9908649999999999	177.6191	177.51910000000001	1425.625702	9.4199610000000007	37.768720000000002	5.6235780000000002	34.291249000000001	24.727767	3513.6830279999999	10.964672	596.88843599999996	794954.32499999995	20	20	100	10	5	4.8884359999999996	0	0	100	100	100	5	1	50	60	1	1508.872766	50.295758999999997	-797551.51343599998	1425.615053	9.4128450000000008	37.755755000000001	5.6193439999999999	34.287624000000001	24.731445999999998	3510.383045	10.984114	794704.32499999995	20	20	100	10	5	4.8877879999999996	0	0	100	100	100	5	1	50	60	1	1508.8418260000001	50.294727999999999	-797301.51278800005	30	25	0	73	65	0	8	5	1	180	175	1	596.887788	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980130	2025-04-30 22:55:55	28.30913	71.780079999999998	3.9408650000000001	177.3931	1427.0930000000001	9.5564909999999994	37.788330000000002	5.4686009999999996	33.777729999999998	24.776679999999999	2932	17	18.66384	65.910319999999999	0	2.1223459999999998	7.4778909999999996	0	7.5229439999999999	26.61178	0	0	114.36320000000001	109.468	68.95308	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1510.5509999999999	53.359146000000003	30	30	71	71	3.9408650000000001	3.9908649999999999	177.3931	177.29310000000001	1425.9197019999999	9.4552569999999996	37.79766	5.490888	33.814003	24.741396999999999	3515.3423069999999	10.971904	596.88988300000005	794954.32499999995	20	20	100	10	5	4.8898830000000002	0	0	100	100	100	5	1	50	60	1	1509.253314	50.308444000000001	-797551.51488300005	1425.9090530000001	9.4481409999999997	37.784694999999999	5.4866539999999997	33.810378	24.745076000000001	3516.4275210000001	10.965519	794704.32499999995	20	20	100	10	5	4.8892350000000002	0	0	100	100	100	5	1	50	60	1	1509.2223739999999	50.307411999999999	-797301.51423500001	30	25	0	73	65	0	8	5	1	180	175	1	596.88923499999999	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980131	2025-04-30 22:56:25	28.50562	71.799710000000005	3.9987339999999998	177.50559999999999	1426.741	9.2855159999999994	37.643650000000001	5.5988059999999997	34.104430000000001	24.704719999999998	2932	17	18.627749999999999	65.459950000000006	0	2.130687	7.4809390000000002	0	7.7471860000000001	27.05913	0	0	114.3198	109.38209999999999	68.530119999999997	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1509.6679810000001	52.960363000000001	30	30	71	71	3.9987339999999998	4.0487339999999996	177.50559999999999	177.40559999999999	1426.2054290000001	9.4212030000000002	37.652979999999999	5.6216390000000001	34.141164000000003	24.738841000000001	3521.309953	10.953480000000001	596.88264900000001	795243.67000000004	20	20	100	10	5	4.8826489999999998	0	0	100	100	100	5	1	50	60	1	1509.314347	50.310478000000003	-797840.85264900001	1426.19478	9.4140879999999996	37.640014999999998	5.6174049999999998	34.137538999999997	24.742519000000001	3519.5172630000002	10.964136	794993.67000000004	20	20	100	10	5	4.8820009999999998	0	0	100	100	100	5	1	50	60	1	1509.2834069999999	50.309446999999999	-797590.85200099996	30	25	0	73	65	0	8	5	1	180	175	1	596.88200099999995	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980132	2025-04-30 22:56:55	28.124210000000001	71.745149999999995	3.9871599999999998	177.92850000000001	1427.3969999999999	9.3303089999999997	37.58578	5.4252000000000002	33.549410000000002	24.66375	2932	17	18.612690000000001	66.161929999999998	0	2.1621800000000002	7.7066280000000003	0	7.4072069999999997	26.131440000000001	0	0	114.1896	109.2676	69.460909999999998	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1510.252573	53.699378000000003	30	30	71	71	3.9871599999999998	4.0371600000000001	177.92850000000001	177.82849999999999	1426.353611	9.4241770000000002	37.595109999999998	5.4456850000000001	33.584141000000002	24.734095	3524.434972	10.952005	596.87975500000005	795185.80000000005	20	20	100	10	5	4.8797550000000003	0	0	100	100	100	5	1	50	60	1	1509.3855249999999	50.312851000000002	-797782.97975499998	1426.3429619999999	9.4170610000000003	37.582144999999997	5.4414509999999998	33.580517	24.737773000000001	3520.0472439999999	10.978087	794935.80000000005	20	20	100	10	5	4.8791070000000003	0	0	100	100	100	5	1	50	60	1	1509.354585	50.311819	-797532.97910700005	30	25	0	73	65	0	8	5	1	180	175	1	596.87910699999998	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980133	2025-04-30 22:57:25	28.68019	71.849260000000001	3.992947	177.76859999999999	1427.271	9.5843900000000009	37.383249999999997	5.6422080000000001	34.322400000000002	24.665050000000001	2932	17	18.69725	65.07423	0	2.1344889999999999	7.4532220000000002	0	7.8484559999999997	27.472539999999999	0	0	114.36320000000001	109.2419	67.987970000000004	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1510.118665	52.653719000000002	30	30	71	71	3.992947	4.0429469999999998	177.76859999999999	177.6686	1426.363611	9.4520850000000003	37.392580000000002	5.6638900000000003	34.358192000000003	24.729154999999999	3524.7957179999999	10.966397000000001	596.86962900000003	795214.73499999999	20	20	100	10	5	4.8696289999999998	0	0	100	100	100	5	1	50	60	1	1509.155205	50.305174000000001	-797811.904629	1426.3529619999999	9.4449690000000004	37.379615000000001	5.659656	34.354568	24.732834	3525.3025560000001	10.963403	794964.73499999999	20	20	100	10	5	4.8689809999999998	0	0	100	100	100	5	1	50	60	1	1509.1242649999999	50.304141999999999	-797561.90398099995	30	25	0	73	65	0	8	5	1	180	175	1	596.86898099999996	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980134	2025-04-30 22:57:55	28.324860000000001	71.818290000000005	3.992947	178.017	1429.1500000000001	9.1396850000000001	38.106610000000003	5.6856090000000004	34.010460000000002	24.691279999999999	2932	17	18.766870000000001	66.126930000000002	0	2.1652459999999998	7.6324930000000002	0	7.3927389999999997	26.240570000000002	0	0	114.45	109.32689999999999	68.853440000000006	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1512.519558	53.399012999999997	30	30	71	71	3.992947	4.0429469999999998	178.017	177.917	1426.501884	9.3972700000000007	38.115940000000002	5.7064440000000003	34.045538000000001	24.733519000000001	3530.0776340000002	10.951696	596.90579700000001	795214.73499999999	20	20	100	10	5	4.9057969999999997	0	0	100	100	100	5	1	50	60	1	1510.1833939999999	50.339446000000002	-797811.94079699996	1426.491235	9.3901540000000008	38.102975000000001	5.7022089999999999	34.041913000000001	24.737197999999999	3527.2062409999999	10.968873	794964.73499999999	20	20	100	10	5	4.9051489999999998	0	0	100	100	100	5	1	50	60	1	1510.152454	50.338414999999998	-797561.94014900003	30	25	0	73	65	0	8	5	1	180	175	1	596.90514900000005	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
980135	2025-04-30 22:58:25	28.445820000000001	71.722099999999998	3.9987339999999998	178.00450000000001	1431.354	9.5264229999999994	38.164470000000001	5.5988059999999997	34.044629999999998	24.68338	2932	17	18.61674	65.314260000000004	0	2.1469960000000001	7.5434970000000003	0	7.6820830000000004	27.142240000000001	0	0	114.36320000000001	109.3929	68.691479999999999	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1515.1776139999999	53.265386999999997	30	30	71	71	3.9987339999999998	4.0487339999999996	178.00450000000001	177.90450000000001	1426.9870659999999	9.4294969999999996	38.1738	5.6187849999999999	34.078969999999998	24.739733000000001	3531.867201	10.95744	596.90868999999998	795243.67000000004	20	20	100	10	5	4.90869	0	0	100	100	100	5	1	50	60	1	1510.7822349999999	50.359408000000002	-797840.87869000004	1426.976416	9.4223820000000007	38.160834999999999	5.6145500000000004	34.075344999999999	24.743410999999998	3531.15771	10.961712	794993.67000000004	20	20	100	10	5	4.908042	0	0	100	100	100	5	1	50	60	1	1510.751295	50.358376999999997	-797590.878042	30	25	0	73	65	0	8	5	1	180	175	1	596.90804200000002	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	0	1	1	1	1	1
980136	2025-04-30 22:58:55	28.648769999999999	71.723650000000006	3.9350779999999999	177.83150000000001	1428.7339999999999	9.0934170000000005	38.077669999999998	5.6856090000000004	34.334380000000003	24.741379999999999	2932	17	18.727080000000001	65.447749999999999	0	2.145575	7.4957349999999998	0	7.7761199999999997	27.056509999999999	0	0	114.45	109.41540000000001	68.322360000000003	0	50	3	3575	11	0	0	0	0	0	0	0	0	0	1512.0697680000001	52.77957	30	30	71	71	3.9350779999999999	3.9850780000000001	177.83150000000001	177.73150000000001	1427.4139749999999	9.3871629999999993	38.087000000000003	5.7070759999999998	34.370005999999997	24.735278000000001	3535.7377929999998	10.950542	596.90435000000002	794925.39000000001	20	20	100	10	5	4.90435	0	0	100	100	100	5	1	50	60	1	1511.0495149999999	50.368316999999998	-797522.59435000003	1427.4033260000001	9.3800469999999994	38.074035000000002	5.7028420000000004	34.366382000000002	24.738956999999999	3536.3378830000001	10.946953000000001	794675.39000000001	20	20	100	10	5	4.903702	0	0	100	100	100	5	1	50	60	1	1511.0185750000001	50.367286	-797272.59370199998	30	25	0	73	65	0	8	5	1	180	175	1	596.90370199999995	1600	1400	10	9	45	40	30	15	55	30	60	20	200	200	3.5	3.5	1	1	1	1	0	1
