979803	2025-04-30 20:12:20	48.755920000000003	59.895449999999997	6.9384690000000004	178.7201	1473.1410000000001	10.454079999999999	37.788330000000002	7.5518780000000003	56.307789999999997	31.91384	2932	17	48.47466	99.420320000000004	0	0.281254	0	0	0	0	0	0	110.19670000000001	108.2435	41.42042	0	62.873420000000003	2	3000	15	1	1	0	0	0	0	1	0	0	1564.6337490000001	32.091154000000003	50.799610000000001	50.799610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1476.0706889999999	10.064202999999999	37.784694999999999	5.4801289999999998	54.548957000000001	30.398458000000002	2978.491849	17.081045	594.22115499999995	799000	20	20	100	10	5	4.9892349999999999	0	0	100	100	100	5	1	50	57.405493	1	1565.653454	30.820186	-799594.72915100004	1476.0706889999999	10.064202999999999	37.784694999999999	5.4801289999999998	54.548957000000001	30.398458000000002	2978.491849	17.081045	799000	20	20	100	10	5	4.9892349999999999	0	0	100	100	100	5	1	50	57.405493	1	1565.653454	30.820186	-799594.72915100004	58	45	0	58	55	0	10	8	1	185	180	1	594.22115499999995	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	0	1	1	1	1	1
979804	2025-04-30 20:12:50	48.886090000000003	59.948549999999997	6.9731899999999998	178.52369999999999	1472.5550000000001	9.7507149999999996	37.441110000000002	6.9876579999999997	55.873750000000001	29.919989999999999	2932	17	48.589889999999997	99.385850000000005	0	0.29619820000000002	0	0	0	0	0	0	110.0665	108.1275	41.201860000000003	0	62.933689999999999	2	3000	15	1	1	0	0	0	0	1	0	0	1560.899148	31.929310999999998	50.799610000000001	50.799610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1475.5152350000001	10.028226999999999	37.437474999999999	4.8680649999999996	54.073822	30.38353	2978.0402180000001	17.082063000000002	594.19120099999998	799000	20	20	100	10	5	4.9718739999999997	0	0	100	100	100	5	1	50	57.40305	1	1564.5957100000001	30.799365000000002	-799594.69919700001	1475.5152350000001	10.028226999999999	37.437474999999999	4.8680649999999996	54.073822	30.38353	2978.0402180000001	17.082063000000002	799000	20	20	100	10	5	4.9718739999999997	0	0	100	100	100	5	1	50	57.40305	1	1564.5957100000001	30.799365000000002	-799594.69919700001	58	45	0	58	55	0	10	8	1	185	180	1	594.19120099999998	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	1	1	1	1	0	1
979805	2025-04-30 20:13:20	48.803330000000003	59.934980000000003	6.8053710000000001	177.88069999999999	1471.681	10.42483	37.875129999999999	6.7706489999999997	55.641559999999998	29.311070000000001	2932	17	48.581359999999997	99.40719	0	0.289545	0	0	0	0	0	0	110.0231	107.94750000000001	41.188130000000001	0	63.119309999999999	2	3000	15	1	1	0	0	0	0	1	0	0	1560.654569	31.978444	50.799610000000001	50.799610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.9221439999999	10.024763	37.871495000000003	4.6030480000000003	53.800400000000003	30.213100000000001	2977.5738150000002	17.083123000000001	594.13570300000003	799000	20	20	100	10	5	4.9935749999999999	0	0	100	100	100	5	1	50	57.400506	1	1564.392951	30.795373000000001	-799594.64369900001	1474.9221439999999	10.024763	37.871495000000003	4.6030480000000003	53.800400000000003	30.213100000000001	2977.5738150000002	17.083123000000001	799000	20	20	100	10	5	4.9935749999999999	0	0	100	100	100	5	1	50	57.400506	1	1564.392951	30.795373000000001	-799594.64369900001	58	45	0	58	55	0	10	8	1	185	180	1	594.13570300000003	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	0	1	1	1	1	1
979806	2025-04-30 20:13:50	48.74653	59.944159999999997	6.7822230000000001	177.703	1470.6659999999999	9.4993529999999993	37.527920000000002	6.5970430000000002	55.34357	27.551739999999999	2932	17	48.450029999999998	99.3947	0	0.2965004	0	0	0	0	0	0	109.806	107.7176	41.150910000000003	0	63.186540000000001	2	3000	15	1	1	0	0	0	0	1	0	0	1556.503389	31.930547000000001	50.799610000000001	50.799610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.6351440000001	9.9702870000000008	37.524284999999999	4.3810469999999997	53.460839999999997	29.889150000000001	2977.1201350000001	17.084150000000001	594.10502699999995	799000	20	20	100	10	5	4.9762139999999997	0	0	100	100	100	5	1	50	57.398038999999997	1	1563.2761519999999	30.773389000000002	-799594.61302299995	1474.6351440000001	9.9702870000000008	37.524284999999999	4.3810469999999997	53.460839999999997	29.889150000000001	2977.1201350000001	17.084150000000001	799000	20	20	100	10	5	4.9762139999999997	0	0	100	100	100	5	1	50	57.398038999999997	1	1563.2761519999999	30.773389000000002	-799594.61302299995	58	45	0	58	55	0	10	8	1	185	180	1	594.10502699999995	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	1	1	1	1	0	1
979807	2025-04-30 20:14:20	51.945810000000002	59.91592	6.7937969999999996	177.89859999999999	1471.615	10.075799999999999	37.383249999999997	6.5102399999999996	58.456049999999998	29.74662	2932	17	51.630029999999998	99.391369999999995	0	0.31577929999999999	0	0	0	0	0	0	109.589	107.4511	38.867440000000002	0	63.151260000000001	2	3000	15	1	1	0	0	0	0	1	0	0	1560.0356449999999	30.031981999999999	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.4973259999999	9.9557780000000005	37.379615000000001	4.2662240000000002	56.549244000000002	30.001767000000001	2976.7309329999998	17.085114000000001	594.19415200000003	799000	20	20	100	10	5	4.9689810000000003	0	0	100	100	100	5	1	50	57.395726000000003	1	1563.04837	28.265087999999999	-799594.74714800005	1474.4973259999999	9.9557780000000005	37.379615000000001	4.2662240000000002	56.549244000000002	30.001767000000001	2950.015539	16.709614999999999	799000	20	20	100	10	5	4.9689810000000003	0	0	100	100	100	5	1	50	58.296923	1	1563.04837	28.265087999999999	-799595.64834499999	58	45	0	58	55	0	10	8	1	185	180	1	595.09534799999994	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	0	1	1	1	1	1
979808	2025-04-30 20:14:50	53.239049999999999	59.989130000000003	6.6664859999999999	178.0384	1473.0050000000001	10.072789999999999	37.354309999999998	6.2932319999999997	59.53228	27.271370000000001	2932	17	52.93797	99.434039999999996	0	0.30108020000000002	0	0	0	0	0	0	109.372	107.1897	37.763689999999997	0	63.128570000000003	2	3000	15	1	1	0	0	0	0	1	0	0	1558.9097630000001	29.281321999999999	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.4629620000001	9.9232510000000005	37.350675000000003	4.0300010000000004	57.608983000000002	29.707937999999999	2949.622441	16.710585999999999	595.12165300000004	799000	20	20	100	10	5	4.9675339999999997	0	0	100	100	100	5	1	49.996223999999998	58.294592999999999	1	1562.65003	28.257885000000002	-799595.67464900005	1474.4629620000001	9.9232510000000005	37.350675000000003	4.0300010000000004	57.608983000000002	29.707937999999999	2949.622441	16.710585999999999	799000	20	20	100	10	5	4.9675339999999997	0	0	100	100	100	5	1	49.996223999999998	58.294592999999999	1	1562.65003	28.257885000000002	-799595.67464900005	58	45	0	58	55	0	10	8	1	185	180	1	595.12165300000004	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	1	1	1	1	0	1
979809	2025-04-30 20:15:20	53.334809999999997	59.987090000000002	6.6491249999999997	178.23240000000001	1476.1980000000001	9.6722540000000006	37.151769999999999	6.0762239999999998	59.41104	27.785509999999999	2932	17	53.051049999999996	99.466669999999993	0	0.28376570000000001	0	0	0	0	0	0	109.19840000000001	106.96810000000001	37.74832	0	63.08802	2	3000	15	1	1	0	0	0	0	1	0	0	1561.9530649999999	29.285809	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.6705979999999	9.8766999999999996	37.148135000000003	3.8192400000000002	57.493113000000001	29.500962999999999	2949.2338279999999	16.711558	594.82776799999999	799000	20	20	100	10	5	4.9574069999999999	0	0	100	100	100	5	1	49.992337999999997	58.292261000000003	1	1562.340837	28.252293999999999	-799595.380764	1474.6705979999999	9.8766999999999996	37.148135000000003	3.8192400000000002	57.493113000000001	29.500962999999999	2949.2338279999999	16.711558	799000	20	20	100	10	5	4.9574069999999999	0	0	100	100	100	5	1	49.992337999999997	58.292261000000003	1	1562.340837	28.252293999999999	-799595.380764	58	45	0	58	55	0	10	8	1	185	180	1	594.82776799999999	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	0	1	1	1	1	1
979810	2025-04-30 20:15:50	53.375680000000003	59.939480000000003	6.6896329999999997	177.71080000000001	1477.308	10.81029	37.238570000000003	6.2932319999999997	59.668909999999997	27.385560000000002	2932	17	53.087769999999999	99.451480000000004	0	0.28790680000000002	0	0	0	0	0	0	109.155	106.77630000000001	37.741709999999998	0	63.245939999999997	2	3000	15	1	1	0	0	0	0	1	0	0	1563.9139909999999	29.300122999999999	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.587235	9.9114129999999996	37.234935	4.0923980000000002	57.799221000000003	29.302202999999999	2948.8451230000001	16.712526	594.95340099999999	799000	20	20	100	10	5	4.9617469999999999	0	0	100	100	100	5	1	49.988450999999998	58.289937000000002	1	1562.206267	28.249860000000002	-799595.50639700005	1474.587235	9.9114129999999996	37.234935	4.0923980000000002	57.799221000000003	29.302202999999999	2948.8451230000001	16.712526	799000	20	20	100	10	5	4.9617469999999999	0	0	100	100	100	5	1	49.988450999999998	58.289937000000002	1	1562.206267	28.249860000000002	-799595.50639700005	58	45	0	58	55	0	10	8	1	185	180	1	594.95340099999999	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	1	1	1	1	0	1
979811	2025-04-30 20:16:20	53.345179999999999	59.958599999999997	6.6954200000000004	178.36349999999999	1480.7529999999999	9.2890099999999993	36.94923	5.8158139999999996	59.161000000000001	27.502050000000001	2932	17	53.048960000000001	99.437020000000004	0	0.29621989999999998	0	0	0	0	0	0	109.1116	106.60680000000001	37.828510000000001	0	63.08446	2	3000	15	1	1	0	0	0	0	1	0	0	1565.5780589999999	29.34807	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1474.7616889999999	9.8605940000000007	36.945594999999997	3.743331	57.401560000000003	29.148997000000001	2948.4549029999998	16.713498999999999	595.18004699999995	799000	20	20	100	10	5	4.9472800000000001	0	0	100	100	100	5	1	49.984549000000001	58.287602999999997	1	1561.8005539999999	28.242524	-799595.73304299999	1474.7616889999999	9.8605940000000007	36.945594999999997	3.743331	57.401560000000003	29.148997000000001	2948.4549029999998	16.713498999999999	799000	20	20	100	10	5	4.9472800000000001	0	0	100	100	100	5	1	49.984549000000001	58.287602999999997	1	1561.8005539999999	28.242524	-799595.73304299999	58	45	0	58	55	0	10	8	1	185	180	1	595.18004699999995	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	0	1	1	1	1	1
979812	2025-04-30 20:16:50	53.442700000000002	59.893090000000001	6.7764360000000003	178.3356	1482.3299999999999	10.29504	36.775620000000004	6.1630269999999996	59.605730000000001	30.128319999999999	2932	17	53.133110000000002	99.428569999999993	0	0.3095967	0	0	0	0	0	0	109.1116	106.4211	37.863689999999998	0	63.098390000000002	2	3000	15	1	1	0	0	0	0	1	0	0	1570.5616660000001	29.387768000000001	55.299610000000001	55.299610000000001	59	59	8.0048910000000006	8.0048910000000006	180.0008	180.0008	1475.086689	9.8393259999999998	36.771985000000001	4.275258	58.004857999999999	29.061841000000001	2948.07044	16.714458	595.20460500000002	799000	20	20	100	10	5	4.938599	0	0	100	100	100	5	1	49.980704000000003	58.285302000000001	1	1561.7914370000001	28.242359	-799595.75760200003	1475.086689	9.8393259999999998	36.771985000000001	4.275258	58.004857999999999	29.061841000000001	2948.07044	16.714458	799000	20	20	100	10	5	4.938599	0	0	100	100	100	5	1	49.980704000000003	58.285302000000001	1	1561.7914370000001	28.242359	-799595.75760200003	58	45	0	58	55	0	10	8	1	185	180	1	595.20460500000002	1760	1460.8	11.4	9	41	38	25	10	75	42	60	20	50	50	1	1	1	1	1	1	0	1
