1009283	2025-04-29 17:32:02	91.001099999999994	100	19.704329999999999	224.47309999999999	2978.989	16.288620000000002	28.853380000000001	13.382490000000001	104.3836	0.5556392	2866	23	144.44049999999999	75.561009999999996	75.530000000000001	83.053139999999999	83	15.43365	15.470000000000001	16.939440000000001	17	0	0.0064389829999999997	0	0	80	19.704329999999999	-0.51954460000000002	43.412080000000003	51.821510000000004	74.146129999999999	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.8000129999999999	3149.536979	34.609878000000002	91	91.099999999999994	48	48.039999999999999	19.704329999999999	19.75433	224.47309999999999	224.2731	3025.5345299999999	19.529128	28.748514	34.698650000000001	121.542805	0.42691699999999999	3244.3361719999998	13.943492000000001	136.57526899999999	19.272327000000001	20	100	0	9.8942739999999993	5	0	0	0	100	100	0	0	0.97113300000000002	50	60	0.99943499999999996	83.356183000000001	0	-0.91100000000000003	0	0	null	null	0	-798005.69259899994	3026.4242060000001	17.950925999999999	28.726779000000001	24.551534	113.253879	0.63991200000000004	3039.4383710000002	18.365456999999999	136.98524900000001	19.267879000000001	20	100	0	9.8965019999999999	5	0	0	0	100	98.313469999999995	0	0	1	50	59.780726000000001	1	83.253687999999997	0	-0.91000000000000003	0	0	null	null	0	-797920.39805700001	797454.32999999996	797370.996667	96	92	1	55	47	1	32	22	1	225	220	1	550.45159899999999	548.49139000000002	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	0	1
1009284	2025-04-29 17:32:32	90.996279999999999	100	19.849	222.65020000000001	2972.96	16.8919	28.853380000000001	12.96876	103.9787	0.57007739999999996	2866	23	146.17660000000001	75.478700000000003	75.530000000000001	82.937690000000003	83	15.513109999999999	15.470000000000001	17.05677	17	0	0.00446737	0	0	80	19.849	-0.79962920000000004	43.420540000000003	51.821510000000004	74.405389999999997	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	7.0165749999999996	3145.0272719999998	34.562151999999998	91	91.099999999999994	48	48.039999999999999	19.849	19.899000000000001	221.34819999999999	221.1482	3016.607348	19.607085000000001	28.770609	34.360563999999997	121.173703	0.42802800000000002	3047.4653490000001	18.208226	138.23242400000001	19.316963000000001	20	100	0	9.8717880000000005	5	0	0	0	100	100	0	0	1	50	59.875064000000002	1	82.941894000000005	0	-0.91100000000000003	0	0	null	null	0	-798149.87602900004	3017.4970239999998	17.952843000000001	28.748875000000002	23.73432	112.52737399999999	0.64102400000000004	3156.9475259999999	15.875987	138.642404	19.312515000000001	20	100	0	9.874015	5	0	0	0	100	98.131844000000001	0	0	0.98860999999999999	50	60	1	82.839399	0	-0.91000000000000003	0	0	null	null	0	-798064.704149	797599	797515.66666700004	96	92	1	55	47	1	32	22	1	225	220	1	549.96502899999996	548.12748299999998	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	1	1
1009285	2025-04-29 17:33:02	91.253429999999994	100	19.31371	222.21619999999999	2982.326	16.932120000000001	28.853380000000001	13.562049999999999	104.8155	0.55575430000000003	2866	23	150.95079999999999	75.705010000000001	75.530000000000001	82.961879999999994	83	15.544320000000001	15.470000000000001	17.03304	17	0	0.0040990540000000004	0	0	80	19.31371	-1.1242730000000001	43.422759999999997	51.821510000000004	74.072059999999993	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.7285870000000001	3157.9237509999998	34.606082999999998	91	91.099999999999994	48	48.039999999999999	19.31371	19.363710000000001	222.21619999999999	222.0162	3008.4038030000002	19.704335	28.802174000000001	34.468961999999998	121.23231800000001	0.427649	3165.027689	15.720872	139.96059700000001	19.357980999999999	20	100	0	9.8552529999999994	5	0	0	0	100	100	0	0	0.98699400000000004	50	60	1	82.509850999999998	0	-0.91100000000000003	0	0	null	null	0	-797614.29062099999	3009.2934789999999	18.034592	28.780439000000001	23.745145000000001	112.513586	0.64064399999999999	3124.7023100000001	16.577321999999999	140.370577	19.353532999999999	20	100	0	9.8574800000000007	5	0	0	0	100	98.128395999999995	0	0	0.99505999999999994	50	60	1	82.407355999999993	0	-0.91000000000000003	0	0	null	null	0	-797529.00999499997	797063.70999999996	796980.376667	96	92	1	55	47	1	32	22	1	225	220	1	549.66962100000001	547.72332800000004	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	0	1
1009286	2025-04-29 17:33:32	91.082340000000002	100	19.95027	223.51820000000001	2971.3679999999999	16.570150000000002	28.679780000000001	13.5884	104.48779999999999	0.56209699999999996	2866	23	158.41579999999999	75.518010000000004	75.530000000000001	83.091070000000002	83	15.3759	15.470000000000001	16.903179999999999	17	0	0.0054683070000000004	0	0	80	19.660920000000001	-1.296144	43.416130000000003	51.821510000000004	74.442419999999998	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.7029480000000001	3151.9689109999999	34.605708999999997	91	91.099999999999994	48	48.039999999999999	19.95027	20.00027	222.21619999999999	222.0162	3000.1419850000002	19.751436999999999	28.824269000000001	34.642874999999997	121.261517	0.426817	3132.7728590000002	16.422322999999999	141.846587	19.399290000000001	20	100	0	9.8394860000000008	5	0	0	0	100	100	0	0	0.99344500000000002	50	60	1	82.038353000000001	0	-0.91100000000000003	0	0	null	null	0	-798250.41172700003	3001.0316600000001	18.081282000000002	28.802534999999999	23.916459	112.540858	0.63981200000000005	3124.6878120000001	16.577491999999999	142.25656699999999	19.394842000000001	20	100	0	9.8417139999999996	5	0	0	0	100	98.135214000000005	0	0	0.995062	50	60	1	81.935857999999996	0	-0.91000000000000003	0	0	null	null	0	-798165.13147499994	797700.27000000002	797616.93666699994	96	92	1	55	47	1	32	22	1	225	220	1	549.230727	547.284809	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009287	2025-04-29 17:34:02	90.805369999999996	100	20.066009999999999	223.08420000000001	2964.453	17.696280000000002	28.818660000000001	14.658519999999999	105.4639	0.55556170000000005	2866	23	144.96129999999999	75.371859999999998	75.530000000000001	83.047039999999996	83	15.314819999999999	15.470000000000001	16.869949999999999	17	0	0.0058699010000000003	0	0	80	20.12387	-1.3725309999999999	43.420540000000003	51.821510000000004	74.220209999999994	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.1947159999999997	3135.8779749999999	34.534058999999999	91	91.099999999999994	48	48.039999999999999	20.066009999999999	20.116009999999999	223.08420000000001	222.88419999999999	2992.0749850000002	19.865728000000001	28.836894999999998	34.774608000000001	121.490514	0.42673699999999998	3132.81104	16.424607000000002	142.604142	19.439624999999999	20	100	0	9.8270180000000007	5	0	0	0	100	100	0	0	0.99343800000000004	50	60	1	81.848965000000007	0	-0.91100000000000003	0	0	null	null	0	-798365.99101	2992.9646600000001	18.189436000000001	28.815159999999999	24.009574000000001	112.741236	0.63973199999999997	3092.0973979999999	17.271799999999999	143.01412199999999	19.435176999999999	20	100	0	9.8292459999999995	5	0	0	0	100	98.185309000000004	0	0	1	50	60	1	81.746470000000002	0	-0.91000000000000003	0	0	null	null	0	-798280.76587	797816.01000000001	797732.67666700005	96	92	1	55	47	1	32	22	1	225	220	1	549.07001000000002	547.17920300000003	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009288	2025-04-29 17:34:32	91.002330000000001	100	19.892399999999999	222.38980000000001	2964.8789999999999	16.851680000000002	29.200589999999998	14.283200000000001	105.2855	0.55775390000000002	2866	23	145.48220000000001	75.600620000000006	75.530000000000001	83.049149999999997	83	15.395020000000001	15.470000000000001	16.94361	17	0	0.00669186	0	0	80	19.892399999999999	-1.277047	43.416449999999998	51.821510000000004	73.923919999999995	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.3712840000000002	3137.113441	34.472890999999997	91	91.099999999999994	48	48.039999999999999	19.892399999999999	19.942399999999999	222.38980000000001	222.18979999999999	2984.8580750000001	19.84957	28.881084999999999	34.258052999999997	121.263687	0.426759	3100.137424	17.117719999999998	143.211769	19.475709999999999	20	100	0	9.8192109999999992	5	0	0	0	100	100	0	0	0.999973	50	60	1	81.697057999999998	0	-0.91100000000000003	0	0	null	null	0	-798192.26521999994	2985.7477509999999	18.094009	28.859349999999999	22.994539	112.146821	0.63975400000000004	3118.1028959999999	16.718005000000002	143.62174899999999	19.471260999999998	20	100	0	9.8214389999999998	5	0	0	0	100	98.036704999999998	0	0	0.99637900000000001	50	60	1	81.594562999999994	0	-0.91000000000000003	0	0	null	null	0	-798106.882247	797642.40000000002	797559.06666699995	96	92	1	55	47	1	32	22	1	225	220	1	548.95421999999996	546.90557999999999	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009289	2025-04-29 17:35:02	90.540049999999994	100	19.77666	222.303	2952.5859999999998	17.294090000000001	28.992270000000001	14.74619	105.273	0.55869449999999998	2866	23	154.24930000000001	75.486559999999997	75.530000000000001	83.371340000000004	83	15.034280000000001	15.470000000000001	16.622250000000001	17	0	0.0059849359999999997	0	0	80	19.877929999999999	-1.277047	43.413060000000002	51.821510000000004	73.923919999999995	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.139894	3131.034416	34.581761999999998	91	91.099999999999994	48	48.039999999999999	19.77666	19.82666	222.303	222.10300000000001	2977.6672570000001	19.849004999999998	28.896867	33.872278999999999	120.939936	0.426894	3126.1209370000001	16.563918999999999	144.166606	19.511664	20	100	0	9.8186719999999994	5	0	0	0	100	100	0	0	0.99477599999999999	50	60	1	81.458348999999998	0	-0.91100000000000003	0	0	null	null	0	-798076.31820900005	2978.5569329999998	18.007542000000001	28.875133000000002	22.069455000000001	111.42922799999999	0.63988999999999996	3121.272309	16.649241	144.57658599999999	19.507214999999999	20	100	0	9.8208990000000007	5	0	0	0	100	97.857307000000006	0	0	0.99574600000000002	50	60	1	81.355853999999994	0	-0.91000000000000003	0	0	null	null	0	-797990.76139300002	797526.66000000003	797443.32666699996	96	92	1	55	47	1	32	22	1	225	220	1	548.747209	546.52472599999999	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009290	2025-04-29 17:35:32	91.056219999999996	100	19.820060000000002	223.95230000000001	2954.3499999999999	16.972339999999999	29.026990000000001	14.389340000000001	105.4456	0.55564899999999995	2800	18.001329999999999	149.4751	75.670429999999996	75.530000000000001	83.137439999999998	83	15.38308	15.470000000000001	16.859660000000002	17	0	0.002717115	0	0	80	19.820060000000002	-1.296144	43.414110000000001	51.821510000000004	74.072059999999993	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.3280329999999996	3129.2247649999999	34.365853999999999	91	91.099999999999994	48	48.039999999999999	19.820060000000002	19.870059999999999	223.95230000000001	223.75229999999999	2973.3070750000002	19.804433	28.934744999999999	33.395560000000003	120.693878	0.42680000000000001	2850	18.000665000000001	144.58484200000001	19.533465	20	100	0	9.8234130000000004	5	0	0	0	100	100	0	0	1	49.5	59.999600999999998	1	81.353790000000004	0	-0.91100000000000003	0	0	null	null	0	-798119.14652399998	2974.1967509999999	17.872903000000001	28.913011000000001	21.028200999999999	110.77525199999999	0.63979600000000003	2850	18.000665000000001	144.994822	19.529015999999999	20	100	0	9.8256409999999992	5	0	0	0	100	97.693813000000006	0	0	1	49.5	59.999600999999998	1	81.251294999999999	0	-0.91000000000000003	0	0	null	null	0	-798033.42627199995	797570.06000000006	797486.72666699998	96	92	1	55	47	1	32	22	1	225	220	1	548.175524	545.78960500000005	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009291	2025-04-29 17:36:02	90.934640000000002	100	19.41498	222.65020000000001	2949.9549999999999	17.093	28.888100000000001	14.731909999999999	105.60680000000001	0.55554049999999999	2800	18	154.59649999999999	75.468190000000007	75.530000000000001	83.019880000000001	83	15.403370000000001	15.470000000000001	16.976959999999998	17	0	0.0033371849999999999	0	0	80	19.458379999999998	-1.1433709999999999	43.415529999999997	51.821510000000004	74.294280000000001	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.172631	3128.370222	34.402403999999997	91	91.099999999999994	48	48.039999999999999	19.41498	19.464980000000001	222.65020000000001	222.4502	2968.5231659999999	19.791795	28.950527000000001	32.923940999999999	120.312408	0.42680000000000001	2850	18	145.295051	19.557383999999999	20	100	0	9.8315319999999993	5	0	0	0	100	100	0	0	1	49.5	60	1	81.176237	0	-0.91100000000000003	0	0	null	null	0	-797713.92288600001	2969.4128420000002	17.765203	28.928792999999999	19.961755	109.968846	0.63979600000000003	2850	18	145.70503099999999	19.552935999999999	20	100	0	9.8337599999999998	5	0	0	0	100	97.492210999999998	0	0	1	49.5	60	1	81.073741999999996	0	-0.91000000000000003	0	0	null	null	0	-797628.00210200006	797164.97999999998	797081.64666700002	96	92	1	55	47	1	32	22	1	225	220	1	548.03188599999999	545.44543599999997	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009292	2025-04-29 17:36:32	90.878270000000001	100	19.979199999999999	222.21619999999999	2948.2629999999999	17.052779999999998	28.888100000000001	14.45068	105.3289	0.55712150000000005	2800	18	155.9854	75.443700000000007	75.530000000000001	82.979399999999998	83	15.43221	15.470000000000001	17.01764	17	0	0.0023501360000000001	0	0	80	19.979199999999999	-0.96513369999999998	43.42015	51.821510000000004	74.109099999999998	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.2888580000000003	3127.6845330000001	34.416198000000001	91	91.099999999999994	48	48.039999999999999	19.979199999999999	20.029199999999999	222.21619999999999	222.0162	2965.0312570000001	19.847228000000001	28.937901	32.754674999999999	120.184827	0.42596000000000001	2850	18	146.597106	19.574843999999999	20	100	0	9.8394440000000003	5	0	0	0	100	100	0	0	1	49.5	60	1	80.850724	0	-0.91100000000000003	0	0	null	null	0	-798277.84317600005	2965.9209329999999	17.770743	28.916167000000002	19.480701	109.62054500000001	0.63895500000000005	2850	18	147.00708599999999	19.570395000000001	20	100	0	9.8416709999999998	5	0	0	0	100	97.405135999999999	0	0	1	49.5	60	1	80.748228999999995	0	-0.91000000000000003	0	0	null	null	0	-798191.83587299997	797729.19999999995	797645.86666699999	96	92	1	55	47	1	32	22	1	225	220	1	547.73217599999998	545.05920700000001	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009293	2025-04-29 17:37:02	91.112960000000001	100	19.95027	223.60499999999999	2943.8760000000002	16.771249999999998	28.853380000000001	14.614190000000001	105.72709999999999	0.55554570000000003	2800	18	155.72489999999999	75.569360000000003	75.530000000000001	82.993579999999994	83	15.444649999999999	15.470000000000001	17.0044	17	0	0.0015729439999999999	0	0	80	20.051539999999999	-1.0860810000000001	43.423960000000001	51.821510000000004	74.072059999999993	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.2345540000000002	3122.9237210000001	34.275297000000002	91	91.099999999999994	48	48.039999999999999	19.95027	20.00027	223.60499999999999	223.405	2960.707257	19.851284	28.934744999999999	32.502944999999997	119.902585	0.42423899999999998	2850	18	148.67248699999999	19.596464000000001	20	100	0	9.8490179999999992	5	0	0	0	100	99.975645999999998	0	0	1	49.5	60	1	80.331878000000003	0	-0.91100000000000003	0	0	null	null	0	-798248.40157099999	2961.5969329999998	17.713763	28.91301	18.847919999999998	109.070453	0.637235	2850	18	149.08246700000001	19.592015	20	100	0	9.8512450000000005	5	0	0	0	100	97.267612999999997	0	0	1	49.5	60	1	80.229382999999999	0	-0.91000000000000003	0	0	null	null	0	-798162.28177400003	797700.27000000002	797616.93666699994	96	92	1	55	47	1	32	22	1	225	220	1	547.22057099999995	544.43510700000002	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009294	2025-04-29 17:37:32	90.854209999999995	100	20.427689999999998	220.82730000000001	2946.6909999999998	17.454969999999999	29.235320000000002	14.803839999999999	105.6581	0.560172	2800	18	138.4511	75.420630000000003	75.530000000000001	82.982590000000002	83	15.43228	15.470000000000001	17.015720000000002	17	0	0.0013054900000000001	0	0	80	20.427689999999998	-1.1815629999999999	43.422379999999997	51.821510000000004	74.035030000000006	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	6.1372059999999999	3114.0604720000001	34.275357	91	91.099999999999994	48	48.039999999999999	20.427689999999998	20.477689999999999	220.82730000000001	220.62729999999999	2957.7710750000001	19.850417	28.969466000000001	31.943462	119.402053	0.424651	2857.9604920000002	17.841968000000001	148.12799699999999	19.611145	20	100	0	9.8640179999999997	5	0	0	0	100	99.850513000000007	0	0	1	49.579605000000001	60	1	80.468001000000001	0	-0.91100000000000003	0	0	null	null	0	-798725.94325200003	2958.6607509999999	17.606929000000001	28.947731999999998	17.627811000000001	108.11055399999999	0.63764699999999996	2953.6698249999999	15.768088000000001	148.53797700000001	19.606695999999999	20	100	0	9.8662449999999993	5	0	0	0	100	97.027638999999994	0	0	1	50	60	1	80.365505999999996	0	-0.91000000000000003	0	0	null	null	0	-798640.13016499998	798177.68999999994	798094.35666699999	96	92	1	55	47	1	32	22	1	225	220	1	547.34225200000003	544.86349900000005	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009295	2025-04-29 17:38:02	91.089010000000002	100	20.326419999999999	222.82380000000001	2944.6170000000002	17.776720000000001	29.165870000000002	15.297180000000001	106.3862	0.55722879999999997	2800	18	145.56899999999999	75.582920000000001	75.530000000000001	82.940010000000001	83	15.50407	15.470000000000001	17.05743	17	0	0.0020250960000000001	0	0	80	20.326419999999999	-1.2133910000000001	43.407319999999999	51.821510000000004	74.109099999999998	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.9546279999999996	3117.2159120000001	34.221646999999997	91	91.099999999999994	48	48.039999999999999	20.326419999999999	20.37642	222.82380000000001	222.62379999999999	2955.1944389999999	19.81879	28.997875000000001	31.433812	119.000274	0.423483	2961.8070309999998	15.614261000000001	148.07275999999999	19.624027999999999	20	100	0	9.8781060000000007	5	0	0	0	100	99.750067999999999	0	0	1	50	60	1	80.481809999999996	0	-0.91100000000000003	0	0	null	null	0	-798625.03536099999	2956.0841150000001	17.463849	28.976140000000001	16.424589000000001	107.233412	0.63647900000000002	2879.4763929999999	17.380002000000001	148.48274000000001	19.619579000000002	20	100	0	9.8803339999999995	5	0	0	0	100	96.808352999999997	0	0	1	49.794764000000001	60	1	80.379315000000005	0	-0.91000000000000003	0	0	null	null	0	-798538.47899900004	798076.42000000004	797993.08666699997	96	92	1	55	47	1	32	22	1	225	220	1	547.70436099999995	544.48233300000004	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009296	2025-04-29 17:38:32	91.23254	100	20.02261	221.08770000000001	2939.5329999999999	17.253869999999999	29.061710000000001	15.651949999999999	106.8845	0.55906489999999998	2800	18	158.84989999999999	75.708579999999998	75.530000000000001	82.952669999999998	83	15.52187	15.470000000000001	17.044709999999998	17	0	0.0020795219999999999	0	0	80	20.02261	-1.137005	43.414839999999998	51.821510000000004	74.257239999999996	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.8288289999999998	3121.4908089999999	34.214664999999997	91	91.099999999999994	48	48.039999999999999	20.02261	20.072610000000001	221.08770000000001	220.8877	2951.3041659999999	19.730536000000001	29.016814	30.868190999999999	118.62705	0.42378399999999999	2876.7650899999999	17.383406000000001	148.79086000000001	19.643478999999999	20	100	0	9.8890510000000003	5	0	0	0	100	99.656762999999998	0	0	1	49.767651000000001	60	1	80.302284999999998	0	-0.91100000000000003	0	0	null	null	0	-798320.75159700005	2952.1938420000001	17.258424999999999	28.995079	15.131133999999999	106.36906399999999	0.63678000000000001	2933.369827	16.140495999999999	149.20084	19.639030999999999	20	100	0	9.8912790000000008	5	0	0	0	100	96.592265999999995	0	0	1	50	60	1	80.199789999999993	0	-0.91000000000000003	0	0	null	null	0	-798234.50903299998	797772.60999999999	797689.27666700003	96	92	1	55	47	1	32	22	1	225	220	1	547.23059699999999	544.32236599999999	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009297	2025-04-29 17:39:02	90.662520000000001	100	20.340879999999999	221.08770000000001	2926.3470000000002	17.093	29.026990000000001	15.826449999999999	106.489	0.55583720000000003	2800	18	156.2458	75.38485	75.530000000000001	83.051289999999995	83	15.276859999999999	15.470000000000001	16.947610000000001	17	0	0.00080578550000000001	0	0	80	20.340879999999999	-1.2133910000000001	43.407330000000002	51.821510000000004	74.146129999999999	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.7285440000000003	3106.2540869999998	34.261721999999999	91	91.099999999999994	48	48.039999999999999	20.340879999999999	20.390879999999999	221.08770000000001	220.8877	2947.2113479999998	19.744837	29.048378	30.858090000000001	118.601229	0.42321500000000001	2934.447948	16.109109	148.59358700000001	19.663943	20	100	0	9.8990019999999994	5	0	0	0	100	99.650306999999998	0	0	1	50	60	1	80.351602999999997	0	-0.91100000000000003	0	0	null	null	0	-798639.32795099996	2948.1010240000001	17.239545	29.026644000000001	14.915153999999999	106.205771	0.63621099999999997	2926.4242399999998	16.265121000000001	149.003567	19.659495	20	100	0	9.9012290000000007	5	0	0	0	100	96.551443000000006	0	0	1	50	60	1	80.249108000000007	0	-0.91000000000000003	0	0	null	null	0	-798552.81794199999	798090.88	798007.54666700005	96	92	1	55	47	1	32	22	1	225	220	1	547.53695100000004	544.36127499999998	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009298	2025-04-29 17:39:32	91.111059999999995	100	20.31195	223.6918	2934.5590000000002	17.776720000000001	28.992270000000001	15.899150000000001	107.0104	0.5602222	2800	18	157.98179999999999	75.699920000000006	75.530000000000001	83.011560000000003	83	15.40921	15.470000000000001	16.98574	17	0	0.0021344150000000002	0	0	80	20.254079999999998	-1.1815629999999999	43.407470000000004	51.821510000000004	74.220209999999994	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.7305619999999999	3115.948042	34.199449000000001	91	91.099999999999994	48	48.039999999999999	20.31195	20.36195	221.869	221.66900000000001	2944.493712	19.751885000000001	29.064160999999999	30.969176999999998	118.880105	0.42363899999999999	2934.8680570000001	16.106594000000001	149.77726899999999	19.677530999999998	20	100	0	9.9102669999999993	5	0	0	0	100	99.720026000000004	0	0	1	50	60	1	80.055683000000002	0	-0.91100000000000003	0	0	null	null	0	-798610.19643600006	2945.3833880000002	17.246328999999999	29.042427	15.024604999999999	106.483558	0.63663400000000003	2897.7004000000002	16.889130999999999	150.18724900000001	19.673082999999998	20	100	0	9.9124940000000006	5	0	0	0	100	96.620889000000005	0	0	1	49.977004000000001	60	1	79.953187999999997	0	-0.91000000000000003	0	0	null	null	0	-798523.66332499997	798061.94999999995	797978.61666699999	96	92	1	55	47	1	32	22	1	225	220	1	547.33543599999996	544.13665900000001	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009299	2025-04-29 17:40:02	90.886120000000005	100	19.979199999999999	220.65369999999999	2929.1210000000001	16.8919	29.304760000000002	15.86515	106.7513	0.58061030000000002	2800	18	149.21469999999999	75.502719999999997	75.530000000000001	83.026660000000007	83	15.381500000000001	15.470000000000001	16.971419999999998	17	0	0.001898797	0	0	80	19.979199999999999	-1.0224249999999999	43.414670000000001	51.821510000000004	74.035030000000006	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.7286640000000002	3104.3274430000001	34.156232000000003	91	91.099999999999994	48	48.039999999999999	19.979199999999999	20.029199999999999	220.65369999999999	220.4537	2941.2429849999999	19.755723	29.073630999999999	31.114156999999999	119.051749	0.42571700000000001	2905.7052429999999	16.731950999999999	150.11658700000001	19.693784999999998	20	100	0	9.9201320000000006	5	0	0	0	100	99.762936999999994	0	0	1	50	60	1	79.970853000000005	0	-0.91100000000000003	0	0	null	null	0	-798277.43057700002	2942.1326600000002	17.250349	29.051897	15.170709	106.655951	0.63871199999999995	2942.8292929999998	15.90924	150.526567	19.689336999999998	20	100	0	9.9223599999999994	5	0	0	0	100	96.663988000000003	0	0	1	50	60	1	79.868358000000001	0	-0.91000000000000003	0	0	null	null	0	-798190.92070899997	797729.19999999995	797645.86666699999	96	92	1	55	47	1	32	22	1	225	220	1	547.31957699999998	544.14404200000001	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
1009300	2025-04-29 17:40:32	91.040729999999996	100	20.167280000000002	221.69540000000001	2932.6660000000002	17.736499999999999	29.304760000000002	15.7103	106.7803	0.56541980000000003	2800	18	157.63460000000001	75.561869999999999	75.530000000000001	82.948650000000001	83	15.476369999999999	15.470000000000001	17.048719999999999	17	0	0.0024839490000000001	0	0	80	20.167280000000002	-0.97786519999999999	43.413249999999998	51.821510000000004	74.331310000000002	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.7949710000000003	3114.4083529999998	34.208956000000001	91	91.099999999999994	48	48.039999999999999	20.167280000000002	20.217279999999999	221.69540000000001	221.49539999999999	2939.4320750000002	19.795793	29.102039000000001	31.200845000000001	119.238007	0.42632799999999998	2950.9219429999998	15.75428	150.424342	19.702839999999998	20	100	0	9.9265150000000002	5	0	0	0	100	99.809501999999995	0	0	1	50	60	1	79.893915000000007	0	-0.91100000000000003	0	0	null	null	0	-798465.49578700005	2940.3217509999999	17.29027	29.080304999999999	15.256474000000001	106.841594	0.639324	2904.2190289999999	16.749613	150.83432199999999	19.698391000000001	20	100	0	9.9287419999999997	5	0	0	0	100	96.710397999999998	0	0	1	50	60	1	79.791420000000002	0	-0.91000000000000003	0	0	null	null	0	-798378.98561800004	797917.28000000003	797833.94666699995	96	92	1	55	47	1	32	22	1	225	220	1	547.30478700000003	544.12895100000003	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	0	1	1	1	0	1
1009301	2025-04-29 17:41:02	90.991659999999996	100	20.31195	221.435	2923.1390000000001	16.851680000000002	29.304760000000002	16.06475	107.0564	0.57856589999999997	2800	18	159.89150000000001	75.539760000000001	75.530000000000001	82.987340000000003	83	15.45072	15.470000000000001	17.011109999999999	17	0	0.0011824839999999999	0	0	80	20.31195	-0.9014778	43.413919999999997	51.821510000000004	74.442419999999998	28.905470000000001	1	45	30	0	0	3000	15	0	0	0	0	0	0	5.6640569999999997	3106.1887780000002	34.137070999999999	91	91.099999999999994	48	48.039999999999999	20.31195	20.36195	221.435	221.23500000000001	2936.5947120000001	19.784265999999999	29.127291	31.349567	119.346805	0.42841099999999999	2912.2731629999998	16.594290000000001	151.371287	19.717026000000001	20	100	0	9.9313880000000001	5	0	0	0	100	99.836701000000005	0	0	1	50	60	1	79.657178000000002	0	-0.91100000000000003	0	0	null	null	0	-798609.97536899999	2937.4843879999999	17.278184	29.105557000000001	15.401736	106.948086	0.64140699999999995	2913.9164489999998	16.540462000000002	151.78126700000001	19.712578000000001	20	100	0	9.9336160000000007	5	0	0	0	100	96.737021999999996	0	0	1	50	60	1	79.554682999999997	0	-0.91000000000000003	0	0	null	null	0	-798523.46456500003	798061.94999999995	797978.61666699999	96	92	1	55	47	1	32	22	1	225	220	1	547.11436900000001	543.93789900000002	2880	2720	23	19	55	28	30	20	130	120	85	55	100	100	3	1	70	45	1	1	1	1	1	1
