VarId		1	2	3	4	7	8	9	10	11	12	13	14	15	16	620199	620299	620499	620599	620699	620799	620899	51	52	53	54	55	56	57	58	59	6316	135	141	143	151	212	213	501	502	503	10000005	20000000	20000002	20000003	620101	620151	620201	620251	620401	620451	620501	620551	620601	620651	620701	620751	620801	620851	651101	651151	651201	651251	651301	651351	651401	651451	651501	651551	651521	651601	651651	651701	651751	651801	651851	651901	651951	20100	20100	20100	20200	20200	20400	20400	20500	20500	20600	20600	20700	20700	20800	20800	51	51	52	52	53	53	54	54	55	55	56	56	57	57	58	58	59	59	6100	6100	6100	600000	600000	7000	7000	8000	8000	8001	8001	8002	8002	10000	10000	7116	7116	7117	7117	7126	7126	7127	7127	7128	7128	7136	7136	7137	7137	7146	7146	7147	7147	7156	7156	7157	7157	7166	7166	7167	7167	7168	7168	7176	7176	7177	7177	7186	7186	7187	7187	7196	7196	7197	7197	4055	4056	4065	4066	4075	4076	853	851	851	1007000	1008001	1008002	1010000	1600000
1728999	2025-04-30 10:10:03	115	0	25	0.31216129999999997	20	21.92755	0	0	-0.65290820000000005	-0.65290820000000005	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.99823	0	0.025431430000000001	14.9	0.0088731729999999998	0	0	120	0.0088730000000000007	-0.040330459999999999	0.1006831	0	0	0	0	0	0	1	0	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.65290800000000004	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.018790999999999999	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729000	2025-04-30 10:10:33	115	0	25	0.34379290000000001	20	21.92821	0	0	-0.66492739999999995	-0.6644407	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.999020000000002	0	0.057346830000000001	14.9	0.0044914279999999996	0	0	120	0.0044910000000000002	-0.031349120000000001	0.10281120000000001	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.66492700000000005	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.034099999999999998	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729001	2025-04-30 10:11:03	115	0	25	0.31815399999999999	20	21.927610000000001	0	0	-0.63175950000000003	-0.63583520000000004	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	18	0	0.032321349999999999	14.9	0.0034000380000000002	0	0	120	0.0033999999999999998	-0.03640666	0.1077786	0	0	0	0	0	0	1	0	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.63175999999999999	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.019682000000000002	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729002	2025-04-30 10:11:33	115	0	25	0.32491560000000003	20	21.92755	0	0	-0.6512945	-0.6512945	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.947569999999999	0	0.02291851	14.9	0.0064857980000000001	0	0	120	0.0064859999999999996	-0.035049150000000001	0.102308	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.65129400000000004	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.016129000000000001	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729003	2025-04-30 10:12:03	115	0	25	0.33993030000000002	20	21.92755	0	0	-0.64979390000000004	-0.64979390000000004	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.999839999999999	0	0.04339577	14.9	0.0087899199999999997	0	0	120	0.0087899999999999992	-0.024169360000000001	0.1030543	0	0	0	0	0	0	1	0	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.64979399999999998	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.028677999999999999	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729004	2025-04-30 10:12:33	115	0	25	0.32001200000000002	20	21.927620000000001	0	0	-0.66152710000000003	-0.66152710000000003	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.99933	0	0.02502596	14.9	0.0088996300000000004	0	0	120	0.0088999999999999999	-0.019740859999999999	0.1105956	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.66152699999999998	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.018581	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729005	2025-04-30 10:13:03	115	0	25	0.35754180000000002	20	21.92755	0	0	-0.6661821	-0.66102839999999996	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	18	0	0.065645999999999996	14.9	0.0044906989999999999	0	0	120	0.0044910000000000002	-0.035369680000000001	0.10310560000000001	0	0	0	0	0	0	1	0	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.66618200000000005	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.038688	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729006	2025-04-30 10:13:33	115	0	25	0.35886449999999998	20	21.92755	0	0	-0.65429550000000003	-0.65130290000000002	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.995059999999999	0	0.073097809999999999	14.9	0.0020983180000000001	0	0	120	0.002098	-0.038032829999999997	0.1050991	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.65429499999999996	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.041531999999999999	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729007	2025-04-30 10:14:03	115	0	25	0.35566799999999998	20	21.92755	0	0	-0.64061559999999995	-0.64061559999999995	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	17.999580000000002	0	0.067541959999999998	14.9	0.0024079309999999999	0	0	120	0.002408	-0.037747469999999998	0.1100262	0	0	0	0	0	0	1	0	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.64061599999999996	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.038626000000000001	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
1729008	2025-04-30 10:14:33	115	0	25	0.32412469999999999	20	21.92755	0	0	-0.65268890000000002	-0.65268890000000002	25.5	25.5	-30	-30	0	0	0	0	0	0	0	120	18	0	0.03075553	14.9	0.0051930739999999998	0	0	120	0.0051929999999999997	-0.01700786	0.10258249999999999	0	0	0	0	0	0	1	1	0	0	0	70	70	0	0	0	0	0	0	0	0	70	70	0	0	0	0	70	70	180	180	40	40	0	0	19	40	40	20	20	100	100	0	0	115	null	115	25	null	20	null	0	null	-0.65268899999999996	null	25.5	null	-30	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.019772000000000001	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	0	0	0	0	0	null	null	null	null	null	null	null
