10586354	2025-05-11 08:25:28	0	0.74477400000000005	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.82085686922073364	null	null	8.6878576278686523	null	null	15.092512130737305	null	null	17.394741058349609	null	null	null	null	null	4.9549083709716797	null	null	128.75048828125	null	null	0.032097045332193375	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.0507559776306152	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586355	2025-05-11 08:25:58	0	0.75254500000000002	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.82488727569580078	null	null	8.7082719802856445	null	null	15.096437454223633	null	null	17.392129898071289	null	null	null	null	null	5.2513160705566406	null	null	128.60310363769531	null	null	0.031831394881010056	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	1.7992092370986938	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586356	2025-05-11 08:26:28	0	0.72887999999999997	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.82942026853561412	null	null	8.7155342102050781	null	null	15.139621734619141	null	null	17.256391525268555	null	null	null	null	null	5.2518115043640137	null	null	128.33604431152344	null	null	0.032062049955129623	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.0699188709259033	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586357	2025-05-11 08:26:58	0	0.74563000000000001	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.82736515998840332	null	null	8.7121973037719727	null	null	15.116067886352541	null	null	17.724344253540039	null	null	null	null	null	5.1845402717590332	null	null	128.18022155761719	null	null	0.03221505880355835	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	1.8593255281448364	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586358	2025-05-11 08:27:28	0	0.76001700000000005	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.83262676000595093	null	null	8.7108240127563477	null	null	15.118030548095703	null	null	17.183879852294922	null	null	null	null	null	4.9598026275634766	null	null	127.84652709960938	null	null	0.032544918358325958	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.0756924152374268	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586359	2025-05-11 08:27:58	0	0.73685800000000001	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.80739825963973999	null	null	8.710627555847168	null	null	15.139621734619141	null	null	17.877832412719727	null	null	null	null	null	5.2064690589904785	null	null	127.97522735595705	null	null	0.032400812953710556	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	1.8524986505508425	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586360	2025-05-11 08:28:28	0	0.74585699999999999	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.81287670135498047	null	null	8.7092533111572266	null	null	15.119993209838867	null	null	17.875473022460938	null	null	null	null	null	5.4297928810119629	null	null	127.79071807861328	null	null	0.032278522849082947	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.063751220703125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586361	2025-05-11 08:28:58	0	0.73998699999999995	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.8273172378540038	null	null	8.7027759552001953	null	null	15.131771087646484	null	null	17.71980094909668	null	null	null	null	null	5.130218505859375	null	null	127.70584106445312	null	null	0.032930351793766022	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	1.844321012496948	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586362	2025-05-11 08:29:28	0	0.75490800000000002	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.80763626098632812	null	null	8.6678352355957031	null	null	15.139621734619141	null	null	18.207725524902344	null	null	null	null	null	4.8804178237915039	null	null	127.3726806640625	null	null	0.032270424067974091	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.0572769641876221	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586363	2025-05-11 08:29:58	0	0.74311199999999999	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	0.81414324045181286	null	null	8.7131795883178711	null	null	15.127845764160156	null	null	17.742990493774414	null	null	null	null	null	5.2704939842224121	null	null	127.249755859375	null	null	0.032832484692335129	null	null	11.699999809265137	11.699999999999999	null	null	5.3054740524005333e-38	null	null	2.0233051776885982	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
