10586818	2025-05-11 12:18:53	0	5.2203499999999998	null	1610.0070800000001	null	5	null	79	null	515.00885000000005	null	550	null	null	null	null	11.20541286468506	null	null	8.6114997863769531	null	null	80.210220336914062	null	null	55.003192901611328	null	null	null	null	null	5.0650811195373535	null	null	180	null	null	0.043035261332988739	null	null	11.699999809265137	11.699999999999999	null	null	2766.515380859375	null	null	1.8599264621734619	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586819	2025-05-11 12:19:23	0	8	null	1610.0070800000001	null	5	null	75	null	500	null	550	null	null	null	null	26.647781372070312	null	null	9.5258245468139648	null	null	85.890892028808594	null	null	145.31649780273438	null	null	null	null	null	4.9321341514587402	null	null	180	null	null	0.054511543363332755	null	null	11.699999809265137	11.699999999999999	null	null	3184.388671875	null	null	328.54092407226562	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586820	2025-05-11 12:19:53	0	8	null	1610.0070800000001	null	5	null	75	null	500	null	550	null	null	null	null	28.70482063293457	null	null	2.1866860389709473	null	null	87.480850219726562	null	null	124.80347442626952	null	null	null	null	null	5.0043373107910156	null	null	180	null	null	0.76212394237518299	null	null	11.699999809265137	11.699999999999999	null	null	3375.154296875	null	null	555.59112548828125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586821	2025-05-11 12:20:23	0	7.5	null	1610.0070800000001	null	5	null	80	null	500	null	550	null	null	null	null	32.793270111083984	null	null	2.7412092685699463	null	null	89.212142944335938	null	null	174.69320678710938	null	null	null	null	null	5.150423526763916	null	null	180	null	null	0.40514430403709406	null	null	11.699999809265137	11.699999999999999	null	null	3471.184814453125	null	null	2708.20703125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586822	2025-05-11 12:20:53	0	7.5	null	1610.0070800000001	null	5	null	78	null	500	null	550	null	null	null	null	34.035202026367188	null	null	2.0168941020965576	null	null	89.543869018554688	null	null	188.31961059570312	null	null	null	null	null	6.2293233871459961	null	null	180	null	null	0.35824531316757202	null	null	11.699999809265137	11.699999999999999	null	null	3611.955810546875	null	null	2470.99365234375	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586823	2025-05-11 12:21:23	0	7.5	null	1610.0070800000001	null	5	null	78	null	500	null	550	null	null	null	null	34.383354187011719	null	null	2.80029296875	null	null	90.081710815429702	null	null	198.51152038574219	null	null	null	null	null	6.15447998046875	null	null	180	null	null	0.33064252138137817	null	null	11.699999809265137	11.699999999999999	null	null	3730.515380859375	null	null	2600.03125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586824	2025-05-11 12:21:53	0	7.5	null	1610.0070800000001	null	5	null	78	null	500	null	550	null	null	null	null	34.256671905517578	null	null	2.5568916797637939	null	null	90.360443115234375	null	null	197.87271118164065	null	null	null	null	null	5.5314602851867676	null	null	188.99491882324219	null	null	0.37339982390403742	null	null	11.699999809265137	11.699999999999999	null	null	3797.8466796875	null	null	2816.8193359375	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586825	2025-05-11 12:22:23	0	7.5	null	1610.0070800000001	null	5	null	78	null	500	null	550	null	null	null	null	33.621540069580078	null	null	2.4618866443634033	null	null	90.0228271484375	null	null	183.22434997558591	null	null	null	null	null	5.8420495986938477	null	null	186.90095520019531	null	null	0.35247015953063965	null	null	11.699999809265137	11.699999999999999	null	null	3718.333740234375	null	null	2566.684326171875	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586826	2025-05-11 12:22:53	0	7.5	null	1610.0070800000001	null	5	null	79	null	500	null	550	null	null	null	null	33.142971038818359	null	null	1.7658373117446899	null	null	89.426101684570298	null	null	192.0626220703125	null	null	null	null	null	5.4050140380859375	null	null	190.2225646972656	null	null	0.3743460476398468	null	null	11.699999809265137	11.699999999999999	null	null	3647.421875	null	null	2758.568359375	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586827	2025-05-11 12:23:23	0	7.5	null	1610.0070800000001	null	5	null	79	null	510	null	550	null	null	null	null	32.776134490966797	null	null	2.9995288848876953	null	null	89.272994995117188	null	null	179.29978942871094	null	null	null	null	null	5.1909680366516113	null	null	193.0111389160156	null	null	0.37315469980239874	null	null	11.699999809265137	11.699999999999999	null	null	3641.561279296875	null	null	2385.90673828125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586828	2025-05-11 12:23:53	0	7.5	null	1610.0070800000001	null	5	null	79	null	520	null	550	null	null	null	null	32.706287384033203	null	null	2.8293440341949463	null	null	88.874519348144531	null	null	173.88809204101562	null	null	null	null	null	5.4246869087219238	null	null	192.68675231933591	null	null	0.41466546058654785	null	null	11.699999809265137	11.699999999999999	null	null	3618.978515625	null	null	2255.1591796875	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586829	2025-05-11 12:24:23	0	7.5	null	1610.0070800000001	null	5	null	79	null	520	null	550	null	null	null	null	32.831127166748047	null	null	2.1715717315673828	null	null	88.656631469726562	null	null	178.21937561035156	null	null	null	null	null	5.4415006637573242	null	null	190.03523254394531	null	null	0.3374570906162262	null	null	11.699999809265137	11.699999999999999	null	null	3595.224853515625	null	null	2500.377685546875	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586830	2025-05-11 12:24:53	0	7.5	null	1610.0070800000001	null	5	null	79	null	520	null	550	null	null	null	null	32.628528594970703	null	null	2.0557596683502197	null	null	89.121849060058594	null	null	175.73626708984375	null	null	null	null	null	5.2946376800537109	null	null	189.15386962890625	null	null	0.4439263641834259	null	null	11.699999809265137	11.699999999999999	null	null	3629.948486328125	null	null	2530.920654296875	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586831	2025-05-11 12:25:23	0	7.5	null	1610.0070800000001	null	5	null	79	null	520	null	550	null	null	null	null	32.339214324951172	null	null	1.992357611656189	null	null	89.082588195800781	null	null	173.29995727539062	null	null	null	null	null	5.1093349456787109	null	null	189.67219543457031	null	null	0.4221225380897522	null	null	11.699999809265137	11.699999999999999	null	null	3627.294189453125	null	null	2467.450927734375	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586832	2025-05-11 12:25:53	0	7.5	7.4749999999999996	1610.0070800000001	1609.0070800000001	5	4.5	79	79.010000000000005	520	519.60000000000002	550	549.89999999999998	null	-0.16949900000000001	-0.21201200000000001	32.551807403564453	32.382308000000002	32.339795000000002	2.7520053386688232	2.7547920000000001	2.7445580000000001	88.8489990234375	88.749977999999999	88.848999000000006	171.91914367675781	169.91502199999999	169.533331	null	-0.209365	-0.17371	5.3863449096679688	5.1769790000000002	5.2126340000000004	190.72390747070312	191.24315799999999	191.31245999999999	0.37754404544830322	0.38955800000000002	0.391179	11.699999809265137	11.699999999999999	11.554808	11.699999999999999	3619.677734375	3596.8733480000001	3602.7390730000002	2550.6708984375	2537.5487130000001	2535.281935	-11948888.416629	-11946285.908327	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.858441	1.857979	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9946130000000002	7.9902749999999996	181.85305399999999	181.848253	1	1	1	1	1	0	null	null	137.90639899999999	1498.506179	128.95950400000001	107.882229	4520.5936659999998	2063.3330190000001	12.414229000000001	0.19247600000000001	0	-0.27284999999999998	-0.28569299999999997	21.791902	9.4583659999999998	-5.7285959999999996	10.238758000000001	11.699999999999999	-0.020695999999999999	-0.98524500000000004	0.12586600000000001	0.034435	-0.12662499999999999	0.034435	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586833	2025-05-11 12:26:23	0	7.5	7.4749999999999996	1610.0070800000001	1609.0070800000001	5	4.5	79	79.010000000000005	520	519.60000000000002	550	549.89999999999998	null	-0.17022100000000001	-0.21265300000000001	32.283500671386719	32.113280000000003	32.070847999999998	2.2809059619903564	2.2836919999999998	2.2734580000000002	88.709640502929702	88.610619999999997	88.709641000000005	170.87712097167969	168.86747	168.486402	null	-0.20604600000000001	-0.17038800000000001	5.5130448341369629	5.3069990000000002	5.342657	191.35350036621097	191.80350300000001	191.873741	0.3885243833065033	0.40803	0.40967199999999998	11.699999809265137	11.699999999999999	11.554808	11.699999999999999	3599.16357421875	3576.2882100000002	3582.1617999999999	2331.303955078125	2318.1495369999998	2315.886195	-11948888.392847	-11946285.884484001	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.854705	1.8542369999999999	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9745660000000003	7.9701740000000001	181.829272	181.824411	1	1	1	1	1	1	null	null	137.99471700000001	1609.415921	114.954099	89.896596000000002	3722.2153709999998	1723.032326	13.279223	0.20235800000000001	0	-0.372948	-0.26039099999999998	23.28415	9.3377060000000007	-5.9221469999999998	10.228199	11.699999999999999	-0.020943	-1.062891	0.013361	0.027594	0.0060590000000000001	0.027594	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586834	2025-05-11 12:26:53	0	7.5	7.4749999999999996	1610.0070800000001	1609.0070800000001	5	4.5	79	79.010000000000005	520	519.60000000000002	550	549.89999999999998	null	-0.17952699999999999	-0.22143199999999999	32.308509826660156	32.128982000000001	32.087077999999998	2.3986809253692627	2.4014669999999998	2.3912330000000002	88.73907470703125	88.640054000000006	88.739075	174.97731018066406	172.896368	172.51935399999999	null	-0.20114399999999999	-0.16548199999999999	5.1191725730895996	4.9180289999999998	4.9536910000000001	191.61669921875	191.991094	192.06229500000001	0.39481443166732783	0.40917199999999998	0.41079700000000002	11.699999809265137	11.699999999999999	11.554808	11.699999999999999	3580.85302734375	3557.0623919999998	3562.986257	2478.509521484375	2464.9392720000001	2462.696938	-11948888.405370999	-11946285.897047	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.8534539999999999	1.8529800000000001	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9883410000000001	7.983994	181.84179599999999	181.836974	1	1	1	1	1	0	null	null	138.085858	1727.3538000000001	98.543580000000006	71.465663000000006	2818.7168809999998	1364.1678690000001	14.132612999999999	0.21041899999999999	0	-0.10992399999999999	-0.30401	24.757883	9.093674	-6.166995	10.210654999999999	11.699999999999999	-0.021063999999999999	-1.1392409999999999	0.019043000000000001	0.023148999999999999	0.002029	0.023148999999999999	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586835	2025-05-11 12:27:23	0	7.5	7.4749999999999996	1610.0070800000001	1609.3404129999999	5	4.5	79	79.006666999999993	520	519.60000000000002	550	549.89999999999998	null	-0.18940399999999999	-0.22673199999999999	32.338596343994141	32.149192999999997	32.111863999999997	2.1122915744781494	2.114919	2.1048439999999999	88.731231689453125	88.632210999999998	88.731232000000006	178.95570373535156	176.780427	176.457157	null	-0.20336099999999999	-0.16559599999999999	5.2420282363891602	5.0386670000000002	5.0764319999999996	191.17544555664065	191.48289800000001	191.55490699999999	0.37401041388511658	0.38123600000000002	0.38267800000000002	11.699999809265137	11.699999999999999	11.553953	11.699999999999999	3590.4658203125	3565.7034910000002	3572.0766899999999	2733.502685546875	2719.369901	2717.4515299999998	-11948888.420418	-11946285.916436	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.856843	1.8563620000000001	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	8	8	181.856843	181.85636199999999	1	1	1	1	1	1	null	null	138.18264500000001	1857.447625	80.473397000000006	54.981591000000002	1975.745212	1007.284723	14.969963999999999	0.21970500000000001	0	0.021590999999999999	-0.356105	26.214516	8.6662909999999993	-6.4157219999999997	10.192503	11.699999999999999	-0.021314	-1.2193940000000001	0.028608000000000001	0.017486999999999999	-0.0084499999999999992	0.017486999999999999	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586836	2025-05-11 12:27:53	0	7.5	7.4749999999999996	1610.0070800000001	1609.118191	5	4.5	79	79.008888999999996	520	519.60000000000002	550	549.89999999999998	null	-0.188356	-0.228102	32.038536071777344	31.850180000000002	31.810434000000001	3.0539014339447021	3.056635	3.0464540000000002	88.725341796875	88.626321000000004	88.725341999999998	173.50605773925781	171.35126399999999	170.99702099999999	null	-0.198548	-0.16217799999999999	5.4141454696655273	5.215598	5.2519669999999996	190.6099853515625	190.83460500000001	190.907566	0.37889435887336725	0.39343699999999998	0.39500400000000002	11.699999809265137	11.699999999999999	11.554523	11.699999999999999	3600.23046875	3575.5712600000002	3581.7063250000001	2475.784912109375	2461.7795070000002	2459.6720759999998	-11948888.412586	-11946285.904402999	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.861165	1.8606780000000001	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9878460000000002	7.9836520000000002	181.84901099999999	181.84433000000001	1	1	1	1	1	0	null	null	138.28697099999999	1975.261217	60.537129	38.471310000000003	1262.541878	664.96425599999998	15.801143	0.23220399999999999	0	-0.013733	-0.410524	27.635121000000002	8.1627989999999997	-6.6484920000000001	10.170292999999999	11.699999999999999	-0.021647	-1.2880210000000001	0.040753999999999999	-0.00496	-0.021971999999999998	-0.00496	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586837	2025-05-11 12:28:23	0	7.5	7.4749999999999996	1610.0070800000001	1609.229302	5	4.5	79	79.007778000000002	520	519.60000000000002	550	549.89999999999998	null	-0.15298900000000001	-0.190361	32.390213012695312	32.203001999999998	32.16563	2.8316996097564697	2.199316	2.1891189999999998	88.721412658691406	88.630242999999993	88.729263000000003	175.00579833984375	174.61370099999999	174.280721	null	-0.20929700000000001	-0.172231	5.4111518859863281	4.9594420000000001	4.9965080000000004	191.25212097167969	190.70101399999999	190.772246	0.41334757208824158	0.41968100000000003	0.421184	11.699999809265137	11.699999999999999	11.554238	11.699999999999999	3580.874755859375	3562.8121070000002	3569.2224999999999	2503.30029296875	2621.736578	2619.758941	-11948888.424063001	-11946285.916065	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.862055	1.86158	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9984330000000003	7.9944119999999996	181.860488	181.85599199999999	1	1	1	1	1	1	null	null	138.39852099999999	2094.3838380000002	39.59836	22.632815999999998	678.19925999999998	339.91751399999998	16.633043000000001	0.24177799999999999	0	-0.0098189999999999996	-0.57731699999999997	28.888725000000001	7.521566	-6.8653170000000001	10.154928999999999	11.699999999999999	-0.021683999999999998	-1.359054	0.017429	-0.0069560000000000004	0.0054799999999999996	-0.0069560000000000004	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586838	2025-05-11 12:28:53	0	7.5	7.4749999999999996	1610.0070800000001	1609.426833	5	4.5	79	79.005802000000003	520	519.60000000000002	550	549.89999999999998	null	-0.192019	-0.226411	32.337440490722656	32.145420999999999	32.11103	2.5033040046691895	2.50589	2.495857	88.972671508789062	88.873650999999995	88.972672000000003	179.66102600097656	177.46087299999999	177.164941	null	-0.192797	-0.154476	5.1036567687988281	4.9108599999999996	4.9491800000000001	191.02491760253903	191.069165	191.144047	0.45535427331924438	0.461343	0.46272999999999997	11.699999809265137	11.699999999999999	11.553732	11.699999999999999	3584.810302734375	3559.7905839999999	3566.4528559999999	2787.8046875	2773.5234500000001	2771.7680059999998	-11948888.423176	-11946285.919175001	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.8596010000000001	1.859102	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	8	8	181.859601	181.85910200000001	1	1	1	1	1	0	null	null	138.50604899999999	2227.0420290000002	20.467002999999998	10.277343999999999	243.40961799999999	96.696843999999999	17.460640999999999	0.25068800000000002	0	0.24732999999999999	-1.0692729999999999	29.688030999999999	6.7825300000000004	-7.1033359999999997	10.147845	11.699999999999999	-0.021356	-1.433889	-0.0023530000000000001	0.0034510000000000001	0.028043999999999999	0.0034510000000000001	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
10586839	2025-05-11 12:29:23	0	7.5	7.4749999999999996	1610.0070800000001	1609.1963800000001	5	4.5	79	79.008106999999995	520	519.60000000000002	550	549.89999999999998	null	-0.18836800000000001	-0.22520799999999999	32.772884368896484	32.584516000000001	32.547676000000003	2.5117447376251221	2.5144410000000001	2.5042970000000002	89.094367980957017	88.995346999999995	89.094368000000003	180.2337646484375	178.07449399999999	177.746892	null	-0.191718	-0.15484500000000001	5.1535706520080566	4.9618529999999996	4.9987259999999996	190.82725524902344	190.79582099999999	190.87145799999999	0.41197127103805542	0.42705199999999999	0.42857299999999998	11.699999809265137	11.699999999999999	11.554323	11.699999999999999	3617.217529296875	3592.5571070000001	3598.9786450000001	2460.556884765625	2446.522622	2444.574361	-11948888.411404001	-11946285.903329	1	1	0.99500999999999995	0.99500999999999995	1	1	1	1	1	1	0.98348400000000002	0.98098099999999999	1	1	1	1	1	1	0.99011000000000005	0.99000999999999995	1	1	0.98009800000000002	0.98009800000000002	11.948701	11.946099	2	2	1.861423	1.860919	8	8	8	8	10	10	10	10	8	8	8	8	8	8	8	8	8	8	8	8	1	1	25	25	10	10	10	10	10	10	10	10	10	10	10	10	7.9864050000000004	7.9823370000000002	181.84782799999999	181.843256	1	1	1	1	1	1	null	null	138.57948400000001	2328.573222	5.4575909999999999	-0.347248	-24.258845000000001	21.199528999999998	18.275347	0.263795	0	0.37295499999999998	-1.9818420000000001	29.487475	5.7906389999999996	-7.3743869999999996	10.144641	11.699999999999999	-0.020959999999999999	-1.5094110000000001	-0.0068849999999999996	0.010666999999999999	0.031664999999999999	0.010666999999999999	490	75	7	1605	480	1	515	85	7.3000001907348642	1610	540	3	0	0.30000001192092896	0	4600	2000	3830	0	350	0	30	29	40	0	0.5	165	170
