997831	2025-04-30 01:25:29	50.563130000000001	70.16592	19.125640000000001	228.30109999999999	2571.672	17.098790000000001	60.918489999999998	42.228270000000002	92.791399999999996	29.894130000000001	4100	1.7	47.953859999999999	47.75	94.925640000000001	96	2.449932	2.25	4.8512950000000004	4	0.112779	0	0	0	80	-0.33433449999999998	32.117179999999998	86.545500000000004	54.295400000000001	28.471450000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.021600000000007	19.125640000000001	19.175640000000001	228.30109999999999	228.7011	2572.499781	19.785944000000001	60.998716999999999	53.330224000000001	110.01844199999999	31.417835	4098.7776059999997	1.7391270000000001	575.77945599999998	790945.32952399994	0	0	0	20	19.862499	100	0	4.2000640000000002	0	0	0	100	100	100	0	1	50	60	0.99478299999999997	2662.586213	53.145432999999997	-791521.60997899994	2571.3990800000001	17.216148	61.009363999999998	42.488048999999997	93.182715999999999	31.356100999999999	4096.4498759999997	1.967635	790758.42476199998	0	0	0	20	19.856995000000001	100	0	4.1995319999999996	0	0	0	100	96.636543000000003	100	0	1	50	60	0.99935300000000005	2660.502563	53.210051	-791331.61718499998	62	52	1	75	68	1	25	22	1	260	250	1	572.69242299999996	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	0	1
997832	2025-04-30 01:25:59	50.238509999999998	70.223789999999994	19.125640000000001	230.11529999999999	2567.6030000000001	17.03604	59.581719999999997	42.23462	92.473129999999998	30.671970000000002	4100	1.7	47.677810000000001	47.75	94.895409999999998	96	2.4453930000000001	2.25	4.8747309999999997	4	0.1153077	0	0	0	80	-0.30898789999999998	32.117179999999998	86.516570000000002	55.232869999999998	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.023073999999994	19.125640000000001	19.175640000000001	230.11529999999999	230.5153	2572.1719159999998	19.768288999999999	59.662649000000002	53.536988999999998	110.009083	31.485399999999998	4094.3234649999999	2.0688059999999999	575.85691499999996	791550.06285700004	0	0	0	20	19.860859999999999	100	0	4.2668679999999997	0	0	0	100	100	100	0	1	50	60	1	2660.9625569999998	53.113025	-792126.42077199998	2571.0753519999998	17.153618000000002	59.672593999999997	42.495283999999998	92.865820999999997	31.430029999999999	4091.4210840000001	2.3502149999999999	791363.15809499996	0	0	0	20	19.855377000000001	100	0	4.2663700000000002	0	0	0	100	96.573164000000006	100	0	1	50	60	1	2658.8701489999999	53.177402999999998	-791936.35300600005	62	52	1	75	68	1	25	22	1	260	250	1	572.69491100000005	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	1	1
997833	2025-04-30 01:26:29	50.255249999999997	70.223789999999994	19.125640000000001	228.39660000000001	2574.2139999999999	17.09036	58.563229999999997	42.455860000000001	92.829679999999996	31.229030000000002	4100	1.7	47.694029999999998	47.75	94.916650000000004	96	2.445837	2.25	4.8544939999999999	4	0.1153824	0	0	0	80	-0.34482869999999999	32.117179999999998	86.516570000000002	54.295400000000001	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.021360999999999	19.125640000000001	19.175640000000001	228.39660000000001	228.79660000000001	2572.751542	19.769441	58.643343999999999	53.521968999999999	110.00146599999999	31.599644000000001	4089.2311829999999	2.447282	575.89917400000002	790977.16285700002	0	0	0	20	19.863758000000001	100	0	4.3178330000000003	0	0	0	100	100	100	0	1	50	60	1	2660.6024539999999	53.105837000000001	-791553.56303099997	2571.6501709999998	17.206665000000001	58.654103999999997	42.711404000000002	93.214412999999993	31.53688	4096.1867249999996	1.9872650000000001	790790.25809500006	0	0	0	20	19.858250999999999	100	0	4.3172949999999997	0	0	0	100	96.642882999999998	100	0	1	50	60	0.99974499999999999	2658.520133	53.170403	-791363.57626899995	62	52	1	75	68	1	25	22	1	260	250	1	572.818173	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	0	1
997834	2025-04-30 01:26:59	50.450949999999999	70.194850000000002	19.31371	228.11009999999999	2572.3110000000001	17.704270000000001	59.83634	42.597909999999999	93.048860000000005	32.850360000000002	4100	1.7	47.876339999999999	47.75	94.891009999999994	96	2.4624079999999999	2.25	4.8859870000000001	4	0.1122084	0	0	0	80	-0.325851	32.117179999999998	86.574439999999996	54.686010000000003	28.471450000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.020399999999995	19.31371	19.363710000000001	228.11009999999999	228.51009999999999	2573.2146029999999	20.353977	59.915996	53.533721999999997	110.01977100000001	31.840994999999999	4093.9736440000001	2.0838329999999998	575.84444699999995	790975.69785700005	0	0	0	20	19.866073	100	0	4.2542	0	0	0	100	100	100	0	1	50	60	1	2662.7216589999998	53.148136999999998	-791552.04330400005	2572.1105339999999	17.820706999999999	59.927213999999999	42.853980999999997	93.434413000000006	31.774083000000001	4096.9842779999999	1.9285079999999999	790788.79309499997	0	0	0	20	19.860552999999999	100	0	4.2536389999999997	0	0	0	100	96.686882999999995	100	0	1	50	60	0.99856999999999996	2660.6451400000001	53.212902999999997	-791362.09273999999	62	52	1	75	68	1	25	22	1	260	250	1	572.79964500000006	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	1	1
997835	2025-04-30 01:27:29	50.110019999999999	70.194850000000002	19.270309999999998	227.91919999999999	2580.8470000000002	17.431339999999999	58.881500000000003	42.754359999999998	92.883499999999998	31.130040000000001	4100	1.7	47.617789999999999	47.75	94.858339999999998	96	2.46394	2.25	4.9164969999999997	4	0.11262949999999999	0	0	0	80	-0.33792430000000001	32.117179999999998	86.516570000000002	54.686010000000003	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.021120999999994	19.270309999999998	19.320309999999999	227.34630000000001	227.74629999999999	2573.7211259999999	20.102197	58.961499000000003	53.783966999999997	109.999014	31.258078000000001	4094.8044580000001	2.022459	575.90063999999995	790699.397857	0	0	0	20	19.868606	100	0	4.3019249999999998	0	0	0	100	99.999803	100	0	1	50	60	1	2661.7766689999999	53.129275	-791275.79949700006	2572.6190799999999	17.546482000000001	58.972374000000002	43.005226	93.260963000000004	31.194275000000001	4099.1175789999998	1.7742629999999999	790512.49309500004	0	0	0	20	19.863095000000001	100	0	4.3013810000000001	0	0	0	100	96.652192999999997	100	0	1	50	60	0.99548499999999995	2659.6956810000001	53.193913999999999	-791085.80524999998	62	52	1	75	68	1	25	22	1	260	250	1	572.81215499999996	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	0	1
997836	2025-04-30 01:27:59	50.477449999999997	70.16592	19.0533	228.874	2572.4380000000001	17.540880000000001	60.281930000000003	41.975929999999998	92.453370000000007	30.45261	4100	1.7	47.91789	47.75	94.924700000000001	96	2.4461580000000001	2.25	4.8506669999999996	4	0.1133957	0	0	0	80	-0.40311360000000002	32.117179999999998	86.545500000000004	54.373519999999999	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.023193000000006	19.0533	19.103300000000001	228.874	229.274	2573.2633999999998	20.276793999999999	60.362915999999998	53.294601	110.014448	31.090502000000001	4096.9889750000002	1.8718870000000001	575.82077500000003	791100.12618999998	0	0	0	20	19.866316999999999	100	0	4.2318540000000002	0	0	0	100	100	100	0	1	50	60	0.99743800000000005	2662.6688610000001	53.147083000000002	-791676.44796500006	2572.1671710000001	17.658521	60.372804000000002	42.236843999999998	92.846449000000007	31.035646	4094.8772779999999	2.0861239999999999	790913.22142900003	0	0	0	20	19.860835999999999	100	0	4.2313599999999996	0	0	0	100	96.569289999999995	100	0	1	50	60	1	2660.575754	53.211514999999999	-791486.38291399996	62	52	1	75	68	1	25	22	1	260	250	1	572.66148599999997	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	1	1
997837	2025-04-30 01:28:29	50.072580000000002	70.16592	19.197980000000001	227.72819999999999	2574.5320000000002	17.73967	61.87332	41.751989999999999	91.824569999999994	30.223949999999999	4100	1.7	47.520040000000002	47.75	94.90231	96	2.4382600000000001	2.25	4.8694509999999998	4	0.11427809999999999	0	0	0	80	-0.48086220000000002	32.117179999999998	86.545500000000004	54.295400000000001	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.026196999999996	19.197980000000001	19.247979999999998	227.72819999999999	228.12819999999999	2573.259787	20.566604999999999	61.955734999999997	53.476396999999999	110.010835	31.065588999999999	4092.8451709999999	2.1792009999999999	575.74751100000003	790790.53285700001	0	0	0	20	19.866299000000001	100	0	4.1522129999999997	0	0	0	100	100	100	0	1	50	60	1	2664.3480370000002	53.180599999999998	-791366.78136799997	2572.1719889999999	17.857827	61.964193999999999	42.014982000000003	92.220877999999999	31.023700999999999	4098.0609119999999	1.850848	790603.62809500005	0	0	0	20	19.860859999999999	100	0	4.1517900000000001	0	0	0	100	96.444175999999999	100	0	1	50	60	0.99701700000000004	2662.2374300000001	53.244748999999999	-791176.58193800005	62	52	1	75	68	1	25	22	1	260	250	1	572.45384300000001	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	0	1
997838	2025-04-30 01:28:59	50.581809999999997	70.16592	19.41498	228.874	2579.0799999999999	17.33305	61.23677	42.401989999999998	92.983800000000002	30.210319999999999	4100	1.7	48.006019999999999	47.75	94.907669999999996	96	2.4621390000000001	2.25	4.8676370000000002	4	0.1136436	0	0	0	80	-0.48012749999999998	32.117179999999998	86.545500000000004	54.686010000000003	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.020639000000003	19.41498	19.464980000000001	228.874	229.274	2573.0997510000002	19.990952	61.316540000000003	53.374139	110.010734	31.108665999999999	4095.8553240000001	1.9495290000000001	575.77077399999996	791280.96618999995	0	0	0	20	19.865499	100	0	4.1841730000000004	0	0	0	100	100	100	0	1	50	60	0.99899099999999996	2663.3656590000001	53.160991000000003	-791857.23796399997	2571.9963520000001	17.450652999999999	61.327643999999999	42.662753000000002	93.376643999999999	31.042784000000001	4094.8830670000002	2.0860759999999998	791094.06142899999	0	0	0	20	19.859981999999999	100	0	4.1836180000000001	0	0	0	100	96.675329000000005	100	0	1	50	60	1	2661.2878099999998	53.225755999999997	-791667.28035699995	62	52	1	75	68	1	25	22	1	260	250	1	572.71892800000001	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	1	1
997839	2025-04-30 01:29:29	50.382060000000003	70.16592	18.86523	229.35140000000001	2568.6120000000001	17.56446	61.109459999999999	42.209290000000003	92.591350000000006	30.255700000000001	4100	1.7	47.786679999999997	47.75	94.848579999999998	96	2.4810919999999999	2.25	4.9245530000000004	4	0.11429019999999999	0	0	0	80	-0.51693659999999997	32.117179999999998	86.545500000000004	54.764139999999998	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.022561999999994	18.86523	18.915230000000001	229.35140000000001	229.75139999999999	2572.3380809999999	20.281292000000001	61.190145000000001	53.443100000000001	110.021636	30.912825999999999	4092.7472339999999	2.1852079999999998	575.77018999999996	791165.22452399996	0	0	0	20	19.861689999999999	100	0	4.190493	0	0	0	100	100	100	0	1	50	60	1	2662.4493389999998	53.142701000000002	-791741.49571399996	2571.24008	17.682267	61.200333999999998	42.470872999999997	92.985468999999995	30.855243999999999	4093.5707219999999	2.186356	790978.319762	0	0	0	20	19.856200000000001	100	0	4.1899829999999998	0	0	0	100	96.597093999999998	100	0	1	50	60	1	2660.359993	53.2072	-791551.46303900005	62	52	1	75	68	1	25	22	1	260	250	1	572.64327700000001	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	0	1
997840	2025-04-30 01:29:59	50.547409999999999	70.223789999999994	18.980969999999999	227.8237	2573.1869999999999	17.60594	59.83634	42.753810000000001	93.301220000000001	31.415859999999999	4100	1.7	47.979660000000003	47.75	94.920090000000002	96	2.4542030000000001	2.25	4.8552489999999997	4	0.113548	0	0	0	80	-0.48104629999999998	32.117179999999998	86.545500000000004	54.061030000000002	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.019077999999993	18.980969999999999	19.03097	227.8237	228.22370000000001	2571.6816789999998	20.217628000000001	59.915367000000003	53.521220999999997	110.01247600000001	30.942730999999998	4091.3144729999999	2.282651	575.823802	790713.86118999997	0	0	0	20	19.858408000000001	100	0	4.254232	0	0	0	100	100	100	0	1	50	60	1	2660.5153209999999	53.104098	-791290.18599200004	2570.5738980000001	17.726036000000001	59.927213999999999	43.024602000000002	93.709650999999994	30.870111000000001	4097.8110999999999	1.870009	790526.95642900001	0	0	0	20	19.852868999999998	100	0	4.2536389999999997	0	0	0	100	96.741929999999996	100	0	1	50	60	0.99739999999999995	2658.4471859999999	53.168944000000003	-791100.30226799997	62	52	1	75	68	1	25	22	1	260	250	1	572.84583899999996	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
997841	2025-04-30 01:30:29	50.419879999999999	70.194850000000002	18.821829999999999	226.3914	2568.0740000000001	16.882899999999999	61.109459999999999	42.550710000000002	92.969440000000006	31.147739999999999	4100	1.7	47.861969999999999	47.75	94.928920000000005	96	2.4408089999999998	2.25	4.8410760000000002	4	0.1159486	0	0	0	80	-0.41151349999999998	32.117179999999998	86.574439999999996	54.686010000000003	28.471450000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.020636999999994	18.821829999999999	18.871829999999999	226.3914	226.79140000000001	2571.5500280000001	19.543939000000002	61.189228999999997	53.536791999999998	110.017855	30.980757000000001	4095.598688	1.9615610000000001	575.76127299999996	790156.85785699997	0	0	0	20	19.857749999999999	100	0	4.1905390000000002	0	0	0	100	100	100	0	1	50	60	0.99923099999999998	2661.4346129999999	53.122447000000001	-790733.12013000005	2570.446625	17.004802999999999	61.200333999999998	42.828771000000003	93.389168999999995	30.914867999999998	4101.7826230000001	1.5865370000000001	789969.953095	0	0	0	20	19.852232999999998	100	0	4.1899829999999998	0	0	0	100	96.677834000000004	100	0	0.99964299999999995	50	60	0.99173100000000003	2659.3571860000002	53.187144000000004	-790543.16451999999	62	52	1	75	68	1	25	22	1	260	250	1	572.71142399999997	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	1	1
997842	2025-04-30 01:30:59	50.235909999999997	70.136989999999997	18.980969999999999	227.91919999999999	2574.1469999999999	16.963010000000001	62.955469999999998	42.299370000000003	92.53528	30.321069999999999	4100	1.7	47.659260000000003	47.75	94.87088	96	2.4611269999999998	2.25	4.8991369999999996	4	0.1155195	0	0	0	80	-0.28728900000000002	32.117179999999998	86.545500000000004	54.9985	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.022679999999994	18.980969999999999	19.03097	227.91919999999999	228.3192	2571.7692959999999	19.685364	63.036211000000002	53.557741999999998	110.003423	31.010753999999999	4099.6455120000001	1.6815580000000001	575.65830700000004	790745.69452400005	0	0	0	20	19.858846	100	0	4.0981889999999996	0	0	0	100	100	100	0	1	50	60	0.99363100000000004	2663.573973	53.165149	-791321.85383100004	2570.6716249999999	17.083454	63.046343999999998	42.571559999999998	92.945884000000007	30.953681	4097.5488590000004	1.889346	790558.78976199997	0	0	0	20	19.853358	100	0	4.097683	0	0	0	100	96.589177000000007	100	0	1	50	60	0.99778699999999998	2661.484187	53.229683999999999	-791131.82776699995	62	52	1	75	68	1	25	22	1	260	250	1	572.538005	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
997843	2025-04-30 01:31:29	50.403449999999999	70.223789999999994	18.894159999999999	229.16040000000001	2570.5079999999998	16.722940000000001	59.899999999999999	41.849290000000003	92.25273	30.643940000000001	4100	1.7	47.82273	47.75	94.879840000000002	96	2.4665599999999999	2.25	4.8936320000000002	4	0.114161	0	0	0	80	-0.25865860000000002	32.117179999999998	86.545500000000004	53.982909999999997	28.471450000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.024120999999994	18.894159999999999	18.94416	229.16040000000001	229.56039999999999	2572.0293419999998	19.489156000000001	59.981426999999996	53.302878	110.021725	31.001984	4095.4549729999999	1.987331	575.82526800000005	791116.022857	0	0	0	20	19.860147000000001	100	0	4.2509290000000002	0	0	0	100	100	100	0	1	50	60	0.99974700000000005	2660.7005610000001	53.107796	-791692.34912499995	2570.935716	16.843577	59.990873999999998	42.122259	92.664545000000004	30.951132999999999	4094.109942	2.1459450000000002	790929.11809500004	0	0	0	20	19.854679000000001	100	0	4.2504559999999998	0	0	0	100	96.532909000000004	100	0	1	50	60	1	2658.602288	53.172046000000002	-791502.25613899995	62	52	1	75	68	1	25	22	1	260	250	1	572.63804400000004	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	1	1
997844	2025-04-30 01:31:59	50.340179999999997	70.223789999999994	19.270309999999998	228.874	2573.5639999999999	16.878990000000002	58.881500000000003	42.210900000000002	92.551069999999996	30.87772	4100	1.7	47.77422	47.75	94.902730000000005	96	2.4522200000000001	2.25	4.8712980000000003	4	0.11374430000000001	0	0	0	80	-0.32362940000000001	32.117179999999998	86.516570000000002	53.826659999999997	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.022559999999999	19.270309999999998	19.320309999999999	228.874	229.274	2571.974631	19.598616	58.962184000000001	53.457146999999999	110.00052599999999	30.976783999999999	4091.9676460000001	2.2437710000000002	575.88104599999997	791208.63118999999	0	0	0	20	19.859873	100	0	4.3018910000000004	0	0	0	100	100	100	0	1	50	60	1	2659.649649	53.086818999999998	-791785.01323699998	2570.8766249999999	17.000658999999999	58.972374000000002	42.488021000000003	92.969336999999996	30.919194999999998	4094.9109530000001	2.0858210000000001	791021.72642900003	0	0	0	20	19.854382999999999	100	0	4.3013810000000001	0	0	0	100	96.593867000000003	100	0	1	50	60	1	2657.5606899999998	53.151214000000003	-791594.97606000002	62	52	1	75	68	1	25	22	1	260	250	1	572.74963200000002	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
997845	2025-04-30 01:32:29	50.35031	70.194850000000002	19.0533	229.35140000000001	2570.6399999999999	17.41583	59.454410000000003	42.241410000000002	92.591719999999995	31.531389999999998	4100	1.7	47.795540000000003	47.75	94.926000000000002	96	2.439597	2.25	4.8452469999999996	4	0.1151652	0	0	0	80	-0.35819869999999998	32.117179999999998	86.574439999999996	54.607889999999998	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	73	73.022440000000003	19.0533	19.103300000000001	229.35140000000001	229.75139999999999	2571.8230600000002	20.132178	59.535037000000003	53.473083000000003	110.01871199999999	30.857396999999999	4092.7517969999999	2.185209	575.84795299999996	791259.25952399999	0	0	0	20	19.859114999999999	100	0	4.2732479999999997	0	0	0	100	100	100	0	1	50	60	1	2660.1856339999999	53.097518000000001	-791835.60847700003	2570.7247160000002	17.538021000000001	59.545284000000002	42.520631999999999	93.013251999999994	30.799289000000002	4093.5790670000001	2.1863030000000001	791072.35476200003	0	0	0	20	19.853624	100	0	4.2727360000000001	0	0	0	100	96.602649999999997	100	0	1	50	60	1	2658.0974419999998	53.161949	-791645.58377200004	62	52	1	75	68	1	25	22	1	260	250	1	572.72901000000002	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	1	1
997846	2025-04-30 01:32:59	50.239800000000002	71.207560000000001	19.197980000000001	227.72819999999999	2577.7020000000002	17.333600000000001	63.337400000000002	42.626690000000004	92.866489999999999	31.100899999999999	4100	1.7	47.674109999999999	47.75	94.891980000000004	96	2.4494539999999998	2.25	4.8755230000000003	4	0.1162286	0	0	0	80	-0.29852499999999998	32.117179999999998	86.516570000000002	54.686010000000003	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	74	74.020875000000004	19.197980000000001	19.247979999999998	227.72819999999999	228.12819999999999	2571.5415429999998	20.008922999999999	63.417282	53.676180000000002	110.012657	30.861502999999999	4091.3894759999998	2.275814	575.64390000000003	790790.53285700001	0	0	0	20	19.857707999999999	100	0	4.0791360000000001	0	0	0	100	100	100	0	1	50	60	1	2663.7436029999999	53.168534999999999	-791366.67775699997	2570.438807	17.464945	63.428274000000002	42.942745000000002	93.345267000000007	30.79664	4129.0655960000004	1.4595370000000001	790603.62809500005	0	0	0	20	19.852194000000001	100	0	4.0785859999999996	0	0	0	100	96.669053000000005	100	0	0.99418700000000004	50	60	0.98919100000000004	2661.665649	53.233313000000003	-791176.71130700002	62	52	1	75	68	1	25	22	1	260	250	1	572.58321100000001	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
997847	2025-04-30 01:33:29	50.479190000000003	71.091819999999998	19.197980000000001	227.34630000000001	2572.8780000000002	17.41094	63.910310000000003	42.624949999999998	93.104140000000001	30.051189999999998	4100	1.7	47.882680000000001	47.75	94.860879999999995	96	2.4821149999999998	2.25	4.9124759999999998	4	0.1143887	0	0	0	80	-0.33669729999999998	32.117179999999998	86.516570000000002	53.982909999999997	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	74	74.019548	19.197980000000001	19.247979999999998	227.34630000000001	227.74629999999999	2571.5852669999999	20.052665999999999	63.989561000000002	53.525483000000001	110.02065899999999	30.830736999999999	4126.8437819999999	1.548367	575.58829100000003	790663.23285699997	0	0	0	20	19.857925999999999	100	0	4.050522	0	0	0	100	100	100	0	0.99463100000000004	50	60	0.99096700000000004	2664.354476	53.180728000000002	-791239.32214800001	2570.478807	17.551874000000002	64.001183999999995	42.979599	93.642897000000005	30.760147	4130.1351539999996	1.387486	790476.328095	0	0	0	20	19.852394	100	0	4.0499409999999996	0	0	0	100	96.728578999999996	100	0	0.993973	50	60	0.98775000000000002	2662.2854400000001	53.245708999999998	-791049.44073200005	62	52	1	75	68	1	25	22	1	260	250	1	572.61263699999995	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	1	1
997848	2025-04-30 01:33:59	50.073720000000002	71.149690000000007	18.575890000000001	228.11009999999999	2564.1729999999998	17.809100000000001	63.08278	42.626300000000001	92.700019999999995	30.135929999999998	4100	1.7	47.482199999999999	47.75	94.827690000000004	96	2.4769670000000001	2.25	4.9439489999999999	4	0.11456	0	0	0	80	-0.29532059999999999	32.117179999999998	86.545500000000004	53.982909999999997	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	74	74.021225999999999	18.575890000000001	18.625889999999998	228.11009999999999	228.51009999999999	2570.6388299999999	20.508479999999999	63.162829000000002	53.782679999999999	110.010958	30.815491999999999	4127.9803149999998	1.4777260000000001	575.64677500000005	790606.78785700002	0	0	0	20	19.853193999999998	100	0	4.0918590000000004	0	0	0	100	100	100	0	0.99440399999999995	50	60	0.98955499999999996	2662.7393959999999	53.148491	-791182.93563199998	2569.5370800000001	17.958428999999999	63.173653999999999	43.014750999999997	93.291309999999996	30.752144999999999	4128.0470050000004	1.532008	790419.88309500006	0	0	0	20	19.847684999999998	100	0	4.0913170000000001	0	0	0	100	96.658261999999993	100	0	0.99439100000000002	50	60	0.99063999999999997	2660.6610639999999	53.213220999999997	-790992.96539100003	62	52	1	75	68	1	25	22	1	260	250	1	572.58229500000004	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
997849	2025-04-30 01:34:29	50.377510000000001	71.091819999999998	19.024370000000001	228.77850000000001	2563.5010000000002	17.290369999999999	62.637189999999997	42.972479999999997	93.349990000000005	32.212350000000001	4100	1.7	47.805770000000003	47.75	94.893180000000001	96	2.4567800000000002	2.25	4.8781970000000001	4	0.11496919999999999	0	0	0	80	-0.1178271	32.117179999999998	86.545500000000004	54.607889999999998	28.41358	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	74	74.017859000000001	19.024370000000001	19.074369999999998	228.77850000000001	229.17850000000001	2569.2320070000001	19.893619000000001	62.715637000000001	53.702702000000002	110.0039	31.012027	4125.7626399999999	1.625758	575.65774999999996	791053.82785700005	0	0	0	20	19.846160000000001	100	0	4.1142180000000002	0	0	0	100	100	100	0	0.99484700000000004	50	60	0.99251500000000004	2660.7940450000001	53.109662	-791629.986607	2568.1208069999998	17.449493	62.728064000000003	43.400382	94.002588000000003	30.934148	4126.1979579999997	1.6616249999999999	790866.92309499998	0	0	0	20	19.840603999999999	100	0	4.1135970000000004	0	0	0	100	96.800517999999997	100	0	0.99475999999999998	50	60	0.99323300000000003	2658.7369899999999	53.17474	-791440.16580700001	62	52	1	75	68	1	25	22	1	260	250	1	572.74271099999999	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	1	1	1	1	1	1
997850	2025-04-30 01:34:59	50.237949999999998	71.091819999999998	18.9665	228.11009999999999	2574.7020000000002	17.28706	63.08278	42.204889999999999	92.442840000000004	31.118860000000002	4100	1.7	47.677720000000001	47.75	94.899259999999998	96	2.4424670000000002	2.25	4.8661539999999999	4	0.11776540000000001	0	0	0	80	-0.1102178	32.117179999999998	86.545500000000004	54.451639999999998	28.384650000000001	6.9999989999999999	31.5	28	0	0	4000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null	50	50.100000000000001	74	74.022059999999996	18.9665	19.016500000000001	228.11009999999999	228.51009999999999	2569.7738519999998	20.024716000000002	63.163226000000002	53.531509999999997	110.016169	31.072364	4124.0435820000002	1.751784	575.65498000000002	790802.09285699995	0	0	0	20	19.848869000000001	100	0	4.0918390000000002	0	0	0	100	100	100	0	0.99519100000000005	50	60	0.99503600000000003	2661.8737890000002	53.131213000000002	-791378.24883699999	2568.6744429999999	17.453842000000002	63.173653999999999	42.663646999999997	93.143388000000002	31.012616999999999	4128.050784	1.5319799999999999	790615.18809499999	0	0	0	20	19.843371999999999	100	0	4.0913170000000001	0	0	0	100	96.628677999999994	100	0	0.99439	50	60	0.99063999999999997	2659.792191	53.195844000000001	-791188.23649200005	62	52	1	75	68	1	25	22	1	260	250	1	572.54839700000002	2800	2600	23	17	45	20	33	20	130	110	77	21	100	100	1	1	0	1	1	1	0	1
