1292221	2025-02-04 03:37:56	248.76130676269531	40.784313201904297	141.97445678710938	100	52.549018859863281	100	96.078430175781236	63.930000305175781	4.6250410079956055	248.953979	249.25365500000001	249.25365500000001	40	40	147	147	null	null	53	53	null	null	96	96	63.921470999999997	63.921574	55.700049999999997	55.600050000000003	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.999943	14.059855000000001	0.0058669999999999998	0.0058700000000000002	0.065779000000000004	0.065779000000000004	57.741989135742195	57.652706999999999	57.597312000000002	0.59823495149612427	0.60347200000000001	0.60267499999999996	50.746776580810547	49.399507999999997	57.027374000000002	50.665239	1843.4820556640625	1800.2170410000001	1800.255332	1798.983037	1345.417236328125	1347.3591309999999	1345.092701	1345.315439	36.674938201904297	36.439250000000001	36.477947999999998	36.477721000000003	2.7432949542999268	2.705498	2.6899670000000002	2.6865070000000002	90.833663940429702	91.768422000000001	91.768422000000001	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	90	89.946129999999997	10	10	40	40	10	10	30	30	30	30	49.057893999999997	49.057893999999997	10	10	10	10	0	0	0	0	0	0	0	0	3639.057894	3639.0040250000002	2.6586249999999998	2.6586249999999998	12.799480000000001	12.765414	12.776562999999999	249.25365500000001	248.953979	0.31985200000000003	0.31974200000000003	14	14	-17639.377746999999	-17639.323766000001	0.185667	0.185334
1292222	2025-02-04 03:38:56	248.10525512695312	40.784313201904297	142.8343505859375	99.607841491699219	52.549018859863281	100	96.078430175781236	63.915000915527344	4.6650004386901855	249.25367700000001	249.553426	249.553426	40	40	147	147	null	null	53	53	null	null	96	96	63.921574	63.971499999999999	55.600051999999998	55.500051999999997	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	14.007944	14.133512	-0.051912	-0.053917	0.073657	0.073657	59.04949951171875	58.962015999999998	58.906609000000003	0.84852433204650879	0.85262199999999999	0.85182500000000005	42.935272216796875	47.553334999999997	56.249718000000001	49.650916000000002	1824.4725341796875	1796.8343910000001	1796.764363	1795.232303	1348.821533203125	1348.2613530000001	1346.0220629999999	1346.244858	35.277732849121094	36.246861000000003	36.364170999999999	36.254086000000001	2.7450525760650635	2.7441740000000001	2.7311450000000002	2.7267749999999999	90.619537353515625	91.603050999999994	91.603050999999994	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.992851000000002	89.879839000000004	10	10	40	40	10	10	30	30	30	30	49.099237000000002	49.099237000000002	10	10	10	10	0	0	0	0	0	0	0	0	3639.0920879999999	3638.9790760000001	2.69699	2.69699	12.822552	12.739359	12.748984	249.553426	249.25367700000001	0.322214	0.322104	14	14	-17639.414302000001	-17639.301179999999	0.185334	0.185
1292223	2025-02-04 03:39:56	248.55465698242188	40.784313201904297	144.20579528808594	99.607841491699219	52.549018859863281	100	96.078430175781236	64.004997253417969	4.628046989440918	249.55342099999999	249.85316900000001	249.85316900000001	40	40	147	147	null	null	53	53	null	null	96	96	63.971499999999999	64.021427000000003	55.500053000000001	55.400053	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	14.079594999999999	14.139383	-0.053918000000000001	-0.053917	0.0058700000000000002	0.0058700000000000002	60.102981567382812	60.018070000000002	59.962665000000001	0.68142366409301758	0.685616	0.68481800000000004	38.875743865966797	44.185930999999997	53.688544	47.112676999999998	1830.5218505859375	1830.521851	1830.714508	1829.1825180000001	1348.9910888671875	1347.301575	1345.2039709999999	1345.4267769999999	36.033924102783203	36.184640000000002	36.391672999999997	36.281607000000001	2.793330192565918	2.7691910000000002	2.7602220000000002	2.7558509999999998	90.131614685058594	91.140833000000001	91.140833000000001	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.928364999999999	89.874555999999998	10	10	40	40	10	10	30	30	30	30	49.214792000000003	49.214792000000003	10	10	10	10	0	0	0	0	0	0	0	0	3639.143157	3639.089348	2.7252109999999998	2.7252109999999998	12.940058000000001	12.856792	12.866547000000001	249.85316900000001	249.55342099999999	0.323936	0.323826	14	14	-17639.467092999999	-17639.413173000001	0.185	0.184667
1292224	2025-02-04 03:40:56	256.34808349609375	40.784313201904297	143.58305358886719	99.607841491699219	52.156864166259766	100	96.078430175781236	64.020004272460938	4.6206512451171875	249.853149	250.15289799999999	250.15289799999999	40	40	147	147	null	null	53	53	null	null	96	96	64.021422999999999	64.071349999999995	55.400055000000002	55.300055	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	14.085466	14.085464999999999	-0.053917	-0.053917	-0.053917	-0.053917	61.156608581542969	61.074111000000002	61.018706999999999	0.82971644401550293	0.83482400000000001	0.83402699999999996	39.609600067138672	40.473539000000002	66.631433999999999	60.995621	1860.71337890625	1838.5692550000001	1839.036703	1837.5047910000001	1348.8341064453125	1348.015991	1346.039689	1346.2625049999999	37.212841033935547	36.299858999999998	36.647959	36.537922000000002	2.804964542388916	2.7991470000000001	2.9261720000000002	2.9218570000000001	89.829681396484375	90.820317000000003	90.820317000000003	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.923080999999996	89.923080999999996	10	10	40	40	10	10	30	30	30	30	49.294921000000002	49.294921000000002	10	10	10	10	0	0	0	0	0	0	0	0	3639.2180010000002	3639.2180020000001	2.7552089999999998	2.7552089999999998	12.5723	12.879021	12.888792	250.15289799999999	249.853149	0.32578800000000002	0.32567800000000002	14	14	-17639.54379	-17639.543679999999	0.184667	0.184334
1292225	2025-02-04 03:41:56	245.90858459472656	40.784313201904297	142.21356201171875	100	52.549018859863281	100	96.078430175781236	64.090003967285156	4.6252627372741699	250.15289300000001	250.452641	250.452641	40	40	147	147	null	null	53	53	null	null	96	96	64.071349999999995	64.121275999999995	55.300060000000002	55.200060000000001	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	14.031548000000001	14.031552	-0.053917	-0.053917	-0.053913000000000003	-0.053913000000000003	59.355476379394531	59.276417000000002	59.221015999999999	0.99537038803100597	1.002162	1.0013650000000001	56.743698120117188	45.076346999999998	50.397112999999997	43.573152999999998	1827.77294921875	1827.7729489999999	1827.9933590000001	1826.461335	1354.185791015625	1350.20813	1348.239239	1348.4620560000001	36.826358795166016	36.337713999999998	36.649546999999998	36.539501000000001	2.7929925918579106	2.7989790000000001	2.7579929999999999	2.7536040000000002	89.711082458496094	90.752161000000001	90.752161000000001	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.971605999999994	89.971603000000002	10	10	40	40	10	10	30	30	30	30	49.311959999999999	49.311959999999999	10	10	10	10	0	0	0	0	0	0	0	0	3639.2835660000001	3639.2835620000001	2.7604549999999999	2.7604549999999999	13.119571000000001	12.828302000000001	12.837999999999999	250.452641	250.15289300000001	0.326212	0.326102	14	14	-17639.609777999998	-17639.609664	0.184334	0.184
1292226	2025-02-04 03:42:56	252.40652465820312	40.784313201904297	144.73826599121094	99.607841491699219	52.549018859863281	100	96.078430175781236	64.110000610351562	4.6245708465576172	250.452652	250.752341	250.752341	40	40	147	147	null	null	53	53	null	null	96	96	64.121277000000006	64.152585000000002	55.200062000000003	55.100062000000001	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.999976999999999	13.977634999999999	-0.031574999999999999	-0.031576	-0.053917	-0.053917	60.189140319824219	60.112088999999997	60.056699000000002	0.61197912693023682	0.62077099999999996	0.61997400000000003	45.715065002441406	47.356121000000002	60.668292000000001	54.382685000000002	1846.6226806640625	1845.0363359999999	1846.0116009999999	1844.5770170000001	1328.0289306640625	1345.0099789999999	1343.310555	1343.5333499999999	35.913829803466797	36.496738000000001	36.781261000000001	36.712251999999999	2.7541348934173584	2.7735639999999999	2.7949959999999998	2.7909739999999998	89.693778991699219	90.704041000000004	90.704041000000004	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.323990000000002	49.323990000000002	10	10	10	10	0	0	0	0	0	0	0	0	3639.3239899999999	3639.3239899999999	2.7349299999999999	2.7349299999999999	12.783121	12.865696	12.875977000000001	250.752341	250.452652	0.32480900000000001	0.32469799999999999	14	14	-17639.648797999998	-17639.648688000001	0.184	0.183667
1292227	2025-02-04 03:43:56	249.71282958984375	40.784313201904297	142.43974304199219	100	52.549018859863281	100	96.078430175781236	64.125	4.6292152404785156	250.752319	251.051872	251.051872	40	40	147	147	null	null	53	53	null	null	96	96	64.152587999999994	64.138963000000004	55.100062999999999	55.000062999999997	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.999981	13.923717999999999	0.022346000000000001	0.022341	-0.053917	-0.053917	61.748733520507805	61.672414000000003	61.617049999999999	0.88614004850387573	0.89678199999999997	0.89598500000000003	48.656204223632812	50.371656000000002	62.835737999999999	56.768498999999998	1866.103759765625	1846.83313	1847.8728100000001	1846.6727229999999	1333.9339599609375	1341.2456970000001	1339.6849769999999	1339.9076809999999	38.058143615722656	37.002792999999997	37.219202000000003	37.249234999999999	2.7666592597961426	2.7603970000000002	2.7845520000000001	2.7813500000000002	89.592033386230469	90.575901000000002	90.575901000000002	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.356025000000002	49.356025000000002	10	10	10	10	0	0	0	0	0	0	0	0	3639.356025	3639.356025	2.715122	2.715122	12.915162	12.845062	12.856629	251.051872	250.752319	0.32374999999999998	0.32363900000000001	14	14	-17639.679774	-17639.679663999999	0.183667	0.183334
1292228	2025-02-04 03:44:56	251.5462646484375	40.784313201904297	143.22283935546875	100	52.156864166259766	100	96.078430175781236	64.150001525878906	4.6232686042785645	251.05188000000001	251.35143299999999	251.35143299999999	40	40	147	147	null	null	53	53	null	null	96	96	64.138962000000006	64.088963000000007	55.000064999999999	55.000064999999999	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.989710000000001	13.892137999999999	0.065991999999999995	0.065989999999999993	-0.031579999999999997	-0.031579999999999997	61.120231628417969	61.062572000000003	60.988754	0.71108216047286987	0.72177100000000005	0.72193799999999997	47.439773559570312	47.270347999999998	58.676116	52.763319000000003	1832.634521484375	1832.6345209999999	1833.8853240000001	1832.874611	1335.0545654296875	1337.800812	1336.4064450000001	1336.6291630000001	37.960090637207031	37.189605999999998	37.314950000000003	37.425168999999997	2.8112077713012695	2.7889339999999998	2.812033	2.8094929999999998	89.523284912109375	90.462051000000002	90.462051000000002	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.384487	49.384487	10	10	10	10	0	0	0	0	0	0	0	0	3639.3844869999998	3639.3844869999998	2.7428590000000002	2.7428590000000002	12.814518	12.761442000000001	12.773968999999999	251.35143299999999	251.05188000000001	0.32546700000000001	0.32539000000000001	14	14	-17639.709954000002	-17639.709877000001	0.183334	0.183334
1292229	2025-02-04 03:45:56	251.6986083984375	40.784313201904297	143.99383544921875	100	52.549018859863281	100	96.078430175781236	64.069999694824219	4.606715202331543	251.35144	251.650993	251.650993	40	40	147	147	null	null	53	53	null	null	96	96	64.088965999999999	64.038967999999997	55.000064999999999	55.000064999999999	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.958128	13.914481	0.065989000000000006	0.065989000000000006	0.022342999999999998	0.022342999999999998	61.434249877929688	61.375408999999998	61.32002	1.0054976940155027	1.0162230000000001	1.015428	46.798709869384766	47.631563	59.214866999999998	53.337285999999999	1834.10498046875	1834.1049800000001	1835.622034	1834.611384	1336.2889404296875	1333.326599	1332.132687	1332.355421	38.032936096191406	37.491250000000001	37.647610999999998	37.757821	2.839601993560791	2.8254049999999999	2.8509180000000001	2.848379	89.54791259765625	90.404222000000004	90.404222000000004	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.398944	49.398944	10	10	10	10	0	0	0	0	0	0	0	0	3639.398944	3639.398944	2.7822429999999998	2.7822429999999998	12.773605999999999	12.737491	12.749974999999999	251.650993	251.35144	0.32786100000000001	0.32778299999999999	14	14	-17639.726804999998	-17639.726727000001	0.183334	0.183334
1292230	2025-02-04 03:46:56	256.87060546875	40.784313201904297	144.27265930175781	100	52.549018859863281	100	96.078430175781236	63.994998931884766	4.6702933311462402	251.65100100000001	251.95055400000001	251.95055400000001	40	40	147	147	null	null	53	53	null	null	96	96	64.038971000000004	63.988973000000001	55.000064999999999	55.000064999999999	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14	13.98047	13.980467000000001	0.065989000000000006	0.065989000000000006	0.065986000000000003	0.065986000000000003	62.574958801269531	62.514384	62.458995000000002	0.79427093267440796	0.80413400000000002	0.80333900000000003	52.386791229248047	48.875092000000002	66.596039000000005	61.068868999999999	1773.372314453125	1773.372314	1775.216551	1774.2059870000001	1336.014404296875	1335.3229679999999	1334.4026329999999	1334.6253879999999	36.744571685791016	37.698936000000003	37.935727999999997	38.045917000000003	2.8982088565826416	2.8689049999999998	2.94523	2.9427020000000002	89.547286987304688	90.303752000000003	90.303752000000003	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.424061999999999	49.424061999999999	10	10	10	10	0	0	0	0	0	0	0	0	3639.424062	3639.424062	2.8296079999999999	2.8296079999999999	12.40466	12.492749	12.504927	251.95055400000001	251.65100100000001	0.330766	0.33068799999999998	14	14	-17639.754828000001	-17639.75475	0.183334	0.183334
