1292436	2025-02-04 07:13:01	251.96734619140625	30.196079254150391	148.26980590820312	100	52.549018859863281	100	96.078430175781236	64.180000305175781	4.6295289993286133	252.640671	252.940224	252.940224	29.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.176345999999995	64.153452000000001	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999852000000001	13.852380999999999	0.021472999999999999	0.033464000000000001	-0.125998	-0.125998	58.192062377929688	58.133063	58.077674999999999	0.77039933204650879	0.77949900000000005	0.77870399999999995	33.568668365478516	33.74315	39.885477999999999	33.496468999999998	1836.6097412109375	1836.609741	1836.086141	1834.934002	1382.872314453125	1382.3490300000001	1382.1710230000001	1382.3938450000001	35.848758697509766	35.089177999999997	35.581840999999997	35.632272999999998	2.6442165374755859	2.6515	2.637702	2.6346569999999998	87.998825073242188	85.418671000000003	85.031205999999997	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.6209210000000001	2.6209210000000001	12.945202999999999	12.864063	12.875837000000001	252.940224	252.640671	0.31841900000000001	0.31832199999999999	14	14	-17640.318418999999	-17640.318321999999	0.183334	0.183334
1292437	2025-02-04 07:14:01	251.75727844238281	25.490196228027344	146.89366149902344	100	52.549018859863281	100	96.078430175781236	64.125	4.649376392364502	252.94023100000001	253.23978399999999	253.23978399999999	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.153450000000007	64.103453999999999	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.918372	13.798463999999999	0.065990999999999994	0.065986000000000003	-0.053917	-0.053917	58.161026000976562	58.103209	58.047820000000002	0.82320600748062123	0.83385699999999996	0.833063	31.191608428955082	32.799731999999999	44.155214000000001	38.207071999999997	1796.1925048828125	1796.192505	1795.8654770000001	1794.8544810000001	1354.4605712890625	1377.6814879999999	1377.5567510000001	1377.7795779999999	34.551334381103516	35.111986999999999	35.572358000000001	35.682490999999999	2.6806530952453613	2.6624349999999999	2.6943929999999998	2.6918530000000001	87.935821533203125	85.314705000000004	85.314705000000004	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.6364260000000002	2.6364260000000002	12.834948000000001	12.671763	12.684089999999999	253.23978399999999	252.94023100000001	0.31943899999999997	0.31936199999999998	14	14	-17640.319438999999	-17640.319361999998	0.183334	0.183334
1292438	2025-02-04 07:15:01	253.18844604492188	25.490196228027344	147.55032348632812	99.607841491699219	52.156864166259766	100	96.078430175781236	64.125	4.643885612487793	253.23979199999999	253.539345	253.539345	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.103454999999997	64.053460999999999	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.864447999999999	13.83193	0.065984000000000001	0.065984000000000001	0.033466000000000003	0.033466000000000003	58.424163818359375	58.367528	58.312139999999999	0.80005788803100597	0.81199900000000003	0.81120400000000004	30.909690856933594	31.889989	44.610264000000001	38.749274	1829.6640625	1820.822103	1821.147974	1820.1371180000001	1342.10498046875	1365.0562130000001	1365.029176	1365.2520099999999	36.503726959228509	35.503746999999997	35.962584999999997	36.072712000000003	2.7201642990112305	2.7004090000000001	2.7513350000000001	2.7487970000000002	87.979270935058594	85.305863000000002	85.305863000000002	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.6815660000000001	2.6815660000000001	12.723259000000001	12.708638000000001	12.720993999999999	253.539345	253.23979199999999	0.32216099999999998	0.32208399999999998	14	14	-17640.322161	-17640.322083999999	0.183334	0.183334
1292439	2025-02-04 07:16:01	248.56385803222656	25.490196228027344	147.05172729492188	100	52.549018859863281	100	96.078430175781236	64.044998168945312	4.6430253982543945	253.53935200000001	253.239352	253.239352	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.053459000000004	63.953459000000002	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.957922	13.897916	0.12599099999999999	0.114	0.065986000000000003	0.065986000000000003	58.221885681152344	58.054924	58.110413999999999	0.73423033952713013	0.74540200000000001	0.74619800000000003	27.028535842895508	29.709945000000001	18.544878000000001	26.073806999999999	1974.710205078125	1866.855591	1864.639246	1866.4331440000001	1384.9326171875	1366.092621	1366.505126	1366.281939	36.169452667236328	35.768318000000001	36.085942000000003	36.306260999999999	2.7100558280944824	2.7151100000000001	2.682944	2.6882619999999999	87.861114501953125	85.162897999999998	85.162897999999998	0	0	0	0	0	0	40	40	50	50	20	20	0	0	30	30	89.560822999999999	89.507006000000004	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	1639.560823	1639.507006	2.706251	2.706251	13.150410000000001	12.901748	12.893546000000001	253.239352	253.53935200000001	0.32349299999999998	0.323569	14	14	-15639.884314999999	-15639.830575	0.183334	0.183334
1292440	2025-02-04 07:17:01	251.27308654785156	25.490196228027344	147.77227783203125	100	52.549018859863281	100	96.078430175781236	63.909999847412109	4.6503129005432129	253.239349	252.93934899999999	252.93934899999999	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.953460999999997	63.873430999999997	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999943	13.963901999999999	0.10202700000000001	0.090035000000000004	0.065986000000000003	0.065986000000000003	57.20111083984375	57.034227999999999	57.089717999999998	0.91507524251937877	0.925929	0.92672500000000002	37.966888427734375	31.968371999999999	21.782401	29.128733	1854.0809326171875	1854.080933	1851.9548070000001	1853.64472	1388.3792724609375	1367.4693600000001	1367.838949	1367.615765	34.096706390380859	35.330305000000003	35.659461999999998	35.835785999999999	2.671097993850708	2.6905770000000002	2.6629179999999999	2.6678630000000001	87.739654541015625	85.021942999999993	85.021942999999993	0	0	0	0	0	0	40	40	50	50	20	20	0	0	30	30	89.941355999999999	89.890658000000002	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	1639.941356	1639.890658	2.6851560000000001	2.6851560000000001	13.089150999999999	12.870488999999999	12.861731000000001	252.93934899999999	253.239349	0.32217600000000002	0.32225300000000001	14	14	-15640.263532000001	-15640.212911000001	0.183334	0.183334
1292441	2025-02-04 07:18:01	259.27288818359375	25.490196228027344	148.39060974121094	99.607841491699219	52.156864166259766	100	96.078430175781236	63.849998474121094	4.6283659934997559	252.93936199999999	252.63936200000001	252.63936200000001	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.873432000000001	63.838484000000001	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999840000000001	14.0779	0.035937999999999998	0.035937999999999998	0.113998	0.113998	58.444236755371094	58.277354000000003	58.332844000000001	0.98885995149612427	0.99846000000000001	0.99925600000000003	36.795883178710938	33.930436	44.351815000000002	50.394601999999999	1883.960205078125	1883.9602050000001	1882.508339	1883.9633719999999	1425.699951171875	1385.279205	1385.7594779999999	1385.536286	33.918220520019531	35.172027	35.682918999999998	35.759898	2.7114925384521484	2.6912950000000002	2.7987129999999998	2.8027690000000001	87.708206176757812	84.971705	84.971705	0	0	0	0	0	0	40	40	50	50	20	20	0	0	30	30	89.024749999999997	88.981099	0	0	100	100	50	50	90	89.92989	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	1639.02475	1638.910989	2.6932	2.6932	12.823175000000001	13.077735000000001	13.067399	252.63936200000001	252.93936199999999	0.32252999999999998	0.32260699999999998	14	14	-15639.34728	-15639.233596	0.183334	0.183334
1292442	2025-02-04 07:19:01	252.0716552734375	25.490196228027344	147.34519958496094	100	52.156864166259766	100	96.078430175781236	63.830001831054688	4.6842570304870605	252.63935900000001	252.93910700000001	252.93910700000001	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.838481999999999	63.888407999999998	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.011989	14.167935	-0.065910999999999997	-0.053917	0.090034000000000003	0.090034000000000003	58.786346435546875	58.729273999999997	58.673850000000002	0.80367475748062123	0.81310800000000005	0.81231200000000003	31.752008438110352	35.504927000000002	43.993507000000001	37.441830000000003	1830.4810791015625	1830.4810789999999	1832.1845900000001	1830.6532870000001	1376.0982666015625	1393.777527	1393.891848	1394.114836	34.386871337890625	34.642812999999997	35.291794000000003	35.181835	2.7317929267883301	2.7216429999999998	2.726763	2.7223950000000001	87.976455688476562	85.255618999999996	85.255618999999996	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.98921	89.848859000000004	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3639.9892100000002	3639.8488590000002	2.7367219999999999	2.7367219999999999	13.0304	12.893886999999999	12.903570999999999	252.93910700000001	252.63935900000001	0.32521600000000001	0.32513900000000001	14	14	-17640.314426000001	-17640.173997999998	0.183334	0.183334
1292443	2025-02-04 07:20:01	243.11116027832031	25.490196228027344	148.28910827636719	100	52.549018859863281	100	96.078430175781236	63.915000915527344	4.6510505676269531	252.939087	253.23883499999999	253.23883499999999	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.888409000000003	63.938335000000002	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.102023000000001	14.203875	-0.065911999999999998	-0.053917	0.03594	0.03594	58.885543823242195	58.827840999999999	58.772416999999997	0.81235533952713013	0.820384	0.81958900000000001	45.036544799804688	37.861479000000003	28.044156000000001	20.543659999999999	1833.8140869140625	1833.814087	1835.8228839999999	1834.291696	1394.6282958984375	1396.2014469999999	1396.427285	1396.6502820000001	35.287452697753906	34.422313000000003	34.966462999999997	34.856481000000002	2.7409405708312988	2.736367	2.6086399999999998	2.604212	88.118278503417969	85.422331999999997	85.422331999999997	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.908179000000004	89.816513	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3639.908179	3639.8165130000002	2.7549320000000002	2.7549320000000002	13.491944	12.901719999999999	12.911403	253.23883499999999	252.939087	0.32636900000000002	0.32629200000000003	14	14	-17640.234548	-17640.142804999999	0.183334	0.183334
1292444	2025-02-04 07:21:01	252.59127807617188	25.490196228027344	147.62591552734375	100	52.549018859863281	100	96.078430175781236	63.970001220703125	4.6339902877807617	253.23881499999999	253.53856400000001	253.53856400000001	24.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.938335000000002	63.988261999999999	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.149958	14.149957000000001	-0.053917	-0.053917	-0.053918000000000001	-0.053918000000000001	59.383415222167969	59.323743	59.268318000000001	0.67346644401550293	0.68089599999999995	0.68010000000000004	35.41363525390625	37.400728999999998	46.738239	40.224417000000003	1829.1837158203125	1829.183716	1831.9832269999999	1830.452329	1395.931884765625	1398.0896	1398.5486519999999	1398.771665	34.683219909667969	34.568941000000002	35.060896999999997	34.950904999999999	2.7492551803588867	2.745098	2.748421	2.7440560000000001	88.306327819824219	85.589349999999996	85.589349999999996	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.865037999999998	89.865037999999998	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3639.8650379999999	3639.8650379999999	2.7698969999999998	2.7698969999999998	12.921341999999999	12.880063	12.889709999999999	253.53856400000001	253.23881499999999	0.32733699999999999	0.32726	14	14	-17640.192374999999	-17640.192298999998	0.183334	0.183334
1292445	2025-02-04 07:22:01	253.67578125	25.490196228027344	146.90347290039062	100	52.549018859863281	100	96.078430175781236	63.965000152587891	4.6222777366638184	253.53852800000001	253.238528	253.238528	24.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.988261999999999	64.088262	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.035952	14.09604	-0.114005	-0.126	-0.053918000000000001	-0.053918000000000001	59.966934204101562	59.792797999999998	59.848289999999999	0.68721067905426025	0.69338299999999997	0.69417899999999999	44.435703277587891	41.628627999999999	36.529192999999999	42.659928999999998	1898.080322265625	1853.692708	1854.6921769999999	1855.44443	1397.221923828125	1390.9700929999999	1391.9797530000001	1391.756523	34.905780792236328	34.815831000000003	35.382100999999999	35.161803999999997	2.7701208591461186	2.7596880000000001	2.7406199999999998	2.742251	88.634056091308594	86.346716999999998	85.959945000000005	0	0	0	0	0	0	40	40	50	50	20	20	0	0	30	30	89.859234999999998	89.836667000000006	0	0	100	100	50	50	89.967642999999995	89.913563999999994	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	1639.8268780000001	1639.750231	2.7868189999999999	2.7868189999999999	12.927835	12.960326999999999	12.946209	253.238528	253.53852800000001	0.32827899999999999	0.32833800000000002	14	14	-15640.155156999999	-15640.078568999999	0.183334	0.183334
1292446	2025-02-04 07:23:01	251.15219116210935	20.392156600952148	147.5670166015625	100	52.549018859863281	100	96.078430175781236	64.095001220703125	4.6657681465148926	253.23850999999999	253.53825800000001	253.53825800000001	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.088263999999995	64.138191000000006	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.042122000000001	14.042122000000001	-0.053917	-0.053917	-0.053918000000000001	-0.053918000000000001	58.604347229003906	58.538451000000002	58.483023000000003	0.65972220897674561	0.66888800000000004	0.66809200000000002	39.486602783203125	39.778646999999999	43.517958	36.688372000000001	1832.040771484375	1832.0407709999999	1835.487926	1833.957263	1346.2314453125	1383.503387	1383.993052	1384.2160670000001	36.862964630126953	35.434854999999999	35.838621000000003	35.728611000000001	2.8142707347869873	2.7921960000000001	2.7502330000000001	2.7458499999999999	88.691093444824219	86.410030000000006	86.410030000000006	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	89.962090000000003	89.962090000000003	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3639.96209	3639.96209	2.820214	2.820214	13.028116000000001	12.839560000000001	12.849159	253.53825800000001	253.23850999999999	0.33034599999999997	0.33026899999999998	14	14	-17640.292436	-17640.292358999999	0.183334	0.183334
1292447	2025-02-04 07:24:01	249.9541015625	20.392156600952148	147.1484375	99.607841491699219	52.156864166259766	100	96.078430175781236	64.114997863769531	4.6288590431213379	253.538284	253.83797300000001	253.83797300000001	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.138191000000006	64.168435000000002	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999828000000001	13.916119	-0.042292999999999997	-0.030299	-0.126003	-0.126003	60.140411376953125	60.072060999999998	60.016643999999999	0.59389466047286987	0.60457300000000003	0.60377800000000004	29.566884994506836	37.829729999999998	42.004069000000001	35.304741	1823.612060546875	1823.612061	1826.774451	1825.346309	1372.7996826171875	1378.0462339999999	1378.2953680000001	1378.5183199999999	36.374217987060547	35.706546000000003	36.009324999999997	35.942672999999999	2.7889318466186523	2.8016009999999998	2.7608229999999998	2.7568030000000001	88.519737243652358	86.258852000000005	86.258852000000005	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.8209170000000001	2.8209170000000001	13.062386999999999	12.768299000000001	12.778375	253.83797300000001	253.538284	0.33046900000000001	0.33039200000000002	14	14	-17640.330469	-17640.330392	0.183334	0.183334
1292448	2025-02-04 07:25:01	255.4945068359375	20.392156600952148	147.11932373046875	100	52.549018859863281	100	96.078430175781236	64.180000305175781	4.6375246047973633	253.83796699999999	254.13751999999999	254.13751999999999	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.168434000000005	64.118440000000007	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.982108	13.862202	0.065989000000000006	0.065985000000000002	-0.053917	-0.053917	58.489433288574219	58.420900000000003	58.365507999999998	0.82826966047286987	0.84035099999999996	0.83955599999999997	40.983448028564453	36.678978999999998	47.606470000000002	41.709037000000002	1824.703125	1824.703125	1827.6146140000001	1826.6043440000001	1349.396728515625	1366.4124449999999	1366.4670679999999	1366.689903	37.111660003662109	36.313656000000002	36.376637000000002	36.486848000000002	2.7370593547821045	2.7629959999999998	2.7753070000000002	2.7727729999999999	88.649261474609375	86.421364999999994	86.421364999999994	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.7757830000000001	2.7757830000000001	12.640238	12.711458	12.723789999999999	254.13751999999999	253.83796699999999	0.32790799999999998	0.32783099999999998	14	14	-17640.327907999999	-17640.327830999999	0.183334	0.183334
1292449	2025-02-04 07:26:01	253.37530517578125	20.392156600952148	146.08341979980469	100	52.549018859863281	100	96.078430175781236	64.095001220703125	4.6341452598571777	254.13751199999999	254.43706499999999	254.43706499999999	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.118438999999995	64.068444999999997	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.928188	13.831904	0.065986000000000003	0.065983	-0.030297999999999999	-0.030297999999999999	58.111671447753906	58.042428999999998	57.987037000000001	0.77763307094573964	0.79003199999999996	0.78923699999999997	40.301944732666016	36.950758999999998	35.977502000000001	29.487490000000001	1813.6998291015625	1813.6998289999999	1816.2099659999999	1815.1995959999999	1359.05126953125	1356.8697810000001	1356.6114500000001	1356.8342600000001	35.800010681152344	36.537213000000001	36.559434000000003	36.669651000000002	2.6492428779602051	2.6931509999999999	2.6258629999999998	2.62331	89.112442016601562	86.933407000000003	86.933407000000003	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.7029179999999999	2.7029179999999999	12.685051	12.613652999999999	12.625856000000001	254.43706499999999	254.13751199999999	0.32374199999999997	0.32366499999999998	14	14	-17640.323742	-17640.323665	0.183334	0.183334
1292450	2025-02-04 07:27:01	254.73562622070312	20.392156600952148	147.19056701660156	100	52.156864166259766	100	96.078430175781236	64.050003051757812	4.6465816497802734	254.437073	254.736626	254.736626	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.068443000000002	64.018450000000001	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.897887000000001	13.89789	0.065983	0.065983	0.065985000000000002	0.065985000000000002	58.244384765625	58.176009999999998	58.120618	0.75448495149612427	0.76636000000000004	0.76556500000000005	38.024471282958984	39.769955000000003	50.437964000000001	44.557595999999997	1809.6142578125	1809.6142580000001	1812.3599899999999	1811.3496740000001	1357.7037353515625	1359.737854	1359.3424910000001	1359.5652889999999	35.511310577392578	36.199300000000001	36.265417999999997	36.375627000000001	2.6729388236999512	2.6610909999999999	2.686264	2.6837279999999999	89.663154602050781	87.535815999999997	87.535815999999997	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	50	50	10	10	10	10	0	0	0	0	0	0	0	0	3640	3640	2.6766930000000002	2.6766930000000002	12.608927	12.593273	12.605437	254.736626	254.437073	0.32230900000000001	0.32223099999999999	14	14	-17640.322308999999	-17640.322230999998	0.183334	0.183334
1292451	2025-02-04 07:28:01	255.60479736328125	20.392156600952148	147.22480773925781	100	52.549018859863281	100	96.078430175781236	64.055000305175781	4.6709399223327637	254.73663300000001	255.03618599999999	255.03618599999999	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	64.018448000000006	63.968454000000001	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.963873	13.963875	0.065983	0.065983	0.065986000000000003	0.065986000000000003	58.759010314941406	58.693314000000001	58.637923000000001	0.82826966047286987	0.83894599999999997	0.83815099999999998	51.192413330078125	43.172942999999997	52.109864999999999	46.153196999999999	1834.791259765625	1819.3684490000001	1822.2093709999999	1821.199079	1363.686767578125	1357.459625	1356.9386870000001	1357.161474	35.657260894775391	36.020060999999998	36.087823999999998	36.198031	2.6539468765258789	2.663443	2.6808860000000001	2.6783480000000002	90.121955871582031	88.046177999999998	88.046177999999998	1	1	1000	1000	1000	1000	40	40	50	50	20	20	0	0	30	30	90	90	0	0	100	100	50	50	90	90	10	10	40	40	10	10	30	30	30	30	49.988455999999999	49.988455999999999	10	10	10	10	0	0	0	0	0	0	0	0	3639.988456	3639.988456	2.6720549999999998	2.6720549999999998	12.569592	12.606979000000001	12.619145	255.03618599999999	254.73663300000001	0.322133	0.32205600000000001	14	14	-17640.310589000001	-17640.310512	0.183334	0.183334
1292452	2025-02-04 07:29:01	255.01856994628903	20.392156600952148	147.80171203613281	100	52.549018859863281	100	96.078430175781236	63.994998931884766	4.6379609107971191	255.03619399999999	255.335747	255.335747	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.968456000000003	63.943426000000002	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999903	14.029861	0.036027999999999998	0.036027999999999998	0.065986000000000003	0.065986000000000003	59.402206420898438	59.339346999999997	59.283957000000001	0.85214120149612427	0.86111499999999996	0.86031999999999997	56.623573303222656	48.613486000000002	57.121487999999999	51.004911	1794.55615234375	1794.5561520000001	1797.396221	1796.2560800000001	1359.22265625	1359.916107	1359.291414	1359.514193	35.721633911132812	35.672553999999998	35.786605999999999	35.841782000000002	2.6815271377563477	2.6677369999999998	2.6800660000000001	2.6770719999999999	90.572311401367188	90.127476000000001	90.127476000000001	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	90	89.973124999999996	10	10	40	40	10	10	30	30	30	30	49.468131	49.468131	10	10	10	10	0	0	0	0	0	0	0	0	3639.4681310000001	3639.4412560000001	2.6784119999999998	2.6784119999999998	12.581734000000001	12.503045	12.514348999999999	255.335747	255.03619399999999	0.32270700000000002	0.32262999999999997	14	14	-17639.790838000001	-17639.763886000001	0.183334	0.183334
1292453	2025-02-04 07:30:01	254.14472961425781	20.392156600952148	146.75874328613281	100	52.549018859863281	100	96.078430175781236	63.959999084472656	4.6693181991577148	255.33575400000001	255.63544300000001	255.63544300000001	19.999949999999998	19.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.943424	63.973312999999997	55.000087999999998	55.000087999999998	1	1	0	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	13.999986	14.095841999999999	-0.029874999999999999	-0.029871999999999999	0.065980999999999998	0.065980999999999998	58.271377563476562	58.210197999999998	58.154783000000002	1.0619213581085205	1.0693999999999999	1.0686040000000001	45.450626373291016	51.088870999999997	56.217481999999997	49.618794000000001	1811.56640625	1811.5664059999999	1814.4499960000001	1813.02361	1351.2735595703125	1357.9716800000001	1357.315963	1357.5388399999999	35.165985107421875	35.514048000000003	35.777096999999998	35.711222999999997	2.7001650333404541	2.6908460000000001	2.6724749999999999	2.6684670000000001	90.986984252929702	90.608926999999994	90.608926999999994	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	90	89.913741999999999	10	10	40	40	10	10	30	30	30	30	49.347768000000002	49.347768000000002	10	10	10	10	0	0	0	0	0	0	0	0	3639.3477680000001	3639.2615099999998	2.7075969999999998	2.7075969999999998	12.619281000000001	12.547333	12.557089	255.63544300000001	255.33575400000001	0.32451400000000002	0.32443699999999998	14	14	-17639.672282	-17639.585947	0.183334	0.183334
1292454	2025-02-04 07:31:01	261.64859008789062	20.392156600952148	147.04379272460938	100	52.549018859863281	100	96.078430175781236	63.915000915527344	4.6306829452514648	255.635437	255.93518499999999	255.93518499999999	19.999949999999998	24.999949999999998	147	147	null	null	53	53	null	null	95.999923999999993	95.999923999999993	63.973312	64.023239000000004	55.000087999999998	55.000087999999998	1	1	1	1	1	1	0	58.5	4.8799999999999999	1727.5	0	1	1	0	0	0	14.100000381469728	14.041922	14.131872	-0.053920000000000003	-0.053917	0.03603	0.03603	58.220565795898438	58.15916	58.103735	0.86588549613952637	0.87201799999999996	0.87122200000000005	49.156715393066406	50.410305000000001	73.550672000000006	67.828283999999996	1831.40283203125	1812.508464	1815.089657	1813.5586679999999	1365.3118896484375	1359.8737180000001	1359.1960839999999	1359.4190040000001	35.380271911621094	35.481287999999999	35.923672000000003	35.813668999999997	2.7202146053314209	2.7101899999999999	2.8297539999999999	2.8254389999999998	91.362396240234375	90.659206999999995	91.043583999999996	1	1	1000	1000	1000	1000	40	40	50	50	20	20	20	20	30	30	90	90	0	0	100	100	50	50	89.962270000000004	89.881315000000001	10	10	40	40	10	10	30	30	30	30	49.335197999999998	49.239103999999998	10	10	10	10	0	0	0	0	0	0	0	0	3639.2974680000002	3639.1204189999999	2.7272240000000001	2.7272240000000001	12.260198000000001	12.543056	12.552216	255.93518499999999	255.635437	0.32574700000000001	0.32568900000000001	14	14	-17639.623215	-17639.446109	0.183334	0.183334
