442429	2025-03-31 06:19:55	92.493431091308594	79.776641845703125	94.940002441406236	5045	58.833675384521491	3724.59912109375	52.256263732910163	23.027317047119141	5.2874002456665039	60.000003814697266	55	55.221385955810547	55	55.362644195556641	55	55.664421081542969	2	61.506273	29.464841842651367	37.338062286376953	8.8204755783081055	9.1011056900024414	0	1	0	1	0	1	3527.6520719999999	58.707121000000001	0	0	0	1	91.559837000000002	91.375335000000007	91.375335000000007	60.000003999999997	59.750016000000002	94.454492999999999	4834.0395049999997	3515.1603660000001	52.266931999999997	23.030011999999999	5.2153020000000003	94.416995	4821.5401179999999	61.966017999999998	3515.1935149999999	52.269637000000003	23.025426	5.2144250000000003	59.614044999999997	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.86804499999999996	0	18.575704999999999	0	0.86804499999999996	6.0763170000000004	-0.0053670000000000002	0.050412999999999999	3.499787	4.2837779999999999	100	99.455487000000005	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.45548699999995	4	91.375335000000007	3650.3220459999998	0.45687699999999998	-400699.81790999998	100	99.417989000000006	0	0	14.878169	15	58.820976999999999	30	60	20	40	10	30	10	70	40	0	0	0	698.11713499999996	4	91.559837000000002	3650.3454019999999	0.45779900000000001	-400698.48051800003	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442430	2025-03-31 06:20:55	89.655715942382812	79.783065795898438	94.940002441406236	5045	59.32598876953125	3734.4873046875	53.039600372314453	23.051929473876953	5.0293107032775879	60.000003814697266	55	55.223526000976562	55	55.375484466552734	55	55.670841217041016	2	61.513229000000003	28.328390121459961	35.724636077880859	8.7673578262329102	9.0086908340454102	0	1	1	0	0	1	3501.127062	58.931462000000003	0	0	0	1	91.525208000000006	91.525371000000007	91.525371000000007	60.000003999999997	59.886302000000001	94.431353000000001	4835.0989380000001	3490.4098650000001	53.053412000000002	23.050619000000001	4.9518849999999999	94.414297000000005	4829.4138720000001	59.444580000000002	3490.4668590000001	53.053393999999997	23.050623000000002	4.951886	60.000844000000001	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	1.124822	0	13.558820000000001	0	1.124822	7.8737529999999998	-0.0026970000000000002	0.017044	3.4659900000000001	3.2805689999999998	100	99.432346999999993	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.43234700000005	4	91.525371000000007	3626.701161	0.45762700000000001	-400699.79554299999	100	99.415291999999994	0	0	15	15	60	30	60	20	40	10	30	10	70	40	0	0	0	699.41529200000002	4	91.525208000000006	3626.7395809999998	0.45762599999999998	-400699.77850299998	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442431	2025-03-31 06:21:55	91.130325317382812	79.776641845703125	94.940002441406236	5045	59.488048553466797	3664.3720703125	52.548408508300781	22.806869506835938	5.3524932861328125	60.000003814697266	55	55.221385955810547	55	55.364784240722656	55	55.660140991210938	2	61.505738000000001	28.740823745727539	36.692710876464851	8.8022451400756836	8.7991657257080078	0	1	0	1	0	1	3535.0573730000001	59.094211000000001	0	0	0	1	91.511024000000006	91.475104000000002	91.475104000000002	60.000003999999997	60.111367000000001	94.399300999999994	4829.0101020000002	3523.0695639999999	52.561535999999997	22.805643	5.2785359999999999	94.416005999999996	4834.5782859999999	60.390203	3522.9959100000001	52.562086000000001	22.804749999999999	5.2783660000000001	59.162866000000001	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.73777400000000004	0	-0.40376899999999999	0	0.73777400000000004	5.164415	0.0017080000000000001	-0.014189999999999999	3.4999500000000001	3.909062	100	99.400295	0	0	15	15	60	30	60	20	30	10	40	10	70	40	1	100	100	799.40029500000003	4	91.475104000000002	3658.6786139999999	0.457376	-400799.76327200001	100	99.417000000000002	0	0	14.936415	15	59.766475999999997	30	60	20	40	10	30	10	70	40	1	100	100	799.11989100000005	4	91.511024000000006	3658.6291219999998	0.45755499999999999	-400799.48303	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442432	2025-03-31 06:22:55	90.569869995117188	79.780921936035156	94.940002441406236	5045	59.763126373291016	3309.81591796875	52.888710021972656	22.810079574584961	5.3593449592590332	60.000003814697266	55	55.219245910644531	55	55.369064331054688	55	55.666561126708984	2	61.508947999999997	26.561573028564453	38.033573150634766	8.7860908508300781	8.774968147277832	0	1	1	0	0	1	3534.0014919999999	59.322960999999999	0	0	0	1	91.228935000000007	91.104338999999996	91.104338999999996	60.000003999999997	59.750008000000001	94.463875000000002	4852.7562749999997	3521.3331600000001	52.900131999999999	22.810098	5.292008	94.426374999999993	4840.2565059999997	60.903171999999998	3521.3961720000002	52.901947	22.807001	5.2914149999999998	59.722636000000001	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.81117399999999995	0	18.177989	0	0.81117399999999995	5.6782199999999996	0.010370000000000001	0.046220999999999998	3.499965	3.8934769999999999	100	99.464868999999993	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.46486900000002	4	91.104338999999996	3657.4350829999998	0.45552199999999998	-400699.82592700003	100	99.427369999999996	0	0	14.938838000000001	15	59.458691000000002	30	60	20	40	10	30	10	70	40	0	0	0	698.82489899999996	4	91.228935000000007	3657.4782930000001	0.45614500000000002	-400699.18661700003	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442433	2025-03-31 06:23:55	89.503204345703125	79.776641845703125	94.940002441406236	5045	59.647911071777344	3735.642822265625	52.025108337402344	22.917093276977539	5.353635311126709	60.000003814697266	55	55.221385955810547	55	55.364784240722656	55	55.660140991210938	2	61.505738000000001	27.912647247314453	36.530956268310547	8.7738399505615234	8.7433137893676758	0	1	0	1	0	1	3576.2645670000002	59.411749999999998	0	0	0	1	91.361176	91.424950999999993	91.424950999999993	60.000003999999997	59.750008000000001	94.469119000000006	4855.1864249999999	3563.5498320000002	52.03875	22.912085000000001	5.2943009999999999	94.431619999999995	4842.6866550000004	57.598773000000001	3563.7067630000001	52.037767000000002	22.91367	5.2946039999999996	60.000357999999999	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.34716399999999997	0	14.929919	0	0.34716399999999997	2.4301490000000001	0.0052449999999999997	0.033035000000000002	3.4587189999999999	2.658191	100	99.470113999999995	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.47011399999997	4	91.424950999999993	3698.8396050000001	0.457125	-400699.83276999998	100	99.432614999999998	0	0	15	15	60	30	60	20	40	10	30	10	70	40	0	0	0	699.43261500000006	4	91.361176	3698.9453109999999	0.45680599999999999	-400699.79498900002	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442434	2025-03-31 06:24:55	91.82295989990233	79.780921936035156	94.940002441406236	5045	59.947246551513672	3640.22998046875	52.375041961669922	22.891408920288089	5.2451462745666504	60.000003814697266	55	55.221385955810547	55	55.369064331054688	55	55.670841217041016	2	61.510553000000002	29.694726943969727	36.128364562988281	8.7638931274414062	8.8624963760375977	0	1	1	1	0	1	3542.676704	59.634464000000001	0	0	0	1	91.157013000000006	91.156803999999994	91.156803999999994	60.000003999999997	60.110801000000002	94.417518000000001	4844.4140960000004	3528.8286779999999	52.387687	22.887204000000001	5.184647	94.434137000000007	4849.9539670000004	60.055928999999999	3528.7731119999999	52.387704999999997	22.887198999999999	5.1846459999999999	59.518946999999997	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	1.038187	0	1.727441	0	1.038187	7.2673120000000004	0.0025170000000000001	-0.016605000000000002	3.4999539999999998	3.6789480000000001	100	99.418512000000007	0	0	15	15	60	30	60	20	30	10	40	10	70	40	1	100	100	799.41851199999996	4	91.156803999999994	3664.6243420000001	0.45578400000000002	-400799.77987899998	100	99.435131999999996	0	0	14.972184	15	59.967041999999999	30	60	20	40	10	30	10	70	40	1	100	100	799.37435800000003	4	91.157013000000006	3664.5867880000001	0.455785	-400799.73570899997	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442435	2025-03-31 06:25:55	91.604515075683594	79.776641845703125	94.940002441406236	5045	60.139064788818359	3887.4306640625	52.204891204833984	23.004844665527344	5.2211647033691406	60.000003814697266	55	55.223526000976562	55	55.366924285888672	55	55.677261352539062	2	61.511088000000001	29.410076141357425	36.5709228515625	8.7766103744506836	9.1431245803833008	0	1	0	0	0	1	3559.7274849999999	59.797078999999997	0	0	0	1	91.140427000000003	91.042663000000005	91.042663000000005	60.000003999999997	59.750008000000001	94.479363000000006	4869.7520569999997	3546.2115760000002	52.216591000000001	23.001964999999998	5.1539989999999998	94.441863999999995	4857.2522879999997	60.655644000000002	3546.2879699999999	52.218007999999998	22.999535000000002	5.1535339999999996	59.992275999999997	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	1.0426169999999999	0	19.798089999999998	0	1.0426169999999999	7.2983209999999996	0.0077260000000000002	0.044343	3.4993970000000001	3.72052	100	99.480357999999995	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.48035800000002	4	91.042663000000005	3682.2949440000002	0.45521299999999998	-400699.84109200002	100	99.442858000000001	0	0	14.965722	15	59.607210000000002	30	60	20	40	10	30	10	70	40	0	0	0	699.01579000000004	4	91.140427000000003	3682.3470440000001	0.455702	-400699.37705000001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442436	2025-03-31 06:26:55	92.397369384765625	79.772361755371094	94.940002441406236	5045	60.265701293945312	3772.498046875	53.078121185302734	23.109716415405273	5.0087552070617676	60.000003814697266	55	55.221385955810547	55	55.369064331054688	55	55.660140991210938	2	61.505738000000001	29.298412322998047	37.332351684570312	8.802886962890625	8.8229274749755859	0	1	1	1	0	1	3632.1968040000002	59.95261	0	0	0	1	91.310974000000002	91.151272000000006	91.151272000000006	60.000003999999997	59.750008000000001	94.473973999999998	4876.2046659999996	3616.9132380000001	53.089801999999999	23.108141	4.9369180000000004	94.436475000000002	4863.7048969999996	61.857759999999999	3616.9587769999998	53.092139000000003	23.104171000000001	4.9361579999999998	60.000571000000001	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.92180099999999998	0	18.952379000000001	0	0.92180099999999998	6.4526089999999998	-0.0053889999999999997	0.048677999999999999	3.4072629999999999	4.0263260000000001	100	99.474969000000002	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.47496899999999	4	91.151272000000006	3754.2177099999999	0.45575599999999999	-400699.836251	100	99.437468999999993	0	0	14.918188000000001	15	58.885933000000001	30	60	20	40	10	30	10	70	40	0	0	0	698.24158999999997	4	91.310974000000002	3754.2492990000001	0.45655499999999999	-400698.60370799998	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442437	2025-03-31 06:27:55	92.022888183593764	79.774505615234375	94.940002441406236	5045	60.582614898681641	3651.40234375	53.456947326660163	22.733030319213867	5.5260753631591797	60.000003814697266	55	55.221385955810547	55	55.369064331054688	55	55.655860900878906	2	61.505203999999999	28.211196899414062	36.953144073486328	8.8185338973999023	8.8484220504760742	0	1	0	0	0	1	3680.0531409999999	60.116508000000003	0	0	0	1	91.197922000000005	91.043584999999993	91.043584999999993	60.000003999999997	59.750008000000001	94.471962000000005	4879.4105579999996	3664.880122	53.468972000000001	22.730720000000002	5.4519469999999997	94.434462999999994	4866.9107880000001	61.749076000000002	3664.9283310000001	53.471229000000001	22.726883999999998	5.4512140000000002	59.997376000000003	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.457984	0	15.705660999999999	0	0.457984	3.2058909999999998	-0.0020119999999999999	0.048302999999999999	3.4460679999999999	4.0299670000000001	100	99.472956999999994	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.47295699999995	4	91.043584999999993	3802.3956920000001	0.45521800000000001	-400699.83370299998	100	99.435457	0	0	14.917622	15	58.951143999999999	30	60	20	40	10	30	10	70	40	0	0	0	698.30422299999998	4	91.197922000000005	3802.4290390000001	0.45599000000000001	-400698.66577800002	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442438	2025-03-31 06:28:55	91.993690490722656	79.776641845703125	94.940002441406236	5045	60.569721221923821	3779.432861328125	52.102165222167969	22.88926887512207	5.2965359687805176	60.000003814697266	55	55.223526000976562	55	55.369064331054688	55	55.666561126708984	2	61.508947999999997	28.771795272827148	37.530330657958984	8.8058385848999023	8.9878931045532227	0	1	1	1	0	1	3686.1457789999999	60.300870000000003	0	0	0	1	91.135177999999996	90.953356999999997	90.953356999999997	60.000003999999997	59.852055	94.462807999999995	4877.916099	3670.3886659999998	52.113771999999997	22.887049999999999	5.2198779999999996	94.440616000000006	4870.5186819999999	62.781089000000001	3670.3721049999999	52.116450999999998	22.882529999999999	5.2190130000000003	60.000587000000003	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.51541300000000001	0	11.005311000000001	0	0.51541300000000001	3.6078939999999999	0.0061529999999999996	0.03492	3.3232300000000001	4.2500640000000001	100	99.463802000000001	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.46380199999999	4	90.953356999999997	3806.9208509999999	0.45476699999999998	-400699.82410600001	100	99.441609999999997	0	0	14.88341	15	58.33193	30	60	20	40	10	30	10	70	40	0	0	0	697.65694900000005	4	91.135177999999996	3806.9106700000002	0.45567600000000003	-400698.01818499999	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442439	2025-03-31 06:29:55	88.354591369628906	79.770217895507812	94.940002441406236	5045	61.114219665527344	3641.25732421875	52.500251770019531	22.713768005371097	5.3170919418334961	60.000003814697266	55	55.221385955810547	55	55.364784240722656	55	55.664421081542969	2	61.505201999999997	28.613275527954105	34.122848510742188	8.8062849044799805	8.5899887084960938	0	1	0	1	0	1	3675.7868920000001	60.534264	0	0	0	1	90.952461	90.973055000000002	90.973055000000002	60.000003999999997	59.750093999999997	94.486693000000002	4886.4244829999998	3661.305292	52.514386999999999	22.706512	5.2433050000000003	94.449207000000001	4873.9289799999997	58.433323999999999	3661.4406429999999	52.514045000000003	22.707024000000001	5.2434029999999998	60.000495000000001	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	1	0.48718499999999998	0	15.905801	0	0.48718499999999998	3.4102980000000001	0.0085909999999999997	0.036045000000000001	3.1972680000000002	2.6748780000000001	100	99.487688000000006	0	0	15	15	60	30	60	20	30	10	40	10	70	40	0	0	0	699.48768800000005	4	90.973055000000002	3798.2682220000002	0.45486500000000002	-400699.84806699998	100	99.450201000000007	0	0	15	15	60	30	60	20	40	10	30	10	70	40	0	0	0	699.45020099999999	4	90.952461	3798.3593900000001	0.454762	-400699.81051400001	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
442440	2025-03-31 06:30:55	90.591812133789062	79.774505615234375	94.940002441406236	5045	60.881027221679688	3271.034423828125	52.506671905517578	22.83790397644043	5.2280168533325195	60.000003814697266	55	55.221385955810547	55	55.364784240722656	55	55.660140991210938	2	61.505203999999999	28.848987579345703	36.057655334472656	8.8413553237915039	9.0241727828979492	0	1	1	0	0	1	3632.0827089999998	60.682656999999999	0	0	0	1	91.131477000000004	91.090345999999997	91.090345999999997	60.000003999999997	60.172471000000002	94.423466000000005	4871.5126380000002	3616.4943990000002	52.519908999999998	22.830736000000002	5.157324	94.449336000000002	4880.1359839999996	61.611846999999997	3616.3875720000001	52.520544999999998	22.829713000000002	5.1571280000000002	60.000619999999998	95	65	100	30	97.5	95	5400	5000	1	0	60	30	1	1	1	3900	3300	1	73	42	1	20	29	1	9	3	1	1	1	1	0	0.88671500000000003	0	-2.4163410000000001	0	0.88671500000000003	6.2070040000000004	0.00012999999999999999	-0.022991000000000001	3.067196	3.6042709999999998	100	99.424459999999996	0	0	15	15	60	30	60	20	30	10	40	10	70	40	1	100	100	799.42445999999995	4	91.090345999999997	3753.6003649999998	0.45545200000000002	-400799.78548899997	100	99.450331000000006	0	0	14.983791999999999	15	59.033481999999999	30	60	20	40	10	30	10	70	40	1	100	100	798.46760500000005	4	91.131477000000004	3753.5284919999999	0.45565699999999998	-400798.828813	3.5	9.6999999999999993	9.75	95	94.999138000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-620001.85022699996	-620001.85051000002	1.976677	1.9768840000000001	0	2200	2800	2340	2246.496263	2251.020192	0	2.9000000953674316	3.0999999046325684	2.6800000667572021	2.68425	2.6699109999999999	5045	5047.1925449999999	2.3192349999999999	null	0	-0.12669	0	-0.014338999999999999	5.3300000000000001	5.3499999999999996	5.3299999237060547	81.599997999999999	81.599997999999999	81.599997999999999	10	5	16	5	0	0	91.778892517089844	1.0420000553131104	0.18999999761581421	0	0	0	0	0	1	0	0	20000	20000	1	1	1	1	8.6500000000000004	8.6999999999999993	0	0	0	-2.479117	0	0	0	-4.5239289999999999	6649.8731749999997	6647.3940579999999	0.97667700000000002	1	0.97688399999999997	1	0	1	1	5970	6370	6750	6750	6750
