VarId		1	2	3	4	5	6	7	8	9	10	11	12	10000000	53	14	15	51	52	53	54	55	56	57	55	51	52	53	54	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	125	124	123	122	121	120	119	118	117	116	20100	20200	20300	20400	20500	20100	20300	20200	20400	20600	20500	20600	20700	20700	20800	20800	5110	5120	5130	5140	5150	5160	5170	7000	8000	8001	8002	8003	8004	10000	7000	8000	8001	8002	8003	8004	10000	7000	8000	8001	8002	8003	8004	10000
VarName	Date	Fresh_Feed_SP	Fresh_Feed_PV	Mill_Exit_Pressure_SP	Mill_Exit_Pressure_PV	Recirculation_Damper_SP	Recirculation_Damper_PV	CT_Damper_SP	CT_Damper_PV	Operative_5_SP	Operative_5_PV	Operative_6_SP	Operative_6_PV	OPTIBAT_SUPPORT	Electronic_Ear	MILL_SEP_FAN2	MILL_SEP_FAN3	Mill_Motor_Current	Mill_Separator_Fan_Motor_Power	Electronic_Ear	Mill_Exit_Temperature	Raw_Meal_Residue 	Predicted_6	Predicted_7	Raw_Meal_Residue 	Mill_Motor_Current	Mill_Separator_Fan_Motor_Power	Electronic_Ear	Mill_Exit_Temperature	Fly_Ash_PV	Fly_Ash_SP 	Bauxite_PV	Bauxite_SP	Pyrite_PV	Pyrite_SP	Clay_PV	Clay_SP 	Limestone_PV	Limestone_SP 	Mixture_PV	Mixture_SP 	E08_05_Damper	Kiln_Hot_Gases_Damper	Mill_Separator_Fan_Inlet_Damper	Mill_Motor_Power	Raw_Meal_Residue_Target	CT_Exit_Pressure	Recirculation_Damper_PID_CV	Mill_Exit_Temperature_PID_PV	Mill_Exit_Temperature_PID_SP	Total_Feed_PID_CV	Electronic_Ear_PID_PV	Electronic_Ear_PID_SP	Mill_Inlet_Pressure	OPT_Fresh_Feed_SP	OPT_Mill_Exit_Pressure_SP	OPT_Recirculation_Damper_SP	OPT_CT_Damper_SP	OPT_Operative_5_SP	OPT_Fresh_Feed_SP	OPT_Recirculation_Damper_SP	OPT_Mill_Exit_Pressure_SP	OPT_CT_Damper_SP	OPT_Operative_6_SP	OPT_Operative_5_SP	OPT_Operative_6_SP	OPT_Operative_7_SP	OPT_Operative_7_SP	OPT_Operative_8_SP	OPT_Operative_8_SP	Mill_Motor_Current_ForInc	Mill_Separator_Fan_Motor_Current_ForInc	Electronic_Ear_ForInc	Mill_Exit_Temperature_ForInc	Raw_Meal_Residue _ForInc	Predicted_6_ForInc	Predicted_7_ForInc	Total_Constraint	Total_KPI	Total_Energy_Consumption	Throughput	Specific_Energy	KPI_4	CF	Total_Constraint	Total_KPI	Total_Energy_Consumption	Throughput	Specific_Energy	KPI_4	CF	Total_Constraint	Total_KPI	Total_Energy_Consumption	Throughput	Specific_Energy	KPI_4	CF
1361407	2025-03-30 15:22:39	95.712909999999994	95.958680000000001	-39.449910000000003	-39.449910000000003	29.999949999999998	29.137730000000001	65	65.717939999999999	null	null	null	null	null	88.97569	null	null	147.43620000000001	564	88.97569	105.51220000000001	16.600000000000001	null	null	16.609587000000001	147.09812099999999	563.97252900000001	89.157802000000004	104.794586	4.4626809999999999	4.4642600000000003	0	0	0.67200000000000004	0.67100000000000004	2.9500000000000002	3.3250000000000002	0	0	87.935000000000002	87.253	99.884249999999994	99.884249999999994	97.193280000000001	1471.5150000000001	17	-8.0197950000000002	29.137730000000001	-39.509700000000002	-39.509700000000002	95.712909999999994	88.888890000000004	0	-6.4456910000000001	95.712909999999994	-39.449910000000003	29.999949999999998	65	null	95.707497000000004	29.999949999999998	-39.449910000000003	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.693217	null	21.162163	null	null	489.78629699999999	0.93584900000000004	2031.5147039999999	95.707497000000004	21.226286000000002	null	-802490.72214600001	489.62849799999998	0.93590399999999996	2031.512819	95.712909999999994	21.225066000000002	null	-800490.56440200005
1361408	2025-03-30 15:23:09	95.707499999999996	94.326210000000003	-39.423549999999999	-39.423549999999999	29.999949999999998	29.108799999999999	65	65.717939999999999	null	null	null	null	null	88.570599999999999	null	null	147.01410000000001	562	88.570599999999999	105.51220000000001	16.600000000000001	null	null	16.609838	147.14796100000001	563.88162	88.730957000000004	104.81805900000001	4.4762139999999997	4.4762139999999997	0	0	0.66500000000000004	0.67100000000000004	2.8999999999999999	3.3279999999999998	0	0	86.369	87.245000000000005	99.884249999999994	99.884249999999994	97.135409999999993	1469.1949999999999	17	-8.0158190000000005	29.108799999999999	-39.434019999999997	-39.434019999999997	95.707499999999996	88.570599999999999	0	-6.3659739999999996	95.707499999999996	-39.423549999999999	29.999949999999998	65	null	95.716538	29.999949999999998	-39.423549999999999	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2031.1102080000001	null	21.532830000000001	null	null	489.78509400000002	0.93593700000000002	2031.915994	95.716538	21.228473999999999	null	-802490.72103100002	489.78508799999997	0.93584400000000001	2031.9191410000001	95.707499999999996	21.230511	null	-802490.72093299998
1361409	2025-03-30 15:23:39	95.716539999999995	96.147829999999999	-39.319560000000003	-39.319560000000003	29.999949999999998	29.108799999999999	65	65.677779999999998	null	null	null	null	null	88.396990000000002	null	null	146.8707	563	88.396990000000002	105.5556	16.600000000000001	null	null	16.610244000000002	147.15253899999999	563.42707499999995	88.561341999999996	104.885091	4.4458270000000004	4.4501150000000003	0	0	0.66600000000000004	0.67100000000000004	3.1000000000000001	3.3250000000000002	0	0	87.569999999999993	87.257999999999996	99.884249999999994	99.884249999999994	97.222219999999993	1467.366	17	-8.1006169999999997	29.137730000000001	-39.311059999999998	-39.311059999999998	95.716539999999995	88.454859999999996	0	-6.3121179999999999	95.716539999999995	-39.319560000000003	29.999949999999998	65	null	95.731603000000007	29.999949999999998	-39.319560000000003	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.674074	null	21.120332000000001	null	null	489.77903700000002	0.93609500000000001	2031.505026	95.731603000000007	21.220839999999999	null	-802490.71513200004	489.77902799999998	0.93594100000000002	2031.5102710000001	95.716539999999995	21.224233999999999	null	-802490.71496899996
1361410	2025-03-30 15:24:09	95.731610000000003	95.989490000000004	-39.274189999999997	-39.274189999999997	29.999949999999998	29.108799999999999	65	65.717939999999999	null	null	null	null	null	88.888890000000004	null	null	147.32159999999999	561	88.888890000000004	105.5556	16.600000000000001	null	null	16.610493000000002	147.176087	563.15434700000003	89.080530999999993	104.903389	4.4784940000000004	4.4784940000000004	0	0	0.67000000000000004	0.67100000000000004	3.25	3.3260000000000001	0	0	87.606999999999999	87.272000000000006	99.884249999999994	99.884249999999994	97.135409999999993	1471.49	17	-7.951797	29.137730000000001	-39.271949999999997	-39.271949999999997	95.731610000000003	88.888890000000004	0	-6.3005329999999997	95.731610000000003	-39.274189999999997	29.999949999999998	65	null	95.728606999999997	29.999949999999998	-39.274189999999997	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.6647290000001	null	21.155073999999999	null	null	489.77538900000002	0.93606500000000004	2031.473522	95.728606999999997	21.221174999999999	null	-802490.71145399997	489.69486000000001	0.93609600000000004	2031.4724759999999	95.731610000000003	21.220497999999999	null	-800490.63095599995
1361411	2025-03-30 15:24:39	95.728610000000003	95.89967	-39.131489999999999	-39.131489999999999	29.999949999999998	29.108799999999999	65	65.677779999999998	null	null	null	null	null	88.744209999999995	null	null	148.06270000000001	562	88.744209999999995	105.5556	16.600000000000001	null	null	16.610219000000001	147.24820700000001	563.15434700000003	88.956951000000004	104.914501	4.4754990000000001	4.4506759999999996	0	0	0.66600000000000004	0.67100000000000004	3.3999999999999999	3.3260000000000001	0	0	87.472999999999999	87.269000000000005	99.884249999999994	99.884249999999994	97.193280000000001	1480.9780000000001	17	-8.0755309999999998	29.108799999999999	-39.174140000000001	-39.174140000000001	95.728610000000003	88.744209999999995	0	-6.2939239999999996	95.728610000000003	-39.131489999999999	29.999949999999998	65	null	95.729815000000002	29.999949999999998	-39.131489999999999	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2031.3806870000001	null	21.182352999999999	null	null	489.77539200000001	0.93606999999999996	2032.1915710000001	95.729815000000002	21.228408000000002	null	-802490.71146200004	489.77539100000001	0.93605700000000003	2032.19199	95.728610000000003	21.228680000000001	null	-802490.71144900005
1361412	2025-03-30 15:25:09	95.729810000000001	95.920090000000002	-39.22287	-39.22287	29.999949999999998	29.137730000000001	65	65.677779999999998	null	null	null	null	null	89.033559999999994	null	null	147.18879999999999	562	89.033559999999994	105.5556	16.600000000000001	null	null	16.609925	147.26944399999999	562.69980199999998	89.256542999999994	104.926452	4.4490850000000002	4.4490850000000002	0	0	0.66400000000000003	0.67000000000000004	3.5	3.3220000000000001	0	0	87.587000000000003	87.272999999999996	99.884249999999994	99.884249999999994	97.193280000000001	1472.1210000000001	17	-8.1025270000000003	29.108799999999999	-39.212420000000002	-39.212420000000002	95.729810000000001	89.033559999999994	0	-6.3907550000000004	95.729810000000001	-39.22287	29.999949999999998	65	null	95.721082999999993	29.999949999999998	-39.22287	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2031.120232	null	21.175128999999998	null	null	489.76932499999998	0.93598300000000001	2031.9523549999999	95.721082999999993	21.227844999999999	null	-802490.70530799998	489.512788	0.93607200000000002	2031.949316	95.729810000000001	21.225878999999999	null	-800490.44886
1361413	2025-03-30 15:25:40	95.721080000000001	96.534499999999994	-39.389150000000001	-39.389150000000001	29.999949999999998	29.137730000000001	65	65.677779999999998	null	null	null	null	null	89.293980000000005	null	null	146.94159999999999	561	89.293980000000005	105.5556	16.600000000000001	null	null	16.609476000000001	147.25288900000001	562.60889299999997	89.522717	104.93987	4.466323	4.466323	0	0	0.66500000000000004	0.67100000000000004	3.4500000000000002	3.327	0	0	88.093999999999994	87.257000000000005	99.884249999999994	99.884249999999994	97.135409999999993	1470.7539999999999	17	-8.0420739999999995	29.137730000000001	-39.336649999999999	-39.336649999999999	95.721080000000001	89.293980000000005	0	-6.3945990000000004	95.721080000000001	-39.389150000000001	29.999949999999998	65	null	95.703315000000003	29.999949999999998	-39.389150000000001	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.8819410000001	null	21.037887000000001	null	null	489.76810799999998	0.93580399999999997	2031.6994299999999	95.703315000000003	21.229144000000002	null	-802490.70391200006	489.24540200000001	0.93598599999999998	2031.693244	95.721080000000001	21.225138999999999	null	-800490.18138700002
1361414	2025-03-30 15:26:10	95.703320000000005	95.961529999999996	-39.42474	-39.42474	29.999949999999998	29.137730000000001	65	65.597459999999998	null	null	null	null	null	88.657409999999999	null	null	147.22239999999999	557	88.657409999999999	105.5556	16.600000000000001	null	null	16.608920000000001	147.26271199999999	561.88162	88.895663999999996	104.951042	4.477538	4.477538	0	0	0.67200000000000004	0.67000000000000004	3.3500000000000001	3.3239999999999998	0	0	87.478999999999999	87.247	99.884249999999994	99.884249999999994	97.106480000000005	1471.009	17	-7.9243550000000003	29.108799999999999	-39.416719999999998	-39.416719999999998	95.703320000000005	88.657409999999999	0	-6.3578390000000002	95.703320000000005	-39.42474	29.999949999999998	65	null	95.706633999999994	29.999949999999998	-39.42474	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.277562	null	21.157202999999999	null	null	489.75842399999999	0.93584500000000004	2031.0628180000001	95.706633999999994	21.221755999999999	null	-802490.69426799996	489.758422	0.93581099999999995	2031.0639719999999	95.703320000000005	21.222503	null	-802490.69423200004
1361415	2025-03-30 15:26:40	95.706630000000004	96.185490000000001	-39.48413	-39.48413	29.999949999999998	29.108799999999999	65	65.677779999999998	null	null	null	null	null	88.744209999999995	null	null	146.87209999999999	568	88.744209999999995	105.5556	16.600000000000001	null	null	16.609107999999999	147.23667399999999	562.33616600000005	88.993600000000001	104.958873	4.4634790000000004	4.4634790000000004	0	0	0.67400000000000004	0.67000000000000004	3.1499999999999999	3.3260000000000001	0	0	87.808000000000007	87.247	99.884249999999994	99.884249999999994	97.193280000000001	1467.213	17	-7.9538200000000003	29.137730000000001	-39.49371	-39.49371	95.706630000000004	88.744209999999995	0	-6.2696709999999998	95.706630000000004	-39.48413	29.999949999999998	65	null	95.706630000000004	29.999949999999998	-39.48413	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.4592929999999	null	21.109829000000001	null	null	489.76448199999999	0.93584199999999995	2031.2587410000001	95.706630000000004	21.223804000000001	null	-802490.70032499998	489.76448199999999	0.93584199999999995	2031.2587410000001	95.706630000000004	21.223804000000001	null	-802490.70032499998
1361416	2025-03-30 15:27:10	95.706630000000004	95.114040000000003	-39.756399999999999	-39.756399999999999	29.999949999999998	29.108799999999999	65	65.597459999999998	null	null	null	null	null	88.686340000000001	null	null	147.1489	565	88.686340000000001	105.51220000000001	16.600000000000001	null	null	16.609183999999999	147.25530800000001	562.51798399999996	88.912707999999995	104.925377	4.4780449999999998	4.4780449999999998	0	0	0.66900000000000004	0.67000000000000004	3.2000000000000002	3.3260000000000001	0	0	86.644000000000005	87.248000000000005	99.884249999999994	99.884249999999994	97.193280000000001	1470.7049999999999	17	-8.0581820000000004	29.137730000000001	-39.748730000000002	-39.748730000000002	95.706630000000004	88.686340000000001	0	-6.3452710000000003	95.706630000000004	-39.756399999999999	29.999949999999998	65	null	95.709340999999995	29.999949999999998	-39.756399999999999	65	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	2030.8305760000001	null	21.351533	null	null	489.766908	0.93586599999999998	2031.625524	95.709340999999995	21.227035000000001	null	-802490.70277500001	489.76690600000001	0.93583899999999998	2031.6264679999999	95.706630000000004	21.227646	null	-802490.70274500002
