10359412	2025-03-31 06:34:30	1	1	1	0.5	1	1	-10000181.601792	-10000181.601792	15.191499	15.191533	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.792397000000001	37.791682000000002	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.276060000000001	88.276060000000001	0.013495	0.013495999999999999	1053.171875	1050.818094	1050.818094	12.311689376831056	12.107409000000001	12.112411	27.567977905273441	27.503761999999998	27.503761999999998	0.091852000000000003	0.091852000000000003	4.4545183181762695	4.4036679999999997	4.4036819999999999	0.26260099999999997	0.262604	81	81.121032999999997	81.121032999999997	0.50060499999999997	0.50060499999999997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.603311	11.603311	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.60331099999999	181.60331099999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	146.62728881835938	7.8143205642700195	35	495.67984008789063	99.615585327148438	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359413	2025-03-31 06:35:00	1	1	0	0.5	1	1	-10000181.558439	-10000181.558439	15.117908	15.117908	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.284678	88.283880999999994	0.0086169999999999997	0.0078209999999999998	1042.3265380859375	1040.00062	1040.00062	12.452657699584959	12.253474000000001	12.253474000000001	27.052713394165039	26.988866999999999	26.988866999999999	-0.077349000000000001	-0.077349000000000001	4.5541343688964844	4.5135620000000003	4.5135620000000003	0.237595	0.237595	81	81.121115000000003	81.121115000000003	0.500606	0.500606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.560041	11.560041	12	12	0	0	0	0	7.9999099999999999	7.9999099999999999	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.55995100000001	181.55995100000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.28712463378906	7.7985386848449716	35	495.73870849609375	99.621475219726563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359414	2025-03-31 06:35:30	1	1	1	0.5	1	1	-10000181.702315999	-10000181.702315999	15.368297	15.368297	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.274608000000001	88.274608000000001	-0.0092739999999999993	-0.0092739999999999993	1078.27587890625	1075.9534180000001	1075.9534180000001	12.809179306030272	12.609579999999999	12.609579999999999	27.399168014526367	27.333703	27.333703	0.025381000000000001	0.025381000000000001	4.64666748046875	4.6270559999999996	4.6270559999999996	0.14954999999999999	0.14954999999999999	81	81.121688000000006	81.121688000000006	0.50060800000000005	0.50060800000000005	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.703853000000001	11.703853000000001	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.70385300000001	181.70385300000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	143.74984741210938	7.815497875213623	35	495.7681884765625	99.627365112304688	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359415	2025-03-31 06:36:00	1	1	0	0.5	1	1	-10000181.483289	-10000181.483289	15.007792	15.007792	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.261345000000006	88.261345000000006	-0.013263	-0.013263	1026.7342529296875	1024.379727	1024.379727	12.106645584106444	11.906440999999999	11.906440999999999	26.896661758422852	26.828832999999999	26.828832999999999	-0.23219500000000001	-0.23219500000000001	4.9120702743530273	4.9304129999999997	4.9304129999999997	0.23711499999999999	0.23711499999999999	80.999397277832031	81.121903000000003	81.121903000000003	0.50061299999999997	0.50061299999999997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.497557	11.497557	12	12	0	0	0	0	7.9872329999999998	7.9872329999999998	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.48479	181.48479	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	143.70521545410156	7.839759349822998	35	495.7681884765625	99.627365112304688	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359416	2025-03-31 06:36:30	1	1	1	0.5	1	1	-10000181.409218	-10000181.409218	14.857381999999999	14.857381999999999	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.271264000000002	88.271264000000002	0.0099190000000000007	0.0099190000000000007	1005.0238647460938	1002.66634	1002.66634	12.009571075439451	11.808854	11.808854	27.621957778930664	27.552129000000001	27.552129000000001	0.028407000000000002	0.028407000000000002	4.8037290573120117	4.8352969999999997	4.8352969999999997	0.193854	0.193854	81	81.123733999999999	81.123733999999999	0.50061900000000004	0.50061900000000004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.410703	11.410703	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.41070300000001	181.41070300000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.34902954101565	7.8216228485107422	35	495.73870849609375	99.633255004882813	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359417	2025-03-31 06:37:00	1	1	0	0.5	1	1	-10000181.486285999	-10000181.486285999	14.991602	14.991602	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.299593999999999	88.299593999999999	0.028330000000000001	0.028330000000000001	1024.312255859375	1021.9366	1021.9366	12.20278263092041	12.001859	12.001859	27.597421646118164	27.526789999999998	27.526789999999998	0.112292	0.112292	4.7460088729858398	4.7245179999999998	4.7245179999999998	0.14707200000000001	0.14707200000000001	81	81.125288999999995	81.125288999999995	0.50062600000000002	0.50062600000000002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.487785000000001	11.487785000000001	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.487785	181.487785	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.38818359375	7.769801139831543	35	495.67984008789063	99.627365112304688	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359418	2025-03-31 06:37:30	1	1	1	0.5	1	1	-10000181.648069	-10000181.648069	15.275391000000001	15.275391000000001	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.791682999999999	37.791682999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.311314999999993	88.311314999999993	0.01172	0.01172	1064.7918701171875	1062.38931	1062.38931	12.902515411376951	12.7013	12.7013	27.64453125	27.572758	27.572758	0.18018999999999999	0.18018999999999999	4.5040378570556641	4.5027379999999999	4.5027379999999999	0.052125999999999999	0.052125999999999999	81	81.126761999999999	81.126761999999999	0.50063400000000002	0.50063400000000002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.649596000000001	11.649596000000001	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.649596	181.649596	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.79806518554688	7.7483658790588388	35	495.6209716796875	99.625396728515625	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359419	2025-03-31 06:38:00	1	1	0	0.5	1	1	-10000181.566083999	-10000181.566083999	15.128609000000001	15.128643	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.791682999999999	37.790968999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.292641000000003	88.293436999999997	-0.018674	-0.017877000000000001	1044.2774658203125	1041.8896259999999	1041.8896259999999	12.122417449951172	11.916166	11.921165999999999	27.205820083618164	27.133908000000002	27.133908000000002	-0.067740999999999996	-0.067740999999999996	4.4603691101074219	4.4626570000000001	4.4626710000000003	-0.037430999999999999	-0.037428000000000003	81	81.128561000000005	81.128561000000005	0.50064299999999995	0.50064299999999995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.567596999999999	11.567596999999999	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.56759700000001	181.56759700000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.81744384765625	7.7811079025268564	35	495.5325927734375	99.623435974121094	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359420	2025-03-31 06:38:30	1	1	1	0.5	1	1	-10000181.559923001	-10000181.559923001	15.122203000000001	15.122203000000001	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790970000000002	37.790970000000002	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.301040999999998	88.300245000000004	0.0076030000000000004	0.0068069999999999997	1042.7154541015625	1040.3491369999999	1040.3491369999999	12.729092597961426	12.527801999999999	12.527801999999999	27.271577835083008	27.199514000000001	27.199514000000001	-0.053193999999999998	-0.053193999999999998	4.7428703308105469	4.7357959999999997	4.7357959999999997	0.052708999999999999	0.052708999999999999	81	81.130769999999998	81.130769999999998	0.50065400000000004	0.50065400000000004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.561434999999999	11.561434999999999	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.56143499999999	181.56143499999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	143.46751403808594	7.7672100067138672	35	495.47372436523438	99.621475219726563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359421	2025-03-31 06:39:00	1	1	0	0.5	1	1	-10000181.474207999	-10000181.474207999	14.973820999999999	14.973856	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.790970000000002	37.790255999999999	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.296357999999998	88.297155000000004	-0.0038860000000000001	-0.0030890000000000002	1021.2294921875	1018.916785	1018.916785	12.64944553375244	12.443289999999999	12.448290999999999	27.616069793701172	27.544533999999999	27.544533999999999	0.025500999999999999	0.025500999999999999	4.6834659576416016	4.6955210000000003	4.6954919999999998	0.013077999999999999	0.013072	81	81.132979000000006	81.132979000000006	0.50066500000000003	0.50066500000000003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.475705	11.475705	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.475705	181.475705	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.32044982910156	7.7728633880615234	35	495.47372436523438	99.6195068359375	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359422	2025-03-31 06:39:30	1	1	1	0.5	1	1	-10000181.584741	-10000181.584741	15.167122000000001	15.167122000000001	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.292269000000005	88.291472999999996	-0.0048869999999999999	-0.0056829999999999997	1048.843505859375	1046.554654	1046.554654	13.037158966064451	12.836012999999999	12.836012999999999	27.492404937744141	27.420902999999999	27.420902999999999	-0.082113000000000005	-0.082113000000000005	4.5667943954467773	4.5725530000000001	4.5725530000000001	-0.047494000000000001	-0.047494000000000001	81	81.135268999999994	81.135268999999994	0.50067600000000001	0.50067600000000001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.586257	11.586257	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.58625699999999	181.58625699999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	142.92231750488281	7.781813621520997	35	495.44430541992193	99.637176513671875	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359423	2025-03-31 06:40:00	1	1	0	0.5	1	1	-10000181.562994	-10000181.562994	15.126016	15.126016	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.304862999999997	88.304862999999997	0.013390000000000001	0.013390000000000001	1043.354248046875	1041.1168929999999	1041.1168929999999	12.513823509216309	12.313003999999999	12.313003999999999	27.222505569458008	27.152277000000002	27.152277000000002	-0.23755000000000001	-0.23755000000000001	4.5386018753051758	4.5419429999999998	4.5419429999999998	-0.070041999999999993	-0.070041999999999993	81	81.138131000000001	81.138131000000001	0.500691	0.500691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.564506	11.564506	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.56450599999999	181.56450599999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.80268859863281	7.757317066192627	35	495.41485595703131	99.621475219726563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359424	2025-03-31 06:40:30	1	1	1	0.5	1	1	-10000181.535435	-10000181.535435	15.099679	15.099679	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.295467000000002	88.295467000000002	-0.0093959999999999998	-0.0093959999999999998	1039.162109375	1036.9677650000001	1036.9677650000001	12.843371391296388	12.642961	12.642961	26.920215606689453	26.851583999999999	26.851583999999999	-0.25767099999999998	-0.25767099999999998	4.5813918113708496	4.5835699999999999	4.5835699999999999	0.0046239999999999996	0.0046239999999999996	81	81.141238999999999	81.141238999999999	0.50070599999999998	0.50070599999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.54791	11.54791	12	12	0	0	0	0	7.9890350000000003	7.9890350000000003	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.536945	181.536945	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.36836242675781	7.7745122909545907	35	495.41485595703131	99.613616943359375	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359425	2025-03-31 06:41:00	1	1	0	0.5	1	1	-10000181.565902	-10000181.565902	15.130235000000001	15.130235000000001	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.282855999999995	88.282855999999995	-0.012611000000000001	-0.012611000000000001	1044.0325927734375	1041.8440499999999	1041.8440499999999	12.398134231567385	12.197559999999999	12.197559999999999	27.72991943359375	27.660648999999999	27.660648999999999	0.11586200000000001	0.11586200000000001	4.5981078147888184	4.6062459999999996	4.6062459999999996	0.026856999999999999	0.026856999999999999	81	81.144917000000007	81.144917000000007	0.50072499999999998	0.50072499999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.567415	11.567415	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.56741500000001	181.56741500000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.1221923828125	7.7975955009460449	35	495.38543701171869	99.625396728515625	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359426	2025-03-31 06:41:30	1	1	1	0.5	1	1	-10000181.4615	-10000181.4615	14.960405	14.960405	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.276032999999998	88.276032999999998	-0.0068230000000000001	-0.0068230000000000001	1019.501953125	1017.315215	1017.315215	12.300322532653809	12.099399	12.099399	26.981067657470703	26.910433999999999	26.910433999999999	-0.080984	-0.080984	4.8106894493103027	4.8194660000000002	4.8194660000000002	0.048912999999999998	0.048912999999999998	81	81.149004000000005	81.149004000000005	0.500745	0.500745	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.469298999999999	11.469298999999999	12	12	0	0	0	0	7.9936970000000001	7.9936970000000001	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.462996	181.462996	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.689208984375	7.8100795745849618	35	495.38543701171869	99.615585327148438	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359427	2025-03-31 06:42:00	1	1	0	0.5	1	1	-10000181.474042	-10000181.474042	14.981995	14.981995	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.268049000000005	88.268049000000005	-0.0079830000000000005	-0.0079830000000000005	1022.1591796875	1019.935553	1019.935553	12.811663627624512	12.609869	12.609869	27.010509490966797	26.936477	26.936477	-0.20882200000000001	-0.20882200000000001	4.7653613090515137	4.7811779999999997	4.7811779999999997	0.054117999999999999	0.054117999999999999	81	81.153253000000007	81.153253000000007	0.50076600000000004	0.50076600000000004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.47978	11.47978	12	12	0	0	0	0	7.9957599999999998	7.9957599999999998	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.47554099999999	181.47554099999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	146.40863037109375	7.8246841430664063	35	495.38543701171869	99.623435974121094	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359428	2025-03-31 06:42:30	1	1	1	0.5	1	1	-10000181.517247001	-10000181.517247001	15.066043000000001	15.066043000000001	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.287099999999995	88.287099999999995	0.019050000000000001	0.019050000000000001	1034.712158203125	1032.4159999999999	1032.4159999999999	12.51972770690918	12.317104	12.317104	26.929050445556641	26.851787000000002	26.851787000000002	-0.29773899999999998	-0.29773899999999998	4.5028576850891113	4.5194419999999997	4.5194419999999997	-0.0084209999999999997	-0.0084209999999999997	81	81.157746000000003	81.157746000000003	0.50078900000000004	0.50078900000000004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.529702	11.529702	12	12	0	0	0	0	7.9890509999999999	7.9890509999999999	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.518754	181.518754	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.16253662109375	7.789823055267334	35	495.41485595703131	99.613616943359375	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359429	2025-03-31 06:43:00	1	1	0	0.5	1	1	-10000181.482930001	-10000181.482930001	14.98461	14.98461	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.256321999999997	88.256321999999997	-0.030778	-0.030778	1023.4530029296876	1021.097558	1021.097558	12.03026294708252	11.827000999999999	11.827000999999999	27.141044616699219	27.061292000000002	27.061292000000002	-0.20513000000000001	-0.20513000000000001	4.5737133026123047	4.5623360000000002	4.5623360000000002	0.022564000000000001	0.022564000000000001	81	81.162401000000003	81.162401000000003	0.50081200000000003	0.50081200000000003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.484429	11.484429	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.48442900000001	181.48442900000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.14427185058594	7.8461194038391122	35	495.44430541992193	99.627365112304688	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359430	2025-03-31 06:43:30	1	1	1	0.5	1	1	-10000181.401597001	-10000181.401597001	14.848436	14.848436	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.265719000000004	88.265719000000004	0.0093970000000000008	0.0093970000000000008	1003.15771484375	1000.761047	1000.761047	12.620481491088867	12.416923000000001	12.416923000000001	27.310836791992188	27.229927	27.229927	-0.246471	-0.246471	4.6163263320922852	4.6104050000000001	4.6104050000000001	0.0023890000000000001	0.0023890000000000001	81	81.167136999999997	81.167136999999997	0.50083599999999995	0.50083599999999995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.403081999999999	11.403081999999999	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.40308200000001	181.40308200000001	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	145.02838134765625	7.8289241790771484	35	495.47372436523438	99.621475219726563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359431	2025-03-31 06:44:00	1	1	0	0.5	1	1	-10000181.393435	-10000181.393435	14.831242	14.831242	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.255793999999995	88.255793999999995	-0.0099249999999999998	-0.0099249999999999998	1001.1461791992188	998.72013900000002	998.72013900000002	12.168466567993164	11.964541000000001	11.964541000000001	27.207782745361328	27.125440999999999	27.125440999999999	-0.16059300000000001	-0.16059300000000001	4.5199618339538574	4.5115210000000001	4.5115210000000001	-0.096698000000000006	-0.096698000000000006	81	81.172360999999995	81.172360999999995	0.50086200000000003	0.50086200000000003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.394919	11.394919	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.39491899999999	181.39491899999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	146.36944580078125	7.8470616340637198	35	495.5325927734375	99.627365112304688	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359432	2025-03-31 06:44:30	1	1	1	0.5	1	1	-10000181.400637999	-10000181.400637999	14.844443	14.844443	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.790256999999997	37.790256999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	88.279999000000004	88	88.263130000000004	88.263130000000004	0.0073359999999999996	0.0073359999999999996	1002.9527587890624	1000.521145	1000.521145	12.28193473815918	12.077749000000001	12.077749000000001	27.142024993896484	27.058669999999999	27.058669999999999	-0.178259	-0.178259	4.8518309593200684	4.8232200000000001	4.8232200000000001	-0.036031000000000001	-0.036031000000000001	81	81.178235999999998	81.178235999999998	0.50089099999999998	0.50089099999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.402123	11.402123	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.40212299999999	181.40212299999999	4.297947883605957	5.9176003421206361e-20	3.6728909015655522	2.0582726001739502	89.97088623046875	144.1092529296875	7.8336353302001953	35	495.56207275390625	99.623435974121094	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
