10359116	2025-03-31 04:06:25	1	1	1	0.5	1	1	-10000181.563697999	-10000181.563697999	15.124468999999999	15.124468999999999	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.523404999999997	87.523404999999997	0.003862	0.003862	1043.6485595703125	1041.292919	1041.292919	12.111804962158203	11.912554	11.912554	27.234283447265625	27.170178	27.170178	0.10470500000000001	0.10470500000000001	5.3491625785827637	5.3768529999999997	5.3768529999999997	0.073455999999999994	0.073455999999999994	81	81.176197999999999	81.176197999999999	0.50088100000000002	0.50088100000000002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.56521	11.56521	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.56521000000001	181.56521000000001	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	145.05587768554688	7.7040829658508301	35	500.1552734375	99.283851623535156	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359117	2025-03-31 04:06:55	1	1	0	0.5	1	1	-10000181.568631999	-10000181.568631999	15.137357	15.137357	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.514538000000002	87.514538000000002	-0.0088679999999999991	-0.0088679999999999991	1044.9315185546875	1042.5267490000001	1042.5267490000001	12.747727394104004	12.547625999999999	12.547625999999999	27.074304580688477	27.006879000000001	27.006879000000001	0.041959999999999997	0.041959999999999997	4.7217898368835449	4.7606440000000001	4.7606440000000001	-0.031987000000000002	-0.031987000000000002	81	81.17277	81.17277	0.50086399999999998	0.50086399999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.570145999999999	11.570145999999999	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.57014599999999	181.57014599999999	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	144.93705749511719	7.7203359603881836	35	500.1258544921875	99.279922485351563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359118	2025-03-31 04:07:25	1	1	1	0.5	1	1	-10000181.526527001	-10000181.526527001	15.061992	15.061992	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.533818999999994	87.533818999999994	0.019281	0.019281	1034.436279296875	1031.998785	1031.998785	12.347739219665527	12.146926000000001	12.146926000000001	27.088045120239254	27.017841000000001	27.017841000000001	0.070371000000000003	0.070371000000000003	4.8687038421630859	4.8991610000000003	4.8991610000000003	0.021011999999999999	0.021011999999999999	81	81.169668000000001	81.169668000000001	0.50084799999999996	0.50084799999999996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.528034	11.528034	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.52803399999999	181.52803399999999	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	145.218017578125	7.6850032806396484	35	500.1552734375	99.274032592773438	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359119	2025-03-31 04:07:55	1	1	0	0.5	1	1	-10000181.392016999	-10000181.392016999	14.828303999999999	14.828303999999999	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.508617999999998	87.508617999999998	-0.025201000000000001	-0.025201000000000001	1000.8887329101564	998.36534500000005	998.36534500000005	12.095271110534668	11.893298	11.893298	27.320652008056641	27.245926000000001	27.245926000000001	0.12963	0.12963	4.9612927436828613	4.9765969999999999	4.9765969999999999	0.061081999999999997	0.061081999999999997	81	81.167300999999995	81.167300999999995	0.50083699999999998	0.50083699999999998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.393499	11.393499	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.39349899999999	181.39349899999999	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	144.51268005371094	7.7311716079711923	35	500.1552734375	99.289741516113281	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359120	2025-03-31 04:08:25	1	1	1	0.5	1	1	-10000181.519547001	-10000181.519547001	15.046151	15.046151	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.519295	87.519295	0.010677000000000001	0.010677000000000001	1032.8394775390625	1030.2532269999999	1030.2532269999999	11.798364639282228	11.595383999999999	11.595383999999999	27.426647186279297	27.347988999999998	27.347988999999998	0.080667000000000003	0.080667000000000003	4.908024787902832	4.9243480000000002	4.9243480000000002	0.032037999999999997	0.032037999999999997	81	81.165423000000004	81.165423000000004	0.50082700000000002	0.50082700000000002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.521051	11.521051	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.521051	181.521051	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	143.60882568359375	7.7116203308105469	35	500.1258544921875	99.281890869140625	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359121	2025-03-31 04:08:55	1	1	0	0.5	1	1	-10000181.433033001	-10000181.433033001	14.901251	14.901251	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.820217	37.820217	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.543853999999996	87.543853999999996	0.024558	0.024558	1011.2555541992188	1008.621322	1008.621322	12.418990135192873	12.215403999999999	12.215403999999999	27.514980316162109	27.433965000000001	27.433965000000001	0.11676499999999999	0.11676499999999999	5.0867509841918945	5.1120679999999998	5.1120679999999998	0.013788999999999999	0.013788999999999999	81	81.163954000000004	81.163954000000004	0.50082000000000004	0.50082000000000004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.434523	11.434523	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.43452300000001	181.43452300000001	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	145.31388854980469	7.6666302680969229	35	500.09640502929688	99.279922485351563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359122	2025-03-31 04:09:25	1	1	1	0.5	1	1	-10000181.458345	-10000181.458345	14.944387000000001	14.944421	145.009872	145.009872	1	0	0	0	145.009872	145.009872	37.820217	37.819502999999997	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.534702999999993	87.535499000000002	-0.0091509999999999994	-0.0083549999999999996	1017.6705322265624	1014.95039	1014.95039	12.351051330566406	12.141432999999999	12.146431	27.505165100097656	27.420117000000001	27.420117000000001	0.14400199999999999	0.14400199999999999	4.8092303276062012	4.7711059999999996	4.771077	0.027602000000000002	0.027595999999999999	81	81.162647000000007	81.162647000000007	0.50081299999999995	0.50081299999999995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.45984	11.45984	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.45984000000001	181.45984000000001	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	144.60037231445313	7.6819405555725107	35	500.09640502929688	99.279922485351563	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359123	2025-03-31 04:09:55	1	1	0	0.5	1	1	-10000181.521325	-10000181.521325	15.053212	15.053212	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.819504000000002	37.819504000000002	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.532151999999996	87.531357	-0.0033470000000000001	-0.0041419999999999998	1033.5096435546875	1030.697936	1030.697936	12.380239486694336	12.17455	12.17455	27.305929183959961	27.216711	27.216711	0.18365600000000001	0.18365600000000001	5.0653476715087891	5.0815229999999998	5.0815229999999998	0.124128	0.124128	81	81.161586	81.161586	0.50080800000000003	0.50080800000000003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.522830000000001	11.522830000000001	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.52283	181.52283	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	146.11647033691406	7.6880655288696289	35	500.1258544921875	99.285812377929702	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359124	2025-03-31 04:10:25	1	1	1	0.5	1	1	-10000181.44836	-10000181.44836	14.926736	14.926736	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.819504000000002	37.819504000000002	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.533541999999997	87.533541999999997	0.0021849999999999999	0.0021849999999999999	1015.3568115234376	1012.453534	1012.453534	12.285469055175779	12.078719	12.078719	27.339298248291016	27.245947999999999	27.245947999999999	0.15846299999999999	0.15846299999999999	4.8541436195373535	4.8624359999999998	4.8624359999999998	0.072980000000000003	0.072980000000000003	81	81.160523999999995	81.160523999999995	0.500803	0.500803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.449852	11.449852	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.44985199999999	181.44985199999999	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	143.67860412597656	7.6840610504150382	35	500.1258544921875	99.295631408691406	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
10359125	2025-03-31 04:10:55	1	1	0	0.5	1	1	-10000181.506999999	-10000181.506999999	15.030991999999999	15.030991999999999	145.009872	145.009872	1	0	1	0	145.009872	145.009872	37.819504000000002	37.819504000000002	885	885	1139.9918210000001	1139.9918210000001	190	190	87.620002999999997	88	87.546143999999998	87.546143999999998	0.012600999999999999	0.012600999999999999	1030.060302734375	1027.1161910000001	1027.1161910000001	12.741861343383787	12.534189	12.534189	27.384445190429688	27.287500000000001	27.287500000000001	0.19011900000000001	0.19011900000000001	4.707735538482666	4.7166579999999998	4.7166579999999998	0.090940999999999994	0.090940999999999994	81	81.159870999999995	81.159870999999995	0.50079899999999999	0.50079899999999999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	4	4	6	6	11.508502999999999	11.508502999999999	12	12	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	0	0	100	100	181.50850299999999	181.50850299999999	4.2447729110717773	3.0107632693999871e-20	3.4598090648651123	1.9632972478866575	90.332122802734375	143.52114868164065	7.6609768867492676	35	500.09640502929688	99.285812377929702	148	35.5	950	1230	180	138	880	1140	166	38.5	960	1250	190	145	885	1160	-1.25	1.25	1150	1330	1350	1175	1150	1025	8	15	28.5	32	27	30	33	29	31	27	2	7
